seed,numV,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,timeBoscia_Strong_Convexity,solutionBoscia_Strong_Convexity,terminationBoscia_Strong_Convexity,numberNodesBoscia_Strong_Convexity,dualGapBoscia_Strong_Convexity,lbBoscia_Strong_Convexity,relGapBoscia_Strong_Convexity,minimumTime
1,4,1800.0,-501.9761863719564,0,18,3.9094341493959064,-505.8856205213523,0.0077880868764939335,1800.0,-501.9761863719564,0,20,3.8355542961206766,-505.81174066807705,0.0077880868764939335,1800.0,-501.9761863719564,0,18,3.9094341493961338,-505.8856205213525,0.0077880868764939335,1800.0,-501.9761863719564,0,19,3.9094341493959064,-505.8856205213523,0.0077880868764939335,1800.0,-501.9761863719564,0,16,3.8182937094907174,-505.7944800814471,0.0077880868764939335,1800.0,-501.9761863719564,0,17,3.81829370949049,-505.79448008144686,0.0077880868764939335,1800.0,-501.9761863719564,0,18,3.9094341493959064,-505.8856205213523,0.0077880868764939335,1800.0,-501.9761863719564,0,17,3.81829370949049,-505.79448008144686,0.0077880868764939335,1800.0,-501.9761863719564,0,17,3.772682190772173,-505.74886856272855,0.0077880868764939335,1800.0
1,5,1800.0,-496.4583624786399,0,8,8.955028875905896,-505.4133913545458,0.01803782462480161,1800.0,-496.4583624786399,0,8,8.506045540424736,-504.96440801906465,0.01803782462480161,1800.0,-496.4583624786399,0,10,7.330865114005178,-503.7892275926451,0.01803782462480161,1800.0,-496.4583624786399,0,9,8.955028875905896,-505.4133913545458,0.01803782462480161,1800.0,-496.4583624786399,0,9,7.330865114005178,-503.7892275926451,0.01803782462480161,1800.0,-496.4583624786399,0,8,8.955028875905896,-505.4133913545458,0.01803782462480161,1800.0,-496.4583624786399,0,8,8.955028875905896,-505.4133913545458,0.01803782462480161,1800.0,-496.4583624786399,0,8,8.955028875905896,-505.4133913545458,0.01803782462480161,1800.0,-496.4583624786399,0,8,8.897898404853777,-505.3562608834937,0.01803782462480161,1800.0
1,6,1800.0,-485.5407587930873,0,32,5.991053484413612,-491.53181227750093,0.012338930101986955,1800.0,-485.5407587930873,0,31,5.898761320359711,-491.43952011344703,0.012338930101986955,1800.0,-485.5407587930873,0,31,5.9352960074705265,-491.47605480055785,0.012338930101986955,1800.0,-485.5407587930873,0,32,5.9352960074705265,-491.47605480055785,0.012338930101986955,1800.0,-485.5407587930873,0,29,5.990949184968372,-491.5317079780557,0.012338930101986955,1800.0,-485.5407587930873,0,30,5.990949184968372,-491.5317079780557,0.012338930101986955,1800.0,-485.5407587930873,0,31,5.9352960074705265,-491.47605480055785,0.012338930101986955,1800.0,-485.5407587930873,0,30,5.990949184968372,-491.5317079780557,0.012338930101986955,1800.0,-485.5407587930873,0,33,5.881502108837935,-491.42226090192526,0.012338930101986955,1800.0
1,7,1800.0,-475.91426983362254,0,23,7.792725041836945,-483.7069948754595,0.01637422018163323,1800.0,-475.9244553746261,0,27,7.665034710521468,-483.5894900851476,0.016352468155281713,1800.0,-475.91426983362254,0,24,7.757495199852997,-483.67176503347554,0.01637422018163323,1800.0,-475.91426983362254,0,25,7.757495199852997,-483.67176503347554,0.01637422018163323,1800.0,-475.91426983362254,0,23,7.757495199852997,-483.67176503347554,0.01637422018163323,1800.0,-475.91426983362254,0,23,7.792725041836945,-483.7069948754595,0.01637422018163323,1800.0,-475.91426983362254,0,24,7.757495199852997,-483.67176503347554,0.01637422018163323,1800.0,-475.91426983362254,0,25,7.699663007084098,-483.61393284070664,0.01637422018163323,1800.0,-475.91426983362254,0,25,7.644631738327234,-483.5589015719498,0.01637422018163323,1800.0
1,8,1800.0,-470.9310220831441,0,20,12.201539110419844,-483.13256119356396,0.025909397636296787,1800.0,-470.5508423130816,0,21,12.816752229074552,-483.36759454215616,0.02673827724679981,1800.0,-470.5508423130816,0,19,12.66969811430431,-483.2205404273859,0.02673827724679981,1800.0,-470.9310220831441,0,20,12.289518344241571,-483.2205404273857,0.025909397636296787,1800.0,-470.5508423130816,0,19,12.581718880482242,-483.13256119356384,0.02673827724679981,1800.0,-470.9310220831441,0,19,12.289518344241571,-483.2205404273857,0.025909397636296787,1800.0,-470.9310220831441,0,19,12.289518344241571,-483.2205404273857,0.025909397636296787,1800.0,-470.9310220831441,0,20,12.201539110419844,-483.13256119356396,0.025909397636296787,1800.0,-470.9310220831441,0,20,12.127994014574654,-483.05901609771877,0.025909397636296787,1800.0
2,4,1800.0,-505.96912868151054,0,27,5.091329623913339,-511.0604583054239,0.01006253017289944,1800.0,-505.96912868151054,0,23,5.0882784674199115,-511.05740714893045,0.01006253017289944,1800.0,-505.96912868151054,0,26,5.092648726175469,-511.061777407686,0.01006253017289944,1800.0,-505.8780881861788,0,26,5.226265234123048,-511.10435342030183,0.010244306366038571,1800.0,-505.96912868151054,0,25,5.092648726175469,-511.061777407686,0.01006253017289944,1800.0,-505.8780881861788,0,25,5.226265234123048,-511.10435342030183,0.010244306366038571,1800.0,-505.96912868151054,0,26,5.092648726175469,-511.061777407686,0.01006253017289944,1800.0,-505.8780881861788,0,25,5.226265234123048,-511.10435342030183,0.010244306366038571,1800.0,-505.8780881861788,0,25,5.175259965473288,-511.0533481516521,0.010244306366038571,1800.0
2,5,1800.0,-543.7924584375728,0,18,4.572983147815421,-548.3654415853882,0.0084094273042229,1800.0,-543.7924584375728,0,15,4.699638755092792,-548.4920971926656,0.0084094273042229,1800.0,-543.7924584375728,0,18,4.572983147815648,-548.3654415853885,0.0084094273042229,1800.0,-543.7924584375728,0,19,4.572983147815421,-548.3654415853882,0.0084094273042229,1800.0,-543.7924584375728,0,17,4.572983147815648,-548.3654415853885,0.0084094273042229,1800.0,-543.7924584375728,0,18,4.572983147815421,-548.3654415853882,0.0084094273042229,1800.0,-543.7924584375728,0,18,4.572983147815421,-548.3654415853882,0.0084094273042229,1800.0,-543.7924584375728,0,18,4.572983147815421,-548.3654415853882,0.0084094273042229,1800.0,-543.7924584375728,0,18,4.525030542235186,-548.317488979808,0.0084094273042229,1800.0
2,6,1800.0,-476.5735179166229,0,29,6.765190262970862,-483.33870817959377,0.014195480883086834,1800.0,-476.5735179166229,0,29,6.780256826160439,-483.35377474278334,0.014195480883086834,1800.0,-476.5735179166229,0,28,6.734909609622719,-483.3084275262456,0.014195480883086834,1800.0,-476.5735179166229,0,29,6.734909609622662,-483.30842752624557,0.014195480883086834,1800.0,-476.5735179166229,0,27,6.734909609622719,-483.3084275262456,0.014195480883086834,1800.0,-476.5735179166229,0,28,6.734909609622662,-483.30842752624557,0.014195480883086834,1800.0,-476.5735179166229,0,29,6.765190262970862,-483.33870817959377,0.014195480883086834,1800.0,-476.5735179166229,0,28,6.734909609622662,-483.30842752624557,0.014195480883086834,1800.0,-476.5735179166229,0,31,6.718768616406123,-483.292286533029,0.014195480883086834,1800.0
2,7,1800.0,-466.26739774702844,0,12,10.62947255251055,-476.896870299539,0.022796945709417857,1800.0,-466.26739774702844,0,12,10.404140851690329,-476.67153859871877,0.022796945709417857,1800.0,-466.26739774702844,0,12,10.62947255251055,-476.896870299539,0.022796945709417857,1800.0,-466.26739774702844,0,12,10.481348567183659,-476.7487463142121,0.022796945709417857,1800.0,-466.26739774702844,0,13,9.855899733338902,-476.12329748036734,0.022796945709417857,1800.0,-466.26739774702844,0,11,10.481348567183659,-476.7487463142121,0.022796945709417857,1800.0,-466.26739774702844,0,11,10.481348567183659,-476.7487463142121,0.022796945709417857,1800.0,-466.26739774702844,0,12,10.62947255251055,-476.896870299539,0.022796945709417857,1800.0,-466.26739774702844,0,13,10.53957439209995,-476.8069721391284,0.022796945709417857,1800.0
2,8,1800.0,-448.3903978779525,0,28,11.12251792915896,-459.5129158071115,0.024805432903552943,1800.0,-448.3903978779525,0,24,11.589147032670496,-459.979544910623,0.024805432903552943,1800.0,-448.3903978779525,0,28,11.12251792915896,-459.5129158071115,0.024805432903552943,1800.0,-448.3903978779525,0,28,11.222887977364337,-459.61328585531686,0.024805432903552943,1800.0,-448.3903978779525,0,28,11.100388665006903,-459.4907865429594,0.024805432903552943,1800.0,-448.3903978779525,0,26,11.386991414005308,-459.77738929195783,0.024805432903552943,1800.0,-448.3903978779525,0,28,11.12251792915896,-459.5129158071115,0.024805432903552943,1800.0,-448.3903978779525,0,29,11.100388665006903,-459.4907865429594,0.024805432903552943,1800.0,-448.3903978779525,0,29,11.025408426342949,-459.4158063042955,0.024805432903552943,1800.0
