minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,IpoptTerm,IpoptTermRel,IpoptTime,IpoptRelGapNT,IpoptNodesOCuts,ScipOATerm,ScipOATermRel,ScipOATime,ScipOARelGapNT,ScipOANodesOCuts,PavitoTerm,PavitoTermRel,PavitoTime,PavitoRelGapNT,ShotTerm,ShotTermRel,ShotTime,ShotRelGapNT
0,15,0,0 %,1800.0,0.02,22,0,0 %,1800.07,Inf,25088,0,0 %,1800.04,0.18,3575,0,0 %,1800.0,Inf,12,80 %,685.26,0.01
10,15,0,0 %,1800.0,0.02,22,0,0 %,1800.07,Inf,25088,0,0 %,1800.04,0.18,3575,0,0 %,1800.0,Inf,12,80 %,685.26,0.01
300,13,0,0 %,1800.0,0.02,21,0,0 %,1800.08,Inf,24960,0,0 %,1800.04,0.18,3505,0,0 %,1800.0,Inf,10,77 %,795.4,0.01
600,10,0,0 %,1800.0,0.02,21,0,0 %,1800.08,Inf,24696,0,0 %,1800.04,0.18,3710,0,0 %,1800.0,Inf,7,70 %,896.47,0.01
1200,3,0,0 %,1800.0,0.02,13,0,0 %,1800.1,Inf,25982,0,0 %,1800.03,Inf,3002,0,0 %,1800.0,Inf,0,0 %,1800.0,Inf
