minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,IpoptTerm,IpoptTermRel,IpoptTime,IpoptRelGapNT,IpoptNodesOCuts,ScipOATerm,ScipOATermRel,ScipOATime,ScipOARelGapNT,ScipOANodesOCuts,PavitoTerm,PavitoTermRel,PavitoTime,PavitoRelGapNT,ShotTerm,ShotTermRel,ShotTime,ShotRelGapNT
0,120,30,25 %,406.01,3.79,21828,34,28 %,516.04,0.17,12350,97,81 %,81.74,0.4,17537,29,24 %,885.84,0.22,81,68 %,297.89,0.04
10,80,3,4 %,1508.16,6.09,27003,7,9 %,1343.59,0.26,12971,64,80 %,125.57,0.58,24897,26,32 %,708.2,0.24,67,84 %,247.27,0.05
300,7,0,0 %,1800.03,75.92,18903,0,0 %,1800.27,0.95,6050,4,57 %,732.71,3.66,128287,1,14 %,1649.29,4.91,6,86 %,774.04,0.2
600,2,0,0 %,1800.04,151.49,20173,0,0 %,1800.25,1.32,8562,0,0 %,1800.0,5.24,285864,1,50 %,1325.4,4.91,2,100 %,1190.21,0.46
1200,0,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,0,NaN,Inf,NaN
