seed,dimension,varA,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,minimumTime
1,5,1,0.1,0.164,3.3703471620782786,1,62,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,0.43642,3.370347695815219,1,36,1.7497691679294638e-7,0.164
1,10,5,0.1,0.037,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,1800.0,2.7928950762089793,0,33,0.31831014844208916,0.037
1,15,1,1.0,0.181,2.9781211642550875,1,55,7.740211849238676e-8,2.978121086852969,2.5990252321868782e-8,0.39406199999999997,2.8504541382233426,1,37,-0.04478828370457484,0.181
1,20,5,1.0,0.167,2.004918106446408,1,38,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,1800.0,3.053223945484376,0,22,0.5228671976760493,0.167
2,5,1,0.1,0.209,0.4872728372600643,1,42,5.772489952704518e-8,0.4872727795351648,1.1846526617413763e-7,1800.0,3.075804128743079,0,29,5.312283915545725,0.209
2,10,5,0.1,0.211,0.06023019318797068,1,44,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,1800.0,3.388221873504062,0,36,55.25463435335959,0.211
2,15,1,1.0,0.2,3.4917781560540337,1,64,8.564703080082836e-8,3.491778070407003,2.4528199981176156e-8,1800.0,3.8774777029024956,0,38,0.11045937763465459,0.2
2,20,5,1.0,0.205,0.44277528771179864,1,40,4.108691031845524e-8,0.4427752466248883,9.279405439135438e-8,1800.0,3.7142271027590743,0,34,7.388515688424888,0.205
3,5,1,0.1,0.109,0.45178989295454297,1,16,3.8989176776027534e-8,0.4517898539653662,8.629936337396459e-8,1800.0,4.168537283763622,0,37,8.226717349175306,0.109
3,10,5,0.1,0.254,2.536857210668162,1,42,7.242487898295735e-8,2.536857138243283,2.8549056977291974e-8,1800.0,3.4517560012378907,0,34,0.3606426428995347,0.254
3,15,1,1.0,0.26,2.792894873441543,1,61,5.5845370994234145e-8,2.792894817596172,1.99955152776931e-8,1800.0,3.211017923387924,0,43,0.14970957844793736,0.26
3,20,5,1.0,0.045,2.9760070981254225,1,15,7.213614949819203e-8,2.976007025989273,2.4239240320413155e-8,1800.0,3.3524531078091595,0,51,0.12649368046930257,0.045
4,5,1,0.1,0.268,2.6141629527823453,1,37,3.411892857130283e-8,2.6141629186634168,1.3051569329407877e-8,1800.0,3.6436221051530002,0,45,0.3938006996962266,0.268
4,10,5,0.1,0.216,1.8597915468796642,1,36,5.8005213743328454e-8,1.8597914888744504,3.118909517025122e-8,1800.0,2.140255266923377,0,55,0.1508038829765071,0.216
4,15,1,1.0,0.191,0.9308823765777835,1,38,4.969353217809669e-8,0.9308823268842513,5.338325881040787e-8,1800.0,3.6386839574627294,0,69,2.9088549136406305,0.191
4,20,5,1.0,0.223,0.29033174532682576,1,41,3.673915172086595e-8,0.29033170858767404,1.2654198847099575e-7,1800.0,4.021995108745862,0,55,12.85310315676837,0.223
5,5,1,0.1,0.304,3.5649391289865147,1,61,3.699641881738103e-8,3.564939091990096,1.0377854393222775e-8,1.04505,2.1140409232273902,1,31,-0.6863150816152126,0.304
5,10,5,0.1,0.217,0.6965811464093504,1,48,8.797526296344671e-8,0.6965810584340875,1.262958013260006e-7,1800.0,2.971506193937393,0,33,3.265844093747441,0.217
5,15,1,1.0,0.237,0.30240000137385065,1,40,4.8646078720793184e-8,0.3023999527277719,1.6086668758372993e-7,1800.0,3.2851176524157806,0,33,9.863485998534948,0.237
5,20,5,1.0,0.082,1.237435754754274,1,18,4.8633677751652726e-8,1.2374357061205963,3.93019835382971e-8,1800.0,3.2204678399831685,0,35,1.6025334682473698,0.082
6,5,1,0.1,0.26,2.8504539680521126,1,61,6.682881803499185e-8,2.8504539012232946,2.3444974151769915e-8,0.36868399999999996,2.8212404130091633,1,38,-0.010354838275895771,0.26
6,10,5,0.1,0.034,3.2896187047479777,1,16,6.360616300327138e-8,3.2896186411418147,1.9335421500771258e-8,0.379119,3.2627778990250462,1,39,-0.00822634667373123,0.034
6,15,1,1.0,0.205,3.926725808077887,1,42,5.569447614206524e-8,3.926725752383411,1.418343924534589e-8,1800.0,4.212711419450509,0,32,0.07283056803585342,0.205
6,20,5,1.0,0.202,0.9491274334055991,1,49,6.59933336866203e-8,0.9491273674122654,6.953053504983939e-8,1800.0,3.9643817716663197,0,36,3.1768701522904674,0.202
7,5,1,0.1,0.22,1.5152772581707274,1,36,4.4808190935441417e-8,1.5152772133625365,2.9570952786921416e-8,1800.0,3.8985339176157527,0,34,1.5728189424590864,0.22
7,10,5,0.1,0.166,1.2136511779515227,1,20,4.169408818199827e-8,1.2136511362574345,3.435426123405721e-8,1800.0,3.717035360376628,0,35,2.0626884854563237,0.166
7,15,1,1.0,0.24,3.1425850260150794,1,64,6.164796673147066e-8,3.1425849643671127,1.9616961014731382e-8,1800.0,3.660998850823777,0,36,0.1649641592303195,0.24
7,20,5,1.0,0.268,0.2881683582857577,1,39,7.516255806638839e-8,0.28816828312319964,2.608286979114019e-7,1800.0,3.7005469651959664,0,52,11.841617839024579,0.268
8,5,1,0.1,0.118,0.6231478446384664,1,16,6.94190745997858e-8,0.6231477752193918,1.1140066186603235e-7,1800.0,3.2874465788351968,0,67,4.2755489300716585,0.118
8,10,5,0.1,0.245,1.3680759300316858,1,59,8.851736654769127e-8,1.3680758415143193,6.470209023624863e-8,1800.0,3.851198173330144,0,52,1.8150472776913185,0.245
8,15,1,1.0,0.216,3.0532239454771366,1,54,1.3289834566165837e-8,3.053223932187302,4.352721864277122e-9,1800.0,3.6734361134385183,0,61,0.20313353852395027,0.216
8,20,5,1.0,0.05,3.2249689175887406,1,16,8.787761007766903e-8,3.2249688297111305,2.7249134710409115e-8,1800.0,4.280250792419068,0,56,0.3272223759143935,0.05
9,5,1,0.1,0.255,3.3413215906953506,1,61,3.938317894025545e-8,3.3413215513121717,1.1786707246056359e-8,0.48932,2.978121254288015,1,32,-0.12195618177104336,0.255
9,10,5,0.1,0.254,1.4352713939575417,1,38,9.017705226987971e-8,1.4352713037804894,6.282927278790729e-8,1800.0,2.614162957566544,0,35,0.8213719947447333,0.254
9,15,1,1.0,0.301,0.9996270147139672,1,63,8.404317664023608e-8,0.9996269306707906,8.407454227332558e-8,1800.0,3.926725994823379,0,31,2.928191482584793,0.301
9,20,5,1.0,0.242,0.09959889598338262,1,37,5.489344445663846e-8,0.09959884108993816,5.511454135000372e-7,1800.0,3.341321824028306,0,37,32.5477982219801,0.242
10,5,1,0.1,0.256,4.155671012596181,1,59,4.337326586778545e-8,4.155670969222915,1.0437127046152064e-8,1800.0,4.25751578828338,0,35,0.024507430885344843,0.256
10,10,5,0.1,0.239,1.7918318160727862,1,41,8.244643789900863e-8,1.7918317336263483,4.601237736322022e-8,1800.0,3.164713565366378,0,31,0.7661890377181575,0.239
10,15,1,1.0,0.292,0.3516914944738503,1,67,2.6011075737741862e-8,0.35169146846277455,7.395992814791597e-8,1800.0,4.311855908532781,0,32,11.260336957787697,0.292
10,20,5,1.0,0.261,1.5948028072372764,1,84,2.390136732977055e-8,1.594802783335909,1.4987036378112634e-8,1800.0,3.9125916818588116,0,39,1.4533388847457966,0.261
1,5,1,0.1,0.242,3.0758039096430787,1,64,8.391365113880056e-8,3.0758038257294276,2.728186057799067e-8,1800.0,4.798576181938419,0,38,0.5601047575914355,0.242
1,10,5,0.1,0.053,2.8257415463844584,1,16,7.264414758623161e-8,2.825741473740311,2.5707994967450336e-8,1800.0,4.594822010473414,0,31,0.6260588780584546,0.053
1,15,1,1.0,0.254,4.25751543319662,1,66,5.411205794558782e-8,4.257515379084562,1.2709773923875486e-8,1800.0,4.526012103890773,0,30,0.06306418201686982,0.254
1,20,5,1.0,0.1,1.4206946445757869,1,16,2.5707687756337805e-8,1.4206946188680991,1.8095153888046488e-8,1800.0,3.7959954463435652,0,62,1.6719292069733638,0.1
2,5,1,0.1,0.284,1.9826704151691423,1,41,6.39870096907913e-8,1.9826703511821326,3.227314598850997e-8,1800.0,3.3974824499122414,0,57,0.7135891742601344,0.284
2,10,5,0.1,0.183,0.40531192181988007,1,19,4.223499638911221e-8,0.4053118795848837,1.0420369724264896e-7,1800.0,3.5124847565964923,0,59,7.666128316283114,0.183
2,15,1,1.0,0.257,4.461341255540128,1,79,3.219172128865466e-8,4.461341223348406,7.215704801995295e-9,1800.0,5.135611263601752,0,58,0.15113617329348328,0.257
2,20,5,1.0,0.219,2.5479034351512273,1,41,5.8699334726242114e-8,2.5479033764518926,2.3038289155212958e-8,1800.0,4.283367262830233,0,61,0.68113410516967,0.219
3,5,1,0.1,0.246,0.8896981060266755,1,41,7.479437669211109e-8,0.8896980312322988,8.406714870270673e-8,1800.0,2.0049184035403025,0,36,1.253481892910721,0.246
3,10,5,0.1,0.297,2.7405462084815904,1,62,0.018082465876733345,2.722463742604857,0.006641949199820019,0.41006,1.859791803720607,1,35,-0.4638540384780875,0.297
3,15,1,1.0,0.271,3.3882214078246813,1,62,2.9710979898567302e-8,3.3882213781137014,8.768901610292085e-9,0.39198299999999997,0.9491280365200245,1,38,-2.5698254057867747,0.271
3,20,5,1.0,0.035,3.2672790660024797,1,16,8.614259172645689e-8,3.267278979859888,2.6365239166124398e-8,0.41453199999999996,1.435271778000979,1,35,-1.2764183271341796,0.035
4,5,1,0.1,0.224,3.1647135439810334,1,58,4.104312356645323e-8,3.16471350293791,1.2968985511121788e-8,0.387712,1.4206950655650386,1,43,-1.227581118316365,0.224
4,10,5,0.1,0.244,2.7126330459355774,1,37,3.2106715508462e-8,2.712633013828862,1.1835996739987916e-8,0.432334,2.712633237852617,1,42,8.25853530352422e-8,0.244
4,15,1,1.0,0.238,1.9437670310453399,1,39,1.7731493162642664e-8,1.9437670133138467,9.12223174958247e-9,1800.0,2.1845853872266194,0,33,0.12389261277883896,0.238
4,20,5,1.0,0.22,0.8511158152098122,1,42,5.8876476582980786e-8,0.8511157563333356,6.917563932387369e-8,1800.0,2.745296228693374,0,42,2.225526267449561,0.22
5,5,1,0.1,0.206,4.367876856557001,1,62,0.004466837249614386,4.363410019307387,0.0010237033031159919,0.556918,2.1164221795013276,1,41,-1.061691689668219,0.206
5,10,5,0.1,0.216,0.7424441245381959,1,38,8.624588088146368e-8,0.742444038292315,1.1616482378905837e-7,1800.0,2.359692359267342,0,36,2.1782763919753965,0.216
5,15,1,1.0,0.213,1.1139874445287137,1,40,9.513102172675758e-8,1.113987349397692,8.539686000760493e-8,1800.0,1.2083686646796141,0,34,0.08472386632842109,0.213
5,20,5,1.0,0.224,1.4400681162035136,1,62,1.403999894122876e-8,1.4400681021635147,9.749538178184415e-9,0.560677,0.5622673843370277,1,60,-1.5611802183075338,0.224
6,5,1,0.1,0.224,3.8774773891148415,1,61,7.80679836331899e-8,3.877477311046858,2.013370482163125e-8,0.609922,0.8664494772479927,1,62,-3.4751337647088882,0.224
6,10,5,0.1,0.041,4.217212338020206,1,15,5.058105312372163e-8,4.217212287439152,1.1993954697129159e-8,0.32056399999999996,1.001154005664945,1,57,-3.2123512102797513,0.041
