seed,num_v,solution,termination,time
1,4,-27719.080067618794,LOCALLY_SOLVED,25.090258836746216
1,5,21621.882150493715,LOCALLY_SOLVED,27.473922967910767
1,6,39996.88473133877,LOCALLY_SOLVED,12.669898986816406
1,7,13872.362100414517,LOCALLY_SOLVED,17.631128072738647
1,8,41964.88332034582,LOCALLY_SOLVED,15.049988985061646
2,4,-21806.95978267962,LOCALLY_SOLVED,18.605437994003296
2,5,16463.960978327195,LOCALLY_SOLVED,18.57448697090149
2,6,11.77543626063945,LOCALLY_SOLVED,22.98995804786682
2,7,-63078.90564121283,LOCALLY_SOLVED,24.513625144958496
2,8,15406.993207279134,LOCALLY_SOLVED,20.22754406929016
3,4,-30524.560214135003,LOCALLY_SOLVED,31.67696714401245
3,5,-3687.8041473690605,LOCALLY_SOLVED,18.68959403038025
3,6,-1955.4886558304197,LOCALLY_SOLVED,14.297191858291626
3,7,7945.133483098373,LOCALLY_SOLVED,21.08243489265442
3,8,-14473.626743694604,LOCALLY_SOLVED,16.587296962738037
