seed,dimension,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,20,-1.5315296315467162,0.015227923481017758,0.009942950607908797,6659,OPTIMAL,21.987
1,25,4.732725723895142,0.045469691367560294,0.00970070571183221,16426,OPTIMAL,56.95
1,30,-30.058220377884297,0.4377589728850175,0.01456370228781422,964,Time limit reached,1804.19
1,35,7.5542870779353555,0.07205576826523252,0.009630251362599124,8723,OPTIMAL,48.15
1,40,8.098852387127241,0.0800479487314103,0.009982529109716505,308027,OPTIMAL,1015.519
1,45,5.539145438148692,0.05449742773994082,0.00993635829254963,99281,OPTIMAL,482.876
1,50,4.585952906710067,0.04497307629500913,0.009903826481188855,58047,OPTIMAL,292.43
1,55,16.533886380781954,0.15048362821071848,0.00918512658715549,17502,OPTIMAL,83.341
1,60,2.86613555120942,0.10376565364564971,0.03756399667443677,359001,Time limit reached,1800.005
1,65,14.605036632131924,0.14204656080588407,0.00982138272275399,46609,OPTIMAL,259.651
1,70,-27.187738455933847,0.9485021759237284,0.034887130368017556,60568,Time limit reached,1800.687
1,75,16.762974827801166,0.16524224948933863,0.009955712246217285,90968,OPTIMAL,509.954
1,80,20.417363511271507,0.20196836315078315,0.009990819455713616,190684,OPTIMAL,1084.236
1,85,10.236294863872313,2.7977506215428196,0.37611534332511565,360339,Time limit reached,1800.075
1,90,9.699886159290891,10.908807432609741,Inf,238521,Time limit reached,1800.006
1,95,30.948564636447877,9.335550684071418,0.43194117695208945,258864,Time limit reached,1800.054
1,100,5.124362714402975,8.159945238826932,Inf,207013,Time limit reached,1800.021
1,105,24.383439443446974,7.171095556149119,0.4166251617504082,365016,Time limit reached,1800.004
1,110,-45.71112184690901,4.331202671009066,0.0947516161496689,90124,Time limit reached,1800.017
1,115,29.724648332400744,20.529694388161207,2.232713128598395,247361,Time limit reached,1800.005
1,120,34.22481925672192,24.782109116827687,2.62446996144957,218493,Time limit reached,1800.008
2,20,-9.114481093385423,0.07711865369663329,0.008461112915424222,4663,OPTIMAL,139.083
2,25,5.401151430831927,0.04523294820481638,0.00844541386347414,5837,OPTIMAL,28.395
2,30,-5.097761657956127,0.050914515230860324,0.009987621753833378,76577,OPTIMAL,277.475
2,35,4.642555494445428,0.042773229455453254,0.009298968297045355,13454,OPTIMAL,65.147
2,40,4.9837457348195215,0.04906104438091674,0.009942082920916289,173346,OPTIMAL,755.363
2,45,5.830242767434988,0.057393266894783856,0.009941930218241994,102806,OPTIMAL,503.956
2,50,8.80701698090926,0.08627673214564346,0.009893280809261043,17797,OPTIMAL,72.77
2,55,1.7526932412468637,1.9953763666850137,Inf,304002,Time limit reached,1800.018
2,60,2.6138728690704593,0.024828119073534882,0.00958968325038197,220670,OPTIMAL,970.15
2,65,17.475556187178498,0.17174243928798916,0.009925120657804475,80316,OPTIMAL,465.183
2,70,1.9116687935507768,2.9288223863051845,Inf,275232,Time limit reached,1800.035
2,75,12.36962069471928,0.1220162548617374,0.009962458818857527,72308,OPTIMAL,410.277
2,80,11.009298728836544,1.971872723035549,0.2181896395909446,228121,Time limit reached,1800.042
2,85,12.647034830321303,1.6321842418310553,0.14818033424226146,253197,Time limit reached,1800.006
2,90,17.517643141136713,5.043706263248705,0.40433956918520714,276787,Time limit reached,1800.008
2,95,2.847123627488698,4.074801131655318,Inf,182457,Time limit reached,1800.024
2,100,5.673555409956627,3.6986739459927342,1.8728587074633445,238338,Time limit reached,1800.05
2,105,33.94358101198295,9.532513674387737,0.3904996673253536,344638,Time limit reached,1800.006
2,110,4.434359704730175,9.858965408694033,Inf,180351,Time limit reached,1800.072
2,115,23.62845063423777,18.403132789078093,3.521916433490321,172829,Time limit reached,1800.0
2,120,20.99819808604681,18.634438024503368,7.883388135568974,172560,Time limit reached,1800.012
3,20,4.20407077799835,0.02869705544179446,0.006872930987414327,2609,OPTIMAL,9.51
3,25,-1.2079100763198598,0.011786729131099793,0.009757952485180375,5991,OPTIMAL,30.566
3,30,-11.64065520659113,0.1161255089827371,0.00997585676422964,26710,OPTIMAL,1123.296
3,35,-0.2880865954664351,3.006755881251877e-5,0.00010436986408144746,39367,OPTIMAL,168.419
3,40,10.050698707324818,0.09575983126868515,0.009619328904068821,8405,OPTIMAL,61.856
3,45,4.9990692537816654,0.04855412891958455,0.00980789426856609,54644,OPTIMAL,328.715
3,50,3.4362127268012794,0.033188269191215536,0.00975258027223336,402631,OPTIMAL,1460.295
3,55,5.481378312318317,0.053824396173648204,0.009916879132889583,402791,OPTIMAL,1454.994
3,60,19.405259896663715,0.1902272913547307,0.009899920300014072,112924,OPTIMAL,514.99
3,65,3.6627533428631693,0.17530505031322008,0.050267426383844876,469566,Time limit reached,1800.011
