seed,dimension,p,k,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,15,75,3.0,2.2335078624459115,0.02148534056194329,0.009712984542148483,377,OPTIMAL,1.869
1,16,80,4.0,2.250303004538984,0.022193391042128585,0.009960636993661042,12954,OPTIMAL,87.943
1,17,85,4.0,1.6411353000709363,0.015832063512442485,0.009740990577220632,2046,OPTIMAL,10.397
1,18,90,4.0,2.1566595398692447,0.020104316418232848,0.009409687237458766,1865,OPTIMAL,10.364
1,19,95,4.0,1.7514415693513994,0.01727599130734836,0.009962134830766153,3260,OPTIMAL,23.938
1,20,100,4.0,2.274969426057991,0.022056157317311254,0.009790060551083741,5982,OPTIMAL,37.004
1,21,105,5.0,1.7617940642843877,0.01733568309476441,0.009937573336053131,10713,OPTIMAL,63.213
1,22,110,5.0,1.930455938957835,0.017251563769751455,0.009017104494158124,2632,OPTIMAL,14.823
1,23,115,5.0,1.8673957031119208,0.01842359212711031,0.009964234732181778,6398,OPTIMAL,52.999
1,24,120,5.0,2.0309586934341795,0.019992287695894895,0.009941631863589059,8575,OPTIMAL,62.314
1,25,125,5.0,1.918574585754522,0.018836515938056353,0.00991532266333756,20419,OPTIMAL,130.928
1,26,130,6.0,1.8799559395642396,0.018601343622262734,0.009993444377990289,182379,OPTIMAL,1104.042
1,27,135,6.0,1.68659829110771,0.014623835645999561,0.008746446812168093,32318,OPTIMAL,208.505
1,28,140,6.0,2.262452116275548,0.02237968083809605,0.009990605876870066,116700,OPTIMAL,658.326
1,29,145,6.0,2.067935769422928,0.02044379506905436,0.009984798634195283,114092,OPTIMAL,683.372
1,30,150,6.0,2.0182483819107615,0.019978007213028892,0.009997649700457004,45071,OPTIMAL,295.243
2,15,75,3.0,1.5912331179212327,0.015526100173278712,0.009853418178887763,4674,OPTIMAL,29.054
2,16,80,4.0,1.5377835376681745,0.015034375585231574,0.009873179351920513,28324,OPTIMAL,166.336
2,17,85,4.0,1.9730825424630343,0.019534929912161658,0.009999720399265645,82607,OPTIMAL,484.977
2,18,90,4.0,1.908612211795611,0.018858460077272987,0.009979321411652253,45254,OPTIMAL,282.589
2,19,95,4.0,2.098437741911695,0.02077311280759586,0.009998299300380037,87026,OPTIMAL,500.77
2,20,100,4.0,1.7116321382677737,0.016792924122172037,0.009908269753268393,29448,OPTIMAL,194.262
2,21,105,5.0,2.0334260864216143,0.06736939896139926,0.034266254575003215,367167,Time limit reached,1800.008
2,22,110,5.0,2.0697250358119565,0.1045555288614084,0.05320433097074279,297003,Time limit reached,1800.01
2,23,115,5.0,2.1495094750160098,0.05211796261331614,0.02484894322548857,343567,Time limit reached,1800.007
2,24,120,5.0,1.6462751317774398,0.0303046431763776,0.018753215724014973,295615,Time limit reached,1800.018
2,25,125,5.0,1.8317052559455411,0.04764414514415427,0.026705444592507753,286504,Time limit reached,1800.009
2,26,130,6.0,1.7310615341043825,0.0964969268427942,0.05903524792724897,274167,Time limit reached,1800.01
2,27,135,6.0,2.2484432009967756,0.4288792381025175,0.2357044032793044,293909,Time limit reached,1800.011
2,28,140,6.0,1.9495269184815265,0.45400061810199044,0.3035724734408039,319233,Time limit reached,1800.019
2,29,145,6.0,2.0424274050129188,0.12417423744196521,0.06473297661705656,275206,Time limit reached,1800.01
