minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_Strong_BranchingTerm,Boscia_Strong_BranchingTermRel,Boscia_Strong_BranchingTime,Boscia_Strong_BranchingRelGapNT,Boscia_Strong_BranchingNodesOCuts,Boscia_Hybrid_Branching_1Term,Boscia_Hybrid_Branching_1TermRel,Boscia_Hybrid_Branching_1Time,Boscia_Hybrid_Branching_1RelGapNT,Boscia_Hybrid_Branching_1NodesOCuts,Boscia_Hybrid_Branching_2Term,Boscia_Hybrid_Branching_2TermRel,Boscia_Hybrid_Branching_2Time,Boscia_Hybrid_Branching_2RelGapNT,Boscia_Hybrid_Branching_2NodesOCuts,Boscia_Hybrid_Branching_5Term,Boscia_Hybrid_Branching_5TermRel,Boscia_Hybrid_Branching_5Time,Boscia_Hybrid_Branching_5RelGapNT,Boscia_Hybrid_Branching_5NodesOCuts,Boscia_Hybrid_Branching_10Term,Boscia_Hybrid_Branching_10TermRel,Boscia_Hybrid_Branching_10Time,Boscia_Hybrid_Branching_10RelGapNT,Boscia_Hybrid_Branching_10NodesOCuts,Boscia_Hybrid_Branching_20Term,Boscia_Hybrid_Branching_20TermRel,Boscia_Hybrid_Branching_20Time,Boscia_Hybrid_Branching_20RelGapNT,Boscia_Hybrid_Branching_20NodesOCuts
0,48,15,31 %,387.38,0.19,291365,14,29 %,821.55,0.45,119837,14,29 %,705.96,0.45,119953,14,29 %,627.81,0.45,110969,14,29 %,532.43,0.42,146773,14,29 %,571.82,0.41,128169,15,31 %,545.52,0.23,267603
10,40,7,18 %,1048.63,0.23,349437,6,15 %,1599.27,0.53,143087,6,15 %,1478.1,0.53,143227,6,15 %,1321.11,0.53,132728,6,15 %,1133.4,0.5,175856,6,15 %,1165.02,0.49,153588,7,18 %,1118.57,0.27,320914
300,34,1,3 %,1787.88,0.26,406414,0,0 %,1800.0,0.63,141002,0,0 %,1800.0,0.63,141166,0,0 %,1800.0,0.63,141084,0,0 %,1800.0,0.59,199516,0,0 %,1800.0,0.57,175377,1,3 %,1793.86,0.32,372866
600,34,1,3 %,1787.88,0.26,406414,0,0 %,1800.0,0.63,141002,0,0 %,1800.0,0.63,141166,0,0 %,1800.0,0.63,141084,0,0 %,1800.0,0.59,199516,0,0 %,1800.0,0.57,175377,1,3 %,1793.86,0.32,372866
1200,34,1,3 %,1787.88,0.26,406414,0,0 %,1800.0,0.63,141002,0,0 %,1800.0,0.63,141166,0,0 %,1800.0,0.63,141084,0,0 %,1800.0,0.59,199516,0,0 %,1800.0,0.57,175377,1,3 %,1793.86,0.32,372866
