seed,numV,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
1,4,940.816,-501.9761863719564,0,11,4.833676927736633,-506.809863299693,0.009629295291221156,722.558,-501.9761863719564,0,10,4.98905428408824,-506.9652406560446,0.009629295291221156,727.837,-501.9761863719564,0,10,4.98905428408824,-506.9652406560446,0.009629295291221156,873.589,-501.9761863719565,0,8,5.563007408481724,-507.5391937804382,0.009629295291220927,765.632,-501.9761863719564,0,8,5.563007408481894,-507.53919378043827,0.009629295291221156,867.827,-501.9761863719564,0,11,4.833676927736633,-506.809863299693,0.009629295291221156,817.858,-501.9761863719564,0,11,4.833676927736633,-506.809863299693,0.009629295291221156,722.558
1,5,1969.507,-496.4583624786399,1,3,9.101790965360124e-8,-496.4583625696578,1.833344274818561e-10,2623.687,-496.45836247864014,1,3,9.101773912334465e-8,-496.4583625696579,1.8333396949042586e-10,2608.259,-496.45836247864014,1,3,9.101773912334465e-8,-496.4583625696579,1.8333396949042586e-10,3209.289,-496.4583624786399,1,3,9.101790965360124e-8,-496.4583625696578,1.833344274818561e-10,3217.078,-496.45836247864014,1,3,9.101773912334465e-8,-496.4583625696579,1.8333396949042586e-10,2060.371,-496.4583624786399,1,3,9.101790965360124e-8,-496.4583625696578,1.833344274818561e-10,2020.505,-496.4583624786399,1,3,9.101790965360124e-8,-496.4583625696578,1.833344274818561e-10,1969.507
1,6,666.75,-485.5407587930873,0,15,6.7940883990559655,-492.3348471921433,0.013992828152973372,696.902,-485.5407587930873,0,12,7.269979396972872,-492.8107381900602,0.013992828152973372,692.98,-485.5407587930873,0,12,7.269979396972872,-492.8107381900602,0.013992828152973372,786.057,-485.5407587930873,0,11,7.267145052101739,-492.80790384518906,0.013992828152973372,781.109,-485.5407587930873,0,11,7.267145052101739,-492.80790384518906,0.013992828152973372,702.429,-485.5407587930873,0,15,6.7940883990559655,-492.3348471921433,0.013992828152973372,686.657,-485.5407587930873,0,14,7.05552844638305,-492.59628723947037,0.013992828152973372,666.75
1,7,756.541,-475.91426983362254,0,15,8.432402208463259,-484.3466720420858,0.017718321855344218,711.799,-475.9142698336223,0,12,8.631756247067528,-484.54602608068984,0.017718321855344703,725.435,-475.9142698336223,0,12,8.631756247067528,-484.54602608068984,0.017718321855344703,693.555,-475.9142698336223,0,10,9.979426696304358,-485.8936965299267,0.017718321855344703,698.582,-475.9142698336223,0,10,9.979426696304358,-485.8936965299267,0.017718321855344703,797.241,-475.91426983362254,0,15,8.432402208463259,-484.3466720420858,0.017718321855344218,819.711,-475.91426983362254,0,15,8.432402208463259,-484.3466720420858,0.017718321855344218,693.555
1,8,729.728,-470.9310220831441,0,10,15.725960448776732,-486.65698253192085,0.033393341511488435,966.822,-470.93102208314434,0,10,15.725960448776505,-486.65698253192085,0.033393341511487935,974.971,-470.93102208314434,0,10,15.725960448776505,-486.65698253192085,0.033393341511487935,1186.434,-470.93102208314434,0,10,15.725960448776505,-486.65698253192085,0.033393341511487935,1206.962,-470.93102208314434,0,10,15.725960448776505,-486.65698253192085,0.033393341511487935,780.497,-470.9310220831441,0,10,15.725960448776732,-486.65698253192085,0.033393341511488435,803.926,-470.9310220831441,0,10,15.725960448776732,-486.65698253192085,0.033393341511488435,729.728
2,4,700.542,-506.0168111748489,0,14,5.483506751597417,-511.5003179264463,0.010836609832914519,734.917,-506.0168111748488,0,10,6.341313095394582,-512.3581242702434,0.010836609832914746,742.222,-506.0168111748488,0,10,6.341313095394582,-512.3581242702434,0.010836609832914746,748.205,-506.0168111748489,0,9,7.063512747766993,-513.0803239226159,0.010836609832914519,901.553,-506.0168111748488,0,10,6.341313095394582,-512.3581242702434,0.010836609832914746,723.9,-506.0168111748489,0,12,6.043630760656981,-512.0604419355059,0.010836609832914519,684.914,-506.0168111748489,0,13,5.91511487420081,-511.9319260490497,0.010836609832914519,684.914
2,5,1347.33,-543.7924584375733,0,9,6.2211331566110175,-550.0135915941843,0.011440271118296865,1439.685,-543.7924584375733,0,9,6.2211331566110175,-550.0135915941843,0.011440271118296865,1407.446,-543.7924584375733,0,9,6.2211331566110175,-550.0135915941843,0.011440271118296865,1730.49,-543.7924584375733,0,9,6.2211331566110175,-550.0135915941843,0.011440271118296865,1713.626,-543.7924584375733,0,9,6.2211331566110175,-550.0135915941843,0.011440271118296865,1075.222,-543.7924584375728,0,9,6.221133156611586,-550.0135915941844,0.01144027111829771,1097.404,-543.7924584375728,0,9,6.221133156611586,-550.0135915941844,0.01144027111829771,1075.222
2,6,748.683,-476.5735179166228,0,11,8.312831375230019,-484.8863492918528,0.017442915022996223,796.026,-476.5735179166229,0,12,7.574714284001345,-484.14823220062425,0.01744291502299598,791.171,-476.5735179166229,0,12,7.574714284001345,-484.14823220062425,0.01744291502299598,797.395,-476.5735179166229,0,11,8.312831375230076,-484.886349291853,0.01744291502299598,808.641,-476.5735179166229,0,11,8.312831375230076,-484.886349291853,0.01744291502299598,807.189,-476.5735179166229,0,15,7.263450329025204,-483.8369682456481,0.01744291502299598,681.495,-476.5735179166229,0,14,7.518609451486498,-484.0921273681094,0.01744291502299598,681.495
2,7,733.537,-466.26739774702844,0,8,14.087600438782658,-480.3549981858111,0.03021356523499812,696.599,-466.2673977470281,0,7,19.36973167745043,-485.63712942447853,0.030213565234998872,709.173,-466.2673977470281,0,7,19.36973167745043,-485.63712942447853,0.030213565234998872,767.214,-466.2673977470281,0,6,24.723337506685482,-490.9907352537136,0.030213565234998872,780.705,-466.2673977470281,0,6,24.723337506685482,-490.9907352537136,0.030213565234998872,782.909,-466.26739774702844,0,8,14.087600438782658,-480.3549981858111,0.03021356523499812,799.939,-466.26739774702844,0,8,14.087600438782658,-480.3549981858111,0.03021356523499812,696.599
2,8,747.66,-448.3903978779525,0,14,12.729395634380865,-461.1197935123334,0.028389090610824546,746.311,-448.39039787795275,0,10,15.411748344243392,-463.80214622219614,0.028389090610824026,768.987,-448.39039787795275,0,10,15.411748344243392,-463.80214622219614,0.028389090610824026,933.798,-448.39039787795275,0,10,15.411748344243392,-463.80214622219614,0.028389090610824026,920.759,-448.39039787795275,0,10,15.411748344243392,-463.80214622219614,0.028389090610824026,685.948,-448.3903978779525,0,13,13.543648925377397,-461.9340468033299,0.028389090610824546,694.508,-448.3903978779525,0,13,13.543648925377397,-461.9340468033299,0.028389090610824546,685.948
3,4,714.207,-482.5884753539862,0,19,2.9586651214239623,-485.5471404754102,0.0061308242374701035,710.232,-482.588475353986,0,15,3.3832839110909276,-485.9717592650769,0.006130824237470577,683.107,-482.588475353986,0,14,3.204687387197339,-485.7931627411833,0.006130824237470577,715.98,-482.58847535398627,0,11,3.6501134986232273,-486.2385888526095,0.006130824237469985,707.793,-482.588475353986,0,13,3.843005102165023,-486.431480456151,0.006130824237470577,672.43,-482.5884753539862,0,17,3.166955798534559,-485.75543115252077,0.0061308242374701035,696.665,-482.5884753539862,0,18,3.0439135580678,-485.632388912054,0.0061308242374701035,672.43
3,5,671.754,-492.7137659643789,0,12,4.451574984646925,-497.16534094902585,0.009034809441408533,702.021,-492.7137659643786,0,9,6.180487726321871,-498.89425369070045,0.009034809441409232,692.991,-492.7137659643786,0,9,6.180487726321871,-498.89425369070045,0.009034809441409232,767.681,-492.7137659643786,0,8,6.180487726321871,-498.89425369070045,0.009034809441409232,759.147,-492.7137659643786,0,8,6.180487726321871,-498.89425369070045,0.009034809441409232,716.08,-492.7137659643789,0,12,4.451574984646925,-497.16534094902585,0.009034809441408533,732.356,-492.7137659643789,0,12,4.451574984646925,-497.16534094902585,0.009034809441408533,671.754
3,6,672.38,-508.8601833257553,0,12,6.608118081417388,-515.4683014071727,0.012986117401107587,768.744,-508.86018332575543,0,10,7.146492927807799,-516.0066762535632,0.012986117401107361,782.841,-508.86018332575543,0,10,7.146492927807799,-516.0066762535632,0.012986117401107361,807.505,-508.86018332575543,0,9,8.986621574356036,-517.8468049001115,0.012986117401107361,800.718,-508.86018332575543,0,9,8.986621574356036,-517.8468049001115,0.012986117401107361,705.866,-508.8601833257553,0,12,6.608118081417388,-515.4683014071727,0.012986117401107587,718.809,-508.8601833257553,0,12,6.608118081417388,-515.4683014071727,0.012986117401107587,672.38
3,7,709.995,-457.58825120820745,0,12,13.675538668750733,-471.2637898769582,0.0298861228028519,918.879,-457.58825120820734,0,11,13.247506468980646,-470.835757677188,0.029886122802852157,926.246,-457.58825120820734,0,11,13.247506468980646,-470.835757677188,0.029886122802852157,871.677,-457.58825120820734,0,10,14.056396991896634,-471.644648200104,0.029886122802852157,888.83,-457.58825120820734,0,10,14.056396991896634,-471.644648200104,0.029886122802852157,749.707,-457.58825120820745,0,12,13.675538668750733,-471.2637898769582,0.0298861228028519,765.098,-457.58825120820745,0,12,13.675538668750733,-471.2637898769582,0.0298861228028519,709.995
3,8,743.553,-433.40142236741144,0,9,16.02118773811935,-449.4226101055308,0.0369661632640826,813.955,-433.4014223674111,0,8,15.132249095581585,-448.5336714629927,0.03696616326408342,836.177,-433.4014223674111,0,8,15.132249095581585,-448.5336714629927,0.03696616326408342,1025.886,-433.4014223674111,0,8,15.132249095581585,-448.5336714629927,0.03696616326408342,991.046,-433.4014223674111,0,8,15.132249095581585,-448.5336714629927,0.03696616326408342,799.844,-433.40142236741144,0,9,16.02118773811935,-449.4226101055308,0.0369661632640826,820.095,-433.40142236741144,0,9,16.02118773811935,-449.4226101055308,0.0369661632640826,743.553
