seed,dimension,solution,calls,termination,time
1,20,-2.5940743733104927,4161,OPTIMAL,26.253317
1,25,-0.59485566941013,4923,OPTIMAL,34.035426
1,30,-30.46648607738452,7138,OPTIMAL,93.982672
1,35,-0.31990937552717,3698,OPTIMAL,34.649481
1,40,6.049251180405151,14140,TIME_LIMIT,1800.014727
1,45,6.371721524842817,12624,TIME_LIMIT,1800.399239
1,50,8.164867707522262,13584,TIME_LIMIT,1800.003389
1,55,101.19871779723309,16002,TIME_LIMIT,1800.000109
1,60,33.72721029183364,6906,TIME_LIMIT,1800.044054
1,65,116.7334138424825,11507,TIME_LIMIT,1800.033923
1,70,-20.63493708386453,10006,TIME_LIMIT,1800.313363
1,75,1343.3456916892571,8240,TIME_LIMIT,1800.163837
1,80,977.6160665648545,11307,TIME_LIMIT,1800.000627
1,85,Inf,Inf,ERROR,1800.0
1,90,970.7932413971234,6254,TIME_LIMIT,1800.008823
1,95,4755.571438846434,4080,TIME_LIMIT,1800.007829
1,100,2029.1271238950633,5529,TIME_LIMIT,1800.001219
1,105,4029.537922649064,8931,TIME_LIMIT,1800.011696
1,110,-0.026331431402587757,7001,TIME_LIMIT,1800.011582
1,115,8580.731647431227,7311,TIME_LIMIT,1800.000722
1,120,Inf,Inf,ERROR,1800.0
2,20,-10.168236057024012,1347,OPTIMAL,3.345378
2,25,0.15980160072535166,4164,OPTIMAL,22.347376
2,30,-5.96420945676541,9455,OPTIMAL,565.457078
2,35,-0.261442239298043,12408,OPTIMAL,704.605907
2,40,9.369067050849663,21111,TIME_LIMIT,1800.001085
2,45,6.986709906519167,19391,TIME_LIMIT,1800.009538
2,50,29.46711967449503,13339,TIME_LIMIT,1800.000578
2,55,64.55339713088497,12177,TIME_LIMIT,1800.067311
2,60,27.690654187917403,20016,TIME_LIMIT,1800.483553
2,65,358.2738028473287,9625,TIME_LIMIT,1800.190909
2,70,136.70974719353006,6557,TIME_LIMIT,1800.164471
2,75,347.90044917733127,17052,TIME_LIMIT,1800.037264
2,80,766.600142032903,5764,TIME_LIMIT,1800.005093
2,85,831.1267753863715,10122,TIME_LIMIT,1800.000958
2,90,Inf,Inf,ERROR,1800.0
2,95,470.29097363700134,7202,TIME_LIMIT,1800.000917
2,100,1204.5506711269102,14259,TIME_LIMIT,1800.004898
2,105,Inf,Inf,ERROR,1800.0
2,110,7.104506945418916,10951,TIME_LIMIT,1800.000511
2,115,Inf,Inf,ERROR,1800.0
2,120,Inf,Inf,ERROR,1880.0
3,20,0.22284226172080573,1236,OPTIMAL,2.706571
3,25,-1.7272034869358093,5641,OPTIMAL,61.916271
3,30,-12.21363430974079,8344,OPTIMAL,255.31713
3,35,-1.9656036874542946,11575,OPTIMAL,371.899464
3,40,0.16875177994616763,12879,OPTIMAL,986.126396
3,45,18.59856451269558,14098,TIME_LIMIT,1800.012721
3,50,19.531588043442653,12484,TIME_LIMIT,1800.045366
3,55,35.24287533457482,20216,TIME_LIMIT,1800.005219
3,60,238.74125695408742,10903,TIME_LIMIT,1800.032363
3,65,32.581408518713076,12511,TIME_LIMIT,1800.115813
3,70,29.214399999190086,8053,TIME_LIMIT,1800.282437
3,75,163.14380173754884,12258,TIME_LIMIT,1800.003064
3,80,766.5366621716931,5266,TIME_LIMIT,1800.00173
3,85,552.2633137252657,9950,TIME_LIMIT,1800.008659
