seed,dimension,p,k,Ns,solution,calls,termination,time
1,50,50,25.0,0.1,0.8576320123342457,2053,OPTIMAL,12.267667
1,50,50,25.0,1.0,0.5102882203894357,2544,OPTIMAL,17.250024
1,50,50,25.0,5.0,0.5102883530382827,2274,OPTIMAL,15.264005
1,50,50,25.0,10.0,0.8662489916280611,1887,OPTIMAL,6.99987
2,50,50,25.0,0.1,0.8398445932674922,2039,OPTIMAL,8.645237999999999
2,50,50,25.0,1.0,0.28088412448594735,2151,OPTIMAL,10.33143
2,50,50,25.0,5.0,0.28088405306421105,3693,OPTIMAL,24.448029
2,50,50,25.0,10.0,0.3674623807340085,1795,OPTIMAL,4.292712
3,50,50,25.0,0.1,0.8670394247210655,1728,OPTIMAL,7.201984
3,50,50,25.0,1.0,0.5044579020808421,2169,OPTIMAL,12.33811
3,50,50,25.0,5.0,0.5044578367703404,3691,OPTIMAL,30.119482
3,50,50,25.0,10.0,0.8570759003865456,2197,OPTIMAL,5.82331
4,50,50,25.0,0.1,0.5857615480538585,950,OPTIMAL,3.788592
4,50,50,25.0,1.0,-0.9117114039141601,2007,OPTIMAL,9.490135
4,50,50,25.0,5.0,-0.86401705570131,734645,TIME_LIMIT,1800.001055
4,50,50,25.0,10.0,0.33345165394419113,1654,OPTIMAL,3.67443
5,50,50,25.0,0.1,0.8567166471559252,2430,OPTIMAL,11.08009
5,50,50,25.0,1.0,0.48686595678011935,2851,OPTIMAL,15.682672
5,50,50,25.0,5.0,0.4868659742662914,2547,OPTIMAL,12.295075
5,50,50,25.0,10.0,0.941757193519279,1576,OPTIMAL,3.454056
6,50,50,25.0,0.1,0.8920664003590933,2010,OPTIMAL,8.329112
6,50,50,25.0,1.0,0.626964501526715,2306,OPTIMAL,10.420217
6,50,50,25.0,5.0,0.6269644025534342,2448,OPTIMAL,11.005943
6,50,50,25.0,10.0,0.8748959371311311,1588,OPTIMAL,3.431467
7,50,50,25.0,0.1,0.8135283390026617,1630,OPTIMAL,5.577272
7,50,50,25.0,1.0,0.2003787340721277,2316,OPTIMAL,9.697077
7,50,50,25.0,5.0,0.21324814335253003,496,OPTIMAL,1.911343
7,50,50,25.0,10.0,0.6931100072553993,1584,OPTIMAL,2.610102
8,50,50,25.0,0.1,0.7352061217633677,2582,OPTIMAL,9.858923
8,50,50,25.0,1.0,-0.200512497167341,2820,OPTIMAL,12.539654
8,50,50,25.0,5.0,-0.2028256712203666,3368,OPTIMAL,16.758055
8,50,50,25.0,10.0,0.2633249402437248,1485,OPTIMAL,2.428583
9,50,50,25.0,0.1,0.818101137278005,3020,OPTIMAL,14.0548
9,50,50,25.0,1.0,0.15096497591101565,1540,OPTIMAL,6.740462
9,50,50,25.0,5.0,0.15475973719062514,1284,OPTIMAL,5.688576
9,50,50,25.0,10.0,0.6408781797829631,2028,OPTIMAL,4.868987
10,50,50,25.0,0.1,0.8581060451083004,1865,OPTIMAL,8.301566
10,50,50,25.0,1.0,0.5049612511885577,2292,OPTIMAL,11.247864
10,50,50,25.0,5.0,0.5049614562210715,2283,OPTIMAL,13.416662
10,50,50,25.0,10.0,0.8662091999702277,1754,OPTIMAL,3.23792
1,70,70,35.0,0.1,0.5533493957940294,4677,OPTIMAL,45.515252
1,70,70,35.0,1.0,-1.3416932550164888,5933,OPTIMAL,73.304899
1,70,70,35.0,5.0,-1.565846627292959,6075,OPTIMAL,96.155676
1,70,70,35.0,10.0,0.22224037216230308,3206,OPTIMAL,18.449824
2,70,70,35.0,0.1,0.8426645742169011,3182,OPTIMAL,26.51096
2,70,70,35.0,1.0,0.26860013389926984,4470,OPTIMAL,50.93466
2,70,70,35.0,5.0,0.2686001321016359,5591,OPTIMAL,85.213251
2,70,70,35.0,10.0,0.8200315033552694,2925,OPTIMAL,16.660402
3,70,70,35.0,0.1,0.6975604972458871,5378,OPTIMAL,57.479649
3,70,70,35.0,1.0,-0.864952945072608,3028,OPTIMAL,28.227222
3,70,70,35.0,5.0,-0.9790840633740098,4909,OPTIMAL,65.567884
3,70,70,35.0,10.0,0.44257468460187255,3313,OPTIMAL,19.127744
4,70,70,35.0,0.1,0.8553666468395721,5736,OPTIMAL,67.531919
4,70,70,35.0,1.0,0.497529699761993,6528,OPTIMAL,94.491405
4,70,70,35.0,5.0,0.4975296582008757,6685,OPTIMAL,115.979234
4,70,70,35.0,10.0,0.9084666767166426,4060,OPTIMAL,35.431832
5,70,70,35.0,0.1,0.5819287500805082,4353,OPTIMAL,43.677648
5,70,70,35.0,1.0,-1.4874590154148843,5747,OPTIMAL,71.510461
5,70,70,35.0,5.0,-1.7909598683537937,5562,OPTIMAL,84.245492
5,70,70,35.0,10.0,0.29875963253996757,3213,OPTIMAL,17.982217
6,70,70,35.0,0.1,0.8010337679993238,4221,OPTIMAL,42.140946
6,70,70,35.0,1.0,0.09412629988149407,2982,OPTIMAL,28.568471
6,70,70,35.0,5.0,0.0960157224227019,3377,OPTIMAL,49.491499
6,70,70,35.0,10.0,0.8271872034281448,3787,OPTIMAL,23.615061
7,70,70,35.0,0.1,0.8705381003556876,1942,OPTIMAL,14.596988
7,70,70,35.0,1.0,0.521977715794208,6095,OPTIMAL,81.827357
7,70,70,35.0,5.0,0.5219777301647966,4265,OPTIMAL,60.089226
7,70,70,35.0,10.0,0.8200295150235033,3361,OPTIMAL,19.63379
8,70,70,35.0,0.1,0.9268042164716808,4131,OPTIMAL,42.746143000000004
8,70,70,35.0,1.0,0.8260286644888117,2640,OPTIMAL,22.536266
8,70,70,35.0,5.0,0.826028686292742,4974,OPTIMAL,90.024038
8,70,70,35.0,10.0,0.9756331204365833,2825,OPTIMAL,14.507
9,70,70,35.0,0.1,0.38242385457859485,1822,OPTIMAL,11.93896
9,70,70,35.0,1.0,-2.131179619183607,6480,OPTIMAL,80.472654
9,70,70,35.0,5.0,-2.6399746911785105,4507,OPTIMAL,60.740423
9,70,70,35.0,10.0,0.2987564510678251,3565,OPTIMAL,23.963348
10,70,70,35.0,0.1,0.9875081692525435,5095,OPTIMAL,61.127786
10,70,70,35.0,1.0,0.9875082549366748,2938,OPTIMAL,26.951591
10,70,70,35.0,5.0,0.9928709045812187,1073,OPTIMAL,14.442835
10,70,70,35.0,10.0,0.9995701167955342,2881,OPTIMAL,14.311497
1,90,90,45.0,0.1,0.8003842840928563,3811,OPTIMAL,52.103358
1,90,90,45.0,1.0,-0.002356201733625763,8982,OPTIMAL,230.533568
1,90,90,45.0,5.0,-0.002356236646410787,11262,OPTIMAL,466.125587
1,90,90,45.0,10.0,0.7919431480650571,5094,OPTIMAL,54.720771
2,90,90,45.0,0.1,0.7828971168750378,4902,OPTIMAL,82.329004
2,90,90,45.0,1.0,-0.11201065084193478,5784,OPTIMAL,112.451948
2,90,90,45.0,5.0,-0.08699883683059251,276177,TIME_LIMIT,1800.003322
2,90,90,45.0,10.0,0.6289312293062137,4071,OPTIMAL,58.480978
3,90,90,45.0,0.1,0.6276985578811844,3053,OPTIMAL,37.200513
3,90,90,45.0,1.0,-0.45191270219252233,8445,OPTIMAL,208.734364
3,90,90,45.0,5.0,-0.46528555599321775,16106,OPTIMAL,691.587229
3,90,90,45.0,10.0,0.9617313175506778,4753,OPTIMAL,50.449887
4,90,90,45.0,0.1,0.5485841258578235,12145,OPTIMAL,307.210954
4,90,90,45.0,1.0,-1.4845583899677324,8243,OPTIMAL,191.555557
4,90,90,45.0,5.0,-1.664704718923627,281733,TIME_LIMIT,1800.003072
4,90,90,45.0,10.0,0.44764548208773475,5809,OPTIMAL,66.806159
5,90,90,45.0,0.1,0.8251937614135136,4352,OPTIMAL,65.262857
5,90,90,45.0,1.0,0.29743208372104063,7543,OPTIMAL,183.382462
5,90,90,45.0,5.0,0.297432055451971,6160,OPTIMAL,226.811628
5,90,90,45.0,10.0,0.9588898927119783,5955,OPTIMAL,75.119627
6,90,90,45.0,0.1,0.8004353335975434,7824,OPTIMAL,163.782729
6,90,90,45.0,1.0,0.03188512928967739,11408,OPTIMAL,357.84827
6,90,90,45.0,5.0,0.0318850917090839,6382,OPTIMAL,253.309877
6,90,90,45.0,10.0,0.803699005775204,5113,OPTIMAL,58.323415
7,90,90,45.0,0.1,0.8193881898935184,6976,OPTIMAL,139.393615
7,90,90,45.0,1.0,0.09415171241045488,4540,OPTIMAL,75.980803
7,90,90,45.0,5.0,0.0941517280847915,8287,OPTIMAL,205.635983
7,90,90,45.0,10.0,0.7353603525338496,5285,OPTIMAL,57.448145
8,90,90,45.0,0.1,0.6901809328608328,7137,OPTIMAL,143.160553
8,90,90,45.0,1.0,-0.67173044608401,6316,OPTIMAL,102.1137
8,90,90,45.0,5.0,-0.7317754610383735,9736,OPTIMAL,378.246723
8,90,90,45.0,10.0,0.23950217087813253,4939,OPTIMAL,53.212146
9,90,90,45.0,0.1,0.6012881524757978,10967,OPTIMAL,273.904159
9,90,90,45.0,1.0,-0.998363843759314,7491,OPTIMAL,175.610995
9,90,90,45.0,5.0,-1.1231585246664948,9666,OPTIMAL,319.690423
9,90,90,45.0,10.0,0.7674964673935706,5103,OPTIMAL,78.666078
10,90,90,45.0,0.1,0.7868783959130988,8914,OPTIMAL,176.76264
10,90,90,45.0,1.0,0.030667581887822173,8746,OPTIMAL,204.089113
10,90,90,45.0,5.0,0.07086234636541246,295551,TIME_LIMIT,1800.001492
10,90,90,45.0,10.0,0.8319320004946301,4622,OPTIMAL,47.454845
