seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-10.52163726099156,0.09599034035833398,0.009123137205481635,21,194,Optimal (tolerance reached),8.381
1,5,-6.753903222760302,0.06342517256953428,0.009390891530070309,413,3756,Optimal (tolerance reached),36.119
1,6,-6.609683524031659,0.06583560821232837,0.00996047813378077,2861,36308,Optimal (tolerance reached),201.586
1,7,-11.690896291367242,0.11587140379486627,0.00991125067805346,439,4502,Optimal (tolerance reached),42.725
1,8,-1.0950438989627638,0.01038704834563653,0.009485508622508415,1129,18211,Optimal (tolerance reached),141.238
2,4,-12.460514291879214,0.08932549002415158,0.007168684047203969,11,85,Optimal (tolerance reached),7.524
2,5,-14.615935365134433,0.14469220883557732,0.009899620189942355,325,3061,Optimal (tolerance reached),31.254
2,6,-9.397587997810406,0.09297942679095961,0.00989396713418628,171,2136,Optimal (tolerance reached),23.361
2,7,-4.423288842330427,0.04376472244398055,0.009894158849667828,1169,17541,Optimal (tolerance reached),136.873
2,8,-10.365833529843716,0.1035638304801978,0.009990883046889835,1457,21790,Optimal (tolerance reached),158.925
3,4,-9.927340542531102,0.0992388211781492,0.009996516262637143,71,550,Optimal (tolerance reached),14.898
3,5,-10.77493717608612,0.10773992957056144,0.009999123689526403,355,3561,Optimal (tolerance reached),35.011
3,6,-3.4326763706031858,0.03319041405557188,0.009668961029885757,343,5192,Optimal (tolerance reached),48.619
3,7,-5.729822203312297,0.05728679579953955,0.00999800583104013,1437,19688,Optimal (tolerance reached),149.832
3,8,-0.9868809399417318,0.42830559367575805,0.4339992559802061,8505,134091,Time limit reached,601.902
