seed,n0,m0,M,solution,calls,termination,time
1,2,15,20.0,3.370347695815219,36,OPTIMAL,0.43642
1,2,16,20.0,2.7928950762089793,33,OPTIMAL,0.519269
1,2,17,20.0,2.8504541382233426,37,OPTIMAL,0.39406199999999997
1,2,18,20.0,3.053223945484376,22,OPTIMAL,0.392624
1,2,19,20.0,3.075804128743079,29,OPTIMAL,0.36686399999999997
1,2,20,20.0,3.388221873504062,36,OPTIMAL,0.430942
1,2,21,20.0,3.8774777029024956,38,OPTIMAL,0.373673
1,2,22,20.0,3.7142271027590743,34,OPTIMAL,0.403031
1,2,23,20.0,4.168537283763622,37,OPTIMAL,0.640593
1,2,24,20.0,3.4517560012378907,34,OPTIMAL,0.566959
1,2,25,20.0,3.211017923387924,43,OPTIMAL,0.563515
1,3,26,20.0,3.3524531078091595,51,OPTIMAL,0.699722
1,3,27,20.0,3.6436221051530002,45,OPTIMAL,0.643073
1,3,28,20.0,2.140255266923377,55,OPTIMAL,0.36264199999999996
1,3,29,20.0,3.6386839574627294,69,OPTIMAL,0.342169
1,3,30,20.0,4.021995108745862,55,OPTIMAL,0.34046299999999996
2,2,15,20.0,2.1140409232273902,31,OPTIMAL,1.04505
2,2,16,20.0,2.971506193937393,33,OPTIMAL,0.539582
2,2,17,20.0,3.2851176524157806,33,OPTIMAL,0.42688099999999995
2,2,18,20.0,3.2204678399831685,35,OPTIMAL,0.43277
2,2,19,20.0,2.8212404130091633,38,OPTIMAL,0.36868399999999996
2,2,20,20.0,3.2627778990250462,39,OPTIMAL,0.379119
2,2,21,20.0,4.212711419450509,32,OPTIMAL,0.41309599999999996
2,2,22,20.0,3.9643817716663197,36,OPTIMAL,0.40551
2,2,23,20.0,3.8985339176157527,34,OPTIMAL,0.559614
2,2,24,20.0,3.717035360376628,35,OPTIMAL,0.621889
2,2,25,20.0,3.660998850823777,36,OPTIMAL,0.562264
2,3,26,20.0,3.7005469651959664,52,OPTIMAL,0.748177
2,3,27,20.0,3.2874465788351968,67,OPTIMAL,0.568009
2,3,28,20.0,3.851198173330144,52,OPTIMAL,0.31756799999999996
2,3,29,20.0,3.6734361134385183,61,OPTIMAL,0.385955
2,3,30,20.0,4.280250792419068,56,OPTIMAL,0.336239
3,2,15,20.0,2.978121254288015,32,OPTIMAL,0.48932
3,2,16,20.0,2.614162957566544,35,OPTIMAL,0.453804
3,2,17,20.0,3.926725994823379,31,OPTIMAL,0.39499
3,2,18,20.0,3.341321824028306,37,OPTIMAL,0.392804
3,2,19,20.0,4.25751578828338,35,OPTIMAL,0.399742
3,2,20,20.0,3.164713565366378,31,OPTIMAL,0.431098
3,2,21,20.0,4.311855908532781,32,OPTIMAL,0.371896
3,2,22,20.0,3.9125916818588116,39,OPTIMAL,0.37373999999999996
3,2,23,20.0,4.798576181938419,38,OPTIMAL,0.6065499999999999
3,2,24,20.0,4.594822010473414,31,OPTIMAL,0.559366
3,2,25,20.0,4.526012103890773,30,OPTIMAL,0.558372
3,3,26,20.0,3.7959954463435652,62,OPTIMAL,0.7670009999999999
3,3,27,20.0,3.3974824499122414,57,OPTIMAL,0.6152869999999999
3,3,28,20.0,3.5124847565964923,59,OPTIMAL,0.355942
3,3,29,20.0,5.135611263601752,58,OPTIMAL,0.338894
3,3,30,20.0,4.283367262830233,61,OPTIMAL,0.387386
4,2,15,20.0,2.0049184035403025,36,OPTIMAL,0.5434329999999999
4,2,16,20.0,1.859791803720607,35,OPTIMAL,0.41006
4,2,17,20.0,0.9491280365200245,38,OPTIMAL,0.39198299999999997
4,2,18,20.0,1.435271778000979,35,OPTIMAL,0.41453199999999996
4,2,19,20.0,1.4206950655650386,43,OPTIMAL,0.387712
4,2,20,20.0,2.712633237852617,42,OPTIMAL,0.432334
4,2,21,20.0,2.1845853872266194,33,OPTIMAL,0.414437
4,2,22,20.0,2.745296228693374,42,OPTIMAL,0.4039
4,2,23,20.0,2.1164221795013276,41,OPTIMAL,0.556918
4,2,24,20.0,2.359692359267342,36,OPTIMAL,0.556098
4,2,25,20.0,1.2083686646796141,34,OPTIMAL,0.6134499999999999
4,3,26,20.0,0.5622673843370277,60,OPTIMAL,0.560677
4,3,27,20.0,0.8664494772479927,62,OPTIMAL,0.609922
4,3,28,20.0,1.001154005664945,57,OPTIMAL,0.32056399999999996
4,3,29,20.0,0.8581539992153424,58,OPTIMAL,0.336295
4,3,30,20.0,0.6466216734266188,61,OPTIMAL,0.334619
5,2,15,20.0,0.4872732057079675,36,OPTIMAL,0.460551
5,2,16,20.0,0.9308824116440346,32,OPTIMAL,0.452576
5,2,17,20.0,1.515277358406499,37,OPTIMAL,0.391125
5,2,18,20.0,0.9996273384116522,34,OPTIMAL,0.36434
