seed,dimension,varA,p,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
1,5,1,25,0.1,3.004,0.633054172702953,1,1208,0.006238038242867505,0.6268161344600856,0.009951942682906053,90.985,0.6346725759752028,1,7392,0.006273783601028704,0.6283987923741741,0.012533885270653482,34.325,0.6346725759752028,1,7392,0.006273783601028926,0.6283987923741738,0.012533885270653482,25.086,0.6330541727029532,1,4682,0.006233902533793967,0.6268202701691592,0.00995194268290623,13.236,0.6330541727029532,1,2342,0.0062536897523385315,0.6268004829506146,0.00995194268290623,16.654,0.633054172702953,1,1659,0.006179348450355948,0.6268748242525971,0.009951942682906053,20.558,0.633054172702953,1,1567,0.006179836665795024,0.626874336037158,0.009951942682906053,3.004
1,10,5,50,0.1,1.731,0.28694865548636417,1,897,0.0020145471396686987,0.28493410834669547,0.007070221081491182,39.524,0.28694865548636406,1,2326,0.0026847176426242347,0.2842639378437398,0.007070221081490791,14.829,0.28694865548636417,1,2326,0.0026847176426243458,0.2842639378437398,0.007070221081491182,13.781,0.28694865548636417,1,2069,0.002239010804371777,0.2847096446819924,0.007070221081491182,10.888,0.28694865548636417,1,1480,0.0026246728396946972,0.28432398264666947,0.007070221081491182,14.305,0.28694865548636406,1,975,0.0027464347905912234,0.28420222069577283,0.007070221081490791,17.091,0.28694865548636406,1,823,0.002741235428082689,0.28420742005828137,0.007070221081490791,1.731
1,15,1,75,1.0,46.134,0.6330541727029194,1,24861,0.006266560957103762,0.6267876117458157,0.009997901744817943,1192.572,0.6330541727029194,1,126978,0.004673933360391236,0.6283802393425282,0.009997901744817943,440.175,0.6330541727029194,1,126978,0.004673933360391014,0.6283802393425284,0.009997901744817943,220.243,0.6330541727029194,1,76694,0.00624787230799162,0.6268063003949278,0.009997901744817943,75.106,0.6330541727029194,1,32370,0.006226676045601565,0.6268274966573179,0.009997901744817943,78.432,0.6330541727029194,1,25848,0.006259084879585708,0.6267950878233337,0.009997901744817943,87.804,0.6330541727029194,1,22905,0.00619570855976137,0.626858464143158,0.009997901744817943,46.134
1,20,5,100,1.0,95.854,0.2867351506391778,1,37948,0.002833152247559312,0.2839019983916185,0.009979331824396745,1497.759,0.2867351506391778,1,177416,0.002836247861931873,0.28389890277724594,0.009979331824396745,594.091,0.2867351506391778,1,177416,0.002836247861931873,0.28389890277724594,0.009979331824396745,311.498,0.2867351506391778,1,113765,0.002835721492762344,0.28389942914641547,0.009979331824396745,144.854,0.2867351506391778,1,66424,0.0028293203611926,0.2839058302779852,0.009979331824396745,151.868,0.2867351506391778,1,43283,0.002821403234190556,0.28391374740498726,0.009979331824396745,140.201,0.2867351506391778,1,41810,0.0028377455176008537,0.28389740512157696,0.009979331824396745,95.854
2,5,1,25,0.1,0.138,0.561558803563659,1,44,0.004645671566534837,0.5569131319971241,0.008341824423990826,15.519,0.561558803563659,1,30,0.00541121756678109,0.5561475859968779,0.008341824423990826,7.551,0.561558803563659,1,30,0.00541121756678109,0.5561475859968779,0.008341824423990826,7.594,0.561558803563659,1,30,0.00541121756678109,0.5561475859968779,0.008341824423990826,7.69,0.561558803563659,1,30,0.00541121756678109,0.5561475859968779,0.008341824423990826,10.874,0.561558803563659,1,30,0.00541121756678109,0.5561475859968779,0.008341824423990826,12.621,0.561558803563659,1,38,0.0037273454445023724,0.5578314581191566,0.008341824423990826,0.138
2,10,5,50,0.1,0.213,0.20313961626515484,1,97,0.001686821856970916,0.20145279440818392,0.008373285969680198,13.157,0.20313961626515484,1,93,0.0016303011912233156,0.20150931507393152,0.008373285969680198,7.794,0.20313961626515484,1,93,0.0016303011912232879,0.20150931507393155,0.008373285969680198,7.756,0.20313961626515484,1,93,0.0016303011912232879,0.20150931507393155,0.008373285969680198,7.838,0.20313961626515484,1,87,0.0017039520851962475,0.2014356641799586,0.008373285969680198,10.917,0.20306097406458962,1,78,0.0015516589906579836,0.20150931507393163,0.007982910642317521,13.025,0.20307184173991413,1,96,0.0015625266659825,0.20150931507393163,0.008036857152994837,0.213
2,15,1,75,1.0,16.013,0.5304053488365846,1,8998,0.005216047258271073,0.5251893015783136,0.009931746976938908,459.434,0.5304053488365846,1,63374,0.0052226916391096,0.525182657197475,0.009931746976938908,243.62,0.5304053488365846,1,63374,0.005222691639110044,0.5251826571974746,0.009931746976938908,104.899,0.5304053488365846,1,29847,0.003626751387049265,0.5267785974495354,0.009931746976938908,26.577,0.5304053488365846,1,8078,0.005049167540071009,0.5253561812965136,0.009931746976938908,45.083,0.5304053488365846,1,7602,0.005206739655537973,0.5251986091810467,0.009931746976938908,41.606,0.5304053488365846,1,6031,0.005238885119860481,0.5251664637167242,0.009931746976938908,16.013
2,20,5,100,1.0,39.16,0.15519907526447274,1,14674,0.0014597731483160514,0.1537393021161567,0.009495120169162272,1361.733,0.15519907526447274,1,212878,0.00153318259885446,0.15366589266561828,0.009495120169162272,734.622,0.15519907526447277,1,212878,0.001533182598855376,0.1536658926656174,0.009495120169162452,294.806,0.15519907526447277,1,101192,0.0015329885484308692,0.1536660867160419,0.009495120169162452,94.101,0.15519907526447277,1,38297,0.0015250253141141923,0.15367404995035858,0.009495120169162452,127.817,0.15519907526447274,1,32471,0.0014602172894796484,0.1537388579749931,0.009495120169162272,79.047,0.15519907526447274,1,16985,0.001536166647381626,0.15366290861709112,0.009495120169162272,39.16
3,5,1,25,0.1,2.919,0.6595374915715047,1,1475,0.0064063725717237174,0.6531311189997809,0.009808708213956447,101.22,0.662806520128681,1,13162,0.006541486522455231,0.6562650336062258,0.014813872509576949,54.749,0.662806520128681,1,13162,0.006541486522455231,0.6562650336062258,0.014813872509576949,26.348,0.6595374915715047,1,4926,0.006514474190160269,0.6530230173813444,0.009808708213956447,13.947,0.6595374915715047,1,2334,0.006497972402892516,0.6530395191686121,0.009808708213956447,21.259,0.6595374915715047,1,1956,0.0064959225214321625,0.6530415690500725,0.009808708213956447,22.173,0.6595374915715047,1,1701,0.006445620188921586,0.6530918713825831,0.009808708213956447,2.919
3,10,5,50,0.1,3.209,0.38760816244687524,1,1668,0.003584151978040906,0.38402401046883433,0.009333145533439972,28.817,0.38760816244687524,1,2911,0.0037106658896155498,0.3838974965572597,0.009333145533439972,17.507,0.38760816244687524,1,2911,0.0037106658896156053,0.38389749655725963,0.009333145533439972,16.809,0.38760816244687524,1,2813,0.0037059545070829425,0.3839022079397923,0.009333145533439972,12.224,0.38760816244687524,1,1985,0.0037562751412088535,0.3838518873056664,0.009333145533439972,18.687,0.38760816244687524,1,1461,0.003606754481383423,0.3840014079654918,0.009333145533439972,10.827,0.38760816244687524,1,1586,0.00375634158472804,0.3838518208621472,0.009333145533439972,3.209
