seed,dimension,p,k,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,15,75,3.0,2.2335078624459115,0.021315746091840282,0.009635576374339,236,OPTIMAL,3.634
1,16,80,4.0,2.250303004538984,0.022267402408620462,0.009994186083619676,7204,OPTIMAL,49.93
1,17,85,4.0,1.6411353000709363,0.01609767763637371,0.009906033813701401,1155,OPTIMAL,7.765
1,18,90,4.0,2.1566595398692447,0.021240566308971864,0.009946791038181408,1139,OPTIMAL,9.837
1,19,95,4.0,1.7514415693513994,0.01706313736747611,0.009838185861177889,1903,OPTIMAL,13.545
1,20,100,4.0,2.274969426057991,0.022416299854211452,0.00995150773291175,3532,OPTIMAL,26.587
1,21,105,5.0,1.7617940515116246,0.017324676636150782,0.009931201364533829,6245,OPTIMAL,43.421
1,22,110,5.0,1.930455938957835,0.018652337862564927,0.009756409001363438,1631,OPTIMAL,11.083
1,23,115,5.0,1.8673957031119208,0.018359724581209935,0.00992934956073652,3873,OPTIMAL,29.672
1,24,120,5.0,2.0309586934341795,0.01965691507038958,0.009773230094978904,5397,OPTIMAL,38.45
1,25,125,5.0,1.918574585754522,0.018982487829597217,0.009992928403067845,12069,OPTIMAL,88.875
1,26,130,6.0,1.8799554966090866,0.01861237073108013,0.009999430235250455,111597,OPTIMAL,849.764
1,27,135,6.0,1.686597212351836,0.01312517279188663,0.007843078630305637,20244,OPTIMAL,153.92
1,28,140,6.0,2.262447848886104,0.0223657112847917,0.009984326426860838,74297,OPTIMAL,499.369
1,29,145,6.0,2.067935519710212,0.02046070555514623,0.009993141509576897,72063,OPTIMAL,564.285
1,30,150,6.0,2.018248315882926,0.01996402829422972,0.00999058463213963,28157,OPTIMAL,309.018
2,15,75,3.0,1.5912331179212327,0.014825768310526843,0.009404782535547091,1997,OPTIMAL,12.905
2,16,80,4.0,1.5377815969717672,0.015101961038491707,0.009918016030493155,14125,OPTIMAL,96.581
2,17,85,4.0,1.9730825424630343,0.01936086431736639,0.009909735114237116,39479,OPTIMAL,192.174
2,18,90,4.0,1.9086116033071239,0.01889328108737076,0.009997935070650008,23520,OPTIMAL,141.053
2,19,95,4.0,2.098437741911695,0.020772858893527424,0.00999817586720302,40510,OPTIMAL,254.897
2,20,100,4.0,1.7116317843539899,0.016878541849885575,0.009959291669474235,13559,OPTIMAL,95.257
2,21,105,5.0,2.033418435347482,0.03638444296742849,0.018219240687067987,320094,Time limit reached,1800.007
2,22,110,5.0,2.0697246644196787,0.07303571404935272,0.0365784134959062,291165,Time limit reached,1800.014
2,23,115,5.0,2.149508809175682,0.02127421716916622,0.009996180519323637,275300,OPTIMAL,1798.067
2,24,120,5.0,1.6462739646310895,0.016295922423748888,0.00999763309797763,205975,OPTIMAL,1517.009
2,25,125,5.0,1.8317049001369183,0.01813265579257961,0.009998309055030291,250800,OPTIMAL,1794.592
2,26,130,6.0,1.7310608357777544,0.09193374471127846,0.05608701437022984,216008,Time limit reached,1800.013
2,27,135,6.0,2.2484432009967756,0.42152019931813234,0.2307268554453714,246889,Time limit reached,1800.014
2,28,140,6.0,1.9495269184815265,0.4542674067641399,0.30380506072981883,231709,Time limit reached,1800.036
2,29,145,6.0,2.0424263869455244,0.12229463092942217,0.06369074963020226,211285,Time limit reached,1800.02
2,30,150,6.0,2.4459896962352166,0.5451969309938045,0.2868260764474034,144890,Time limit reached,1800.016
3,15,75,3.0,3.3580743194150378,0.03299110303253894,0.009921887930501595,6714,OPTIMAL,41.434
3,16,80,4.0,3.048834351864469,0.030181470393901844,0.009998324278742058,29897,OPTIMAL,153.738
3,17,85,4.0,3.5278768501750717,0.034872729051136364,0.009983592301034976,57811,OPTIMAL,271.247
3,18,90,4.0,3.2649714704686863,0.03216184158676949,0.009948572690280195,19820,OPTIMAL,118.428
3,19,95,4.0,3.6329568981364697,0.03596685584865433,0.0099991535772443,50510,OPTIMAL,260.477
3,20,100,4.0,3.4232738207320144,0.033726960140495255,0.009950285842813062,38754,OPTIMAL,201.226
3,21,105,5.0,3.718586133585336,0.03675531061567261,0.009982889595678595,21981,OPTIMAL,137.763
3,22,110,5.0,3.5657132968055762,0.03529906987931142,0.009998563230934052,46758,OPTIMAL,293.723
3,23,115,5.0,4.014525717592983,0.03970040437224531,0.009987962047085965,160818,OPTIMAL,937.596
3,24,120,5.0,4.032486112226459,0.11123203099397516,0.0283664431556075,283092,Time limit reached,1800.008
3,25,125,5.0,4.453860581740739,0.04407839656371415,0.009995594955206315,128859,OPTIMAL,912.391
3,26,130,6.0,4.057720933359512,0.1818435608969855,0.04691674772503232,251286,Time limit reached,1800.013
3,27,135,6.0,4.457530395820922,0.04411552579047662,0.00999578038539855,236884,OPTIMAL,1681.006
3,28,140,6.0,4.363373393383866,0.05568659456491076,0.012927261698826024,269361,Time limit reached,1800.008
3,29,145,6.0,4.6434855914450495,0.14610621537585722,0.03248696699978138,240575,Time limit reached,1800.004
3,30,150,6.0,4.319300767044491,0.19210309856595043,0.04654565009888846,152554,Time limit reached,1800.053
