seed,dimension,var_A,p,k,M,solution,termination,time
1,5,1,25,5.0,0.1,0.633054172524986,LOCALLY_SOLVED,1.6233530044555664
1,5,5,25,5.0,0.1,0.28694865517026724,LOCALLY_SOLVED,4.520857095718384
1,5,1,25,5.0,1.0,0.6330541725339214,LOCALLY_SOLVED,3.8691608905792236
1,5,5,25,5.0,1.0,0.2867351500849805,LOCALLY_SOLVED,19.3983371257782
2,5,1,25,5.0,0.1,0.561558803563659,LOCALLY_SOLVED,0.815986156463623
2,5,5,25,5.0,0.1,0.20313961608842612,LOCALLY_SOLVED,3.1647160053253174
2,5,1,25,5.0,1.0,0.5304053487584914,LOCALLY_SOLVED,6.1278510093688965
2,5,5,25,5.0,1.0,0.1551990751704862,LOCALLY_SOLVED,57.30695605278015
3,5,1,25,5.0,0.1,0.6595374914316379,LOCALLY_SOLVED,1.471060037612915
3,5,5,25,5.0,0.1,0.38760816208045756,LOCALLY_SOLVED,7.56010103225708
3,5,1,25,5.0,1.0,0.6595374914409262,LOCALLY_SOLVED,5.209874868392944
3,5,5,25,5.0,1.0,0.3872486889158185,LOCALLY_SOLVED,20.606671810150146
1,10,1,50,10.0,0.1,0.47184742583020395,LOCALLY_SOLVED,1.4997260570526123
1,10,5,50,10.0,0.1,0.10447247262906423,LOCALLY_SOLVED,46.42172408103943
1,10,1,50,10.0,1.0,0.4025117423245934,LOCALLY_SOLVED,113.20107579231262
1,10,5,50,10.0,1.0,0.08557255897455478,LOCALLY_SOLVED,454.5199010372162
2,10,1,50,10.0,0.1,0.6484994985376966,LOCALLY_SOLVED,7.217676877975464
2,10,5,50,10.0,0.1,0.3194128288564038,LOCALLY_SOLVED,102.31673502922058
2,10,1,50,10.0,1.0,0.6484994985464156,LOCALLY_SOLVED,28.36386013031006
2,10,5,50,10.0,1.0,0.31941282889188494,LOCALLY_SOLVED,83.61134815216064
3,10,1,50,10.0,0.1,0.6680688251098897,LOCALLY_SOLVED,4.512091875076294
3,10,5,50,10.0,0.1,0.4200468582190374,LOCALLY_SOLVED,144.05554795265198
3,10,1,50,10.0,1.0,0.6680688251198771,LOCALLY_SOLVED,30.595911979675293
3,10,5,50,10.0,1.0,0.4200468578858837,LOCALLY_SOLVED,355.30374097824097
1,15,1,75,15.0,0.1,0.6385696143133786,LOCALLY_SOLVED,49.60703992843628
1,15,5,75,15.0,0.1,0.3129750837292171,LOCALLY_SOLVED,305.30519104003906
1,15,1,75,15.0,1.0,0.6385696143201409,LOCALLY_SOLVED,183.59049701690674
1,15,5,75,15.0,1.0,0.3129750838740101,LOCALLY_SOLVED,872.2584729194641
2,15,1,75,15.0,0.1,0.6535000640555705,LOCALLY_SOLVED,15.952492952346802
2,15,5,75,15.0,0.1,0.3504223309906433,LOCALLY_SOLVED,718.8398849964142
2,15,1,75,15.0,1.0,0.6535000640620989,LOCALLY_SOLVED,63.10807490348816
2,15,5,75,15.0,1.0,0.3504223310190404,LOCALLY_SOLVED,670.1901021003723
3,15,1,75,15.0,0.1,0.6157929992503595,LOCALLY_SOLVED,30.162492036819458
3,15,5,75,15.0,0.1,0.24287771302707048,LOCALLY_SOLVED,1800.9974300861359
3,15,1,75,15.0,1.0,0.6157929992733828,LOCALLY_SOLVED,112.49881410598755
3,15,5,75,15.0,1.0,0.2428244414786049,LOCALLY_SOLVED,1801.5422558784485
1,20,1,100,20.0,0.1,0.5590923477136235,LOCALLY_SOLVED,46.9087290763855
1,20,5,100,20.0,0.1,0.18071590635787654,LOCALLY_SOLVED,1803.5725438594818
1,20,1,100,20.0,1.0,0.5590678227472151,LOCALLY_SOLVED,145.45126008987427
1,20,5,100,20.0,1.0,0.1807119663935149,LOCALLY_SOLVED,1802.2412309646606
2,20,1,100,20.0,0.1,0.6468034319229065,LOCALLY_SOLVED,55.23359203338623
2,20,5,100,20.0,0.1,0.33184305136994463,LOCALLY_SOLVED,351.5066180229187
2,20,1,100,20.0,1.0,0.6468034319500467,LOCALLY_SOLVED,177.74752187728882
2,20,5,100,20.0,1.0,0.33184305139436815,LOCALLY_SOLVED,785.0142829418182
3,20,1,100,20.0,0.1,0.6196739957623407,LOCALLY_SOLVED,47.92241096496582
3,20,5,100,20.0,0.1,0.2677630489044155,LOCALLY_SOLVED,1801.5553538799286
3,20,1,100,20.0,1.0,0.619673995793525,LOCALLY_SOLVED,296.6167130470276
3,20,5,100,20.0,1.0,0.2677630488000565,LOCALLY_SOLVED,1803.3955290317535
