seed,num_v,solution,calls,termination,time
1,4,-27719.08006761879,5,OPTIMAL,1.885787
1,5,21621.882150493726,2,OPTIMAL,1.324621
1,6,39996.88473133878,3,OPTIMAL,1.4682979999999999
1,7,13872.362100414519,2,OPTIMAL,1.171374
1,8,41964.88332034584,2,OPTIMAL,1.2815699999999999
2,4,-21806.95978267962,4,OPTIMAL,2.108697
2,5,16463.960978327195,2,OPTIMAL,1.05056
2,6,11.775436260639696,2,OPTIMAL,2.080544
2,7,-63078.90564121283,4,OPTIMAL,2.419349
2,8,15406.993207279134,3,OPTIMAL,2.042982
3,4,-30524.560214135006,4,OPTIMAL,2.665231
3,5,-3687.8041473690605,2,OPTIMAL,1.421596
3,6,-1955.4886558304197,4,OPTIMAL,1.557472
3,7,7945.133483098371,2,OPTIMAL,1.052676
3,8,-14473.626743694604,5,OPTIMAL,2.588765
