seed,dimension,p,k,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,minimumTime
1,15,3.0,75,3.886,2.2335078624459115,1,198,0.021445142520545968,2.2120627199253655,0.009694635838024305,2.047,2.2335078624459115,1,264,0.020327364826340677,2.213180497619571,0.009694635838024305,1.696,2.2335078624459115,1,350,0.02148534056194329,2.212022521883968,0.009694635838024305,1.869,2.2335078624459115,1,377,0.02148534056194329,2.212022521883968,0.009694635838024305,3.82,2.2335078624459115,1,205,0.018096812262604622,2.215411050183307,0.009694635838024305,6.791,2.2335078624459115,1,231,0.019208228727146004,2.2142996337187655,0.009694635838024305,5.325,2.2335078624459115,1,198,0.021445142520545968,2.2120627199253655,0.009694635838024305,3.828,2.2335078624459115,1,231,0.019208228727146448,2.214299633718765,0.009694635838024305,1.696
1,16,4.0,80,38.608,2.250303004538984,1,6397,0.022277671701115942,2.228025332837868,0.00999884129357746,47.981,2.250303004538984,1,8217,0.02227908527824063,2.2280239192607434,0.00999884129357746,72.69,2.250303004538984,1,12315,0.022193391042128585,2.2281096134968554,0.00999884129357746,87.943,2.250303004538984,1,12954,0.022193391042128585,2.2281096134968554,0.00999884129357746,41.77,2.250303004538984,1,6418,0.02226081917177858,2.2280421853672054,0.00999884129357746,47.474,2.250303004538984,1,7270,0.02223390128968017,2.228069103249304,0.00999884129357746,37.033,2.250303004538984,1,6397,0.022277671701115498,2.2280253328378685,0.00999884129357746,36.234,2.250303004538984,1,7270,0.02223390128968017,2.228069103249304,0.00999884129357746,36.234
1,17,4.0,85,7.765,1.6411353000709363,1,978,0.01607008244480701,1.6250652176261293,0.009888884624754903,8.054,1.6411353000709363,1,1294,0.015225676683325862,1.6259096233876105,0.009888884624754903,9.792,1.6411353000709363,1,1926,0.016215688607639,1.6249196114632973,0.009888884624754903,10.397,1.6411353000709363,1,2046,0.015832063512442485,1.6253032365584938,0.009888884624754903,8.793,1.6411353000709363,1,1007,0.015345101133108496,1.6257901989378278,0.009888884624754903,14.116,1.6411353000709363,1,1202,0.016039479521847033,1.6250958205490893,0.009888884624754903,8.178,1.6411353000709363,1,978,0.01607008244480701,1.6250652176261293,0.009888884624754903,8.723,1.6411353000709363,1,1202,0.016039479521847033,1.6250958205490893,0.009888884624754903,7.765
1,18,4.0,90,7.969,2.1566595398692447,1,961,0.02028112111750513,2.1363784187517396,0.009493225048282948,10.603,2.1566595398692447,1,1244,0.020075867063404917,2.13658367280584,0.009493225048282948,9.077,2.1566595398692447,1,1791,0.021284590000984593,2.13537494986826,0.009493225048282948,10.364,2.1566595398692447,1,1865,0.020104316418232848,2.136555223451012,0.009493225048282948,8.486,2.1566595398692447,1,939,0.02002151011431863,2.136638029754926,0.009493225048282948,13.15,2.1566595398692447,1,1083,0.020550206023396633,2.136109333845848,0.009493225048282948,8.391,2.1566595398692447,1,961,0.02028112111750513,2.1363784187517396,0.009493225048282948,10.251,2.1566595398692447,1,1083,0.02055020602339619,2.1361093338458486,0.009493225048282948,7.969
1,19,4.0,95,11.761,1.7514415693513994,1,1662,0.01673695497970451,1.7347046143716949,0.00964830256462227,13.205,1.7514415693513994,1,2042,0.017138126516109686,1.7343034428352897,0.00964830256462227,16.243,1.7514415693513994,1,3073,0.01727599130734836,1.734165578044051,0.00964830256462227,23.938,1.7514415693513994,1,3260,0.01727599130734836,1.734165578044051,0.00964830256462227,13.36,1.7514415693513994,1,1675,0.01727086330287353,1.7341707060485259,0.00964830256462227,20.06,1.7514415693514003,1,1870,0.01700529114468252,1.7344362782067178,0.009648302564622782,12.374,1.7514415693513994,1,1662,0.01673695497970451,1.7347046143716949,0.00964830256462227,16.062,1.7514415693513994,1,1870,0.017005291144681856,1.7344362782067175,0.00964830256462227,11.761
1,20,4.0,100,20.647,2.274969426057991,1,3111,0.022088990358608562,2.2528804356993826,0.009804777035027726,26.224,2.274969426057991,1,3936,0.02222358652787637,2.2527458395301148,0.009804777035027726,43.191,2.274969426057991,1,5683,0.022238239084947153,2.252731186973044,0.009804777035027726,37.004,2.274969426057991,1,5982,0.022056157317311254,2.25291326874068,0.009804777035027726,22.373,2.274969426057991,1,3043,0.021966641672427123,2.253002784385564,0.009804777035027726,30.623,2.274969426057991,1,3410,0.022175439520174756,2.2527939865378164,0.009804777035027726,21.734,2.274969426057991,1,3111,0.022088990358608562,2.2528804356993826,0.009804777035027726,28.045,2.274969426057991,1,3410,0.022175439520173867,2.2527939865378173,0.009804777035027726,20.647
1,21,5.0,105,36.235,1.7617942799593105,1,5509,0.017339550137703608,1.7444547298216069,0.009939810899808676,43.567,1.761794051506944,1,7073,0.017424269139958648,1.7443697823669853,0.009939679940625458,56.915,1.7617942500903545,1,10303,0.01734328311480149,1.744450966975553,0.00993979377757818,63.213,1.7617940642843877,1,10713,0.01733568309476441,1.7444583811896233,0.009939687265231565,37.536,1.761794536227685,1,5514,0.01738930986958609,1.744405226358099,0.00993995780438014,56.107,1.7617942799593105,1,6026,0.016853158797662582,1.744941121161648,0.009939810899808676,35.439,1.7617942799593105,1,5509,0.017339550137703608,1.7444547298216069,0.009939810899808676,50.789,1.7617942799593105,1,6026,0.016853158797663026,1.7449411211616475,0.009939810899808676,35.439
1,22,5.0,110,11.105,1.930455938957835,1,1373,0.018902624811794055,1.911553314146041,0.009888620250300751,15.865,1.930455938957835,1,1775,0.018808777718513747,1.9116471612393213,0.009888620250300751,14.197,1.930455938957835,1,2523,0.017251563769751455,1.9132043751880836,0.009888620250300751,14.823,1.930455938957835,1,2632,0.017251563769751455,1.9132043751880836,0.009888620250300751,11.614,1.930455938957835,1,1390,0.018964328321553925,1.9114916106362811,0.009888620250300751,17.819,1.930455938957835,1,1457,0.018848049337256034,1.911607889620579,0.009888620250300751,11.169,1.930455938957835,1,1373,0.018902624811794055,1.911553314146041,0.009888620250300751,15.894,1.930455938957835,1,1457,0.018848049337255812,1.9116078896205793,0.009888620250300751,11.105
1,23,5.0,115,24.082,1.8673957031119208,1,3313,0.018435562386275972,1.8489601407256449,0.009970773290461919,29.442,1.8673957031119208,1,4254,0.018412697956149415,1.8489830051557714,0.009970773290461919,45.999,1.8673957031119208,1,6081,0.018326551845590844,1.84906915126633,0.009970773290461919,52.999,1.8673957031119208,1,6398,0.01842359212711031,1.8489721109848105,0.009970773290461919,25.003,1.8673957031119208,1,3287,0.018433916355116153,1.8489617867568047,0.009970773290461919,34.587,1.8673957031119208,1,3624,0.018288470103101417,1.8491072330088194,0.009970773290461919,24.09,1.8673957031119208,1,3313,0.018435562386275972,1.8489601407256449,0.009970773290461919,35.95,1.8673957031119208,1,3624,0.018288470103101417,1.8491072330088194,0.009970773290461919,24.082
1,24,5.0,120,34.771,2.0309586934341795,1,4602,0.020086888360369315,2.01087180507381,0.009989144166070803,46.822,2.0309586934341795,1,5988,0.020024286487673848,2.0109344069465056,0.009989144166070803,57.141,2.0309586934341795,1,8218,0.019885120348859697,2.0110735730853198,0.009989144166070803,62.314,2.0309586934341795,1,8575,0.019992287695894895,2.0109664057382846,0.009989144166070803,36.428,2.0309586934341795,1,4702,0.019848769702170532,2.011109923732009,0.009989144166070803,47.349,2.0309586934341795,1,5014,0.020086888360370203,2.0108718050738092,0.009989144166070803,33.978,2.0309586934341795,1,4602,0.020086888360369315,2.01087180507381,0.009989144166070803,43.162,2.0309586934341795,1,5014,0.020086888360370203,2.0108718050738092,0.009989144166070803,33.978
