seed,num_v,solution,calls,termination,time
1,4,-268.90825871264985,10312,TIME_LIMIT,1800.0343
1,5,-293.2227776302338,5686,TIME_LIMIT,1800.126151
1,6,-193.4755410203419,4553,TIME_LIMIT,1800.138122
1,7,-149.05134875158006,2172,TIME_LIMIT,1800.003445
1,8,-100.58482884326233,5195,TIME_LIMIT,1800.10281
2,4,-375.18591320827744,7146,TIME_LIMIT,1800.454954
2,5,-187.949541453126,4082,TIME_LIMIT,1800.135955
2,6,-163.76669116210607,5463,TIME_LIMIT,1800.001224
2,7,-41.91913045953443,1534,TIME_LIMIT,1800.006948
2,8,-67.25572472189212,5875,TIME_LIMIT,1800.013766
3,4,-354.1603677143663,6627,TIME_LIMIT,1800.003325
3,5,-306.5764874736539,5879,TIME_LIMIT,1800.303479
3,6,-183.6039877189883,3070,TIME_LIMIT,1800.048748
3,7,-85.28327369151279,2361,TIME_LIMIT,1800.000746
3,8,0.27451606541318796,2425,TIME_LIMIT,1800.001805
