minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_Strong_BranchingTerm,Boscia_Strong_BranchingTermRel,Boscia_Strong_BranchingTime,Boscia_Strong_BranchingRelGapNT,Boscia_Strong_BranchingNodesOCuts,Boscia_Hybrid_Branching_1Term,Boscia_Hybrid_Branching_1TermRel,Boscia_Hybrid_Branching_1Time,Boscia_Hybrid_Branching_1RelGapNT,Boscia_Hybrid_Branching_1NodesOCuts,Boscia_Hybrid_Branching_2Term,Boscia_Hybrid_Branching_2TermRel,Boscia_Hybrid_Branching_2Time,Boscia_Hybrid_Branching_2RelGapNT,Boscia_Hybrid_Branching_2NodesOCuts,Boscia_Hybrid_Branching_5Term,Boscia_Hybrid_Branching_5TermRel,Boscia_Hybrid_Branching_5Time,Boscia_Hybrid_Branching_5RelGapNT,Boscia_Hybrid_Branching_5NodesOCuts,Boscia_Hybrid_Branching_10Term,Boscia_Hybrid_Branching_10TermRel,Boscia_Hybrid_Branching_10Time,Boscia_Hybrid_Branching_10RelGapNT,Boscia_Hybrid_Branching_10NodesOCuts,Boscia_Hybrid_Branching_20Term,Boscia_Hybrid_Branching_20TermRel,Boscia_Hybrid_Branching_20Time,Boscia_Hybrid_Branching_20RelGapNT,Boscia_Hybrid_Branching_20NodesOCuts
0,15,14,93 %,30.66,0.01,38681,14,93 %,76.12,0.01,34855,14,93 %,64.19,0.01,31104,14,93 %,72.81,0.01,34327,14,93 %,67.63,0.01,42447,14,93 %,55.4,0.01,37400,14,93 %,51.68,0.01,43279
10,11,10,91 %,65.74,0.02,52478,10,91 %,131.19,0.02,47191,10,91 %,113.25,0.02,42076,10,91 %,129.18,0.02,46470,10,91 %,118.72,0.02,57527,10,91 %,92.79,0.02,50670,10,91 %,85.56,0.02,58728
300,1,0,0 %,1800.12,0.08,443648,0,0 %,1801.55,0.08,331574,0,0 %,1801.74,0.08,275311,0,0 %,1801.44,0.08,323647,0,0 %,1801.55,0.08,454925,0,0 %,1801.67,0.08,397052,0,0 %,1801.32,0.08,501270
600,1,0,0 %,1800.12,0.08,443648,0,0 %,1801.55,0.08,331574,0,0 %,1801.74,0.08,275311,0,0 %,1801.44,0.08,323647,0,0 %,1801.55,0.08,454925,0,0 %,1801.67,0.08,397052,0,0 %,1801.32,0.08,501270
1200,1,0,0 %,1800.12,0.08,443648,0,0 %,1801.55,0.08,331574,0,0 %,1801.74,0.08,275311,0,0 %,1801.44,0.08,323647,0,0 %,1801.55,0.08,454925,0,0 %,1801.67,0.08,397052,0,0 %,1801.32,0.08,501270
