seed,dimension,var_A,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,0.1,0.561017178215877,8.914683369276588e-8,1.5890217148411097e-7,19,OPTIMAL,0.154
1,5,5,0.1,0.17013998171893613,6.895497070558143e-8,4.05283919483622e-7,19,OPTIMAL,0.155
1,5,1,1.0,0.5610171782158274,5.5632678908068556e-8,9.916395893928036e-8,29,OPTIMAL,0.186
1,5,5,1.0,0.17013998171891992,5.6461156722198425e-8,3.3185130789648207e-7,34,OPTIMAL,0.343
2,5,1,0.1,0.6388970613934949,7.932099954643945e-8,1.241530352657683e-7,17,OPTIMAL,0.255
2,5,5,0.1,0.2972560059455308,8.860585531955678e-8,2.9807936579545537e-7,20,OPTIMAL,0.303
2,5,1,1.0,0.6388970613934828,8.029048770286096e-8,1.2567047595724595e-7,32,OPTIMAL,0.343
2,5,5,1.0,0.2972560059455193,5.074309050723258e-8,1.7070504263800857e-7,36,OPTIMAL,0.37
3,5,1,0.1,0.6501357879783465,5.9217531767075116e-8,9.108487527665362e-8,17,OPTIMAL,0.196
3,5,5,0.1,0.337609345163554,5.280038412047716e-8,1.5639493732796676e-7,21,OPTIMAL,0.258
3,5,1,1.0,0.6501357879783406,3.198856735053823e-8,4.9202904248572694e-8,30,OPTIMAL,0.349
3,5,5,1.0,0.33760934516354946,7.78538507550941e-8,2.3060341730393474e-7,35,OPTIMAL,0.336
1,10,1,0.1,0.5458764634955549,6.288653797703603e-8,1.1520288824883348e-7,19,OPTIMAL,0.443
1,10,5,0.1,0.164076227501058,9.517327931307662e-8,5.800555995734149e-7,25,OPTIMAL,0.54
1,10,1,1.0,0.5458764634955288,5.9221035297873925e-8,1.0848799258246502e-7,41,OPTIMAL,0.519
1,10,5,1.0,0.16407622750102263,7.48365542868612e-8,4.5610866095757433e-7,52,OPTIMAL,0.785
2,10,1,0.1,0.5887953632346095,7.099091103857091e-8,1.2056976673174258e-7,22,OPTIMAL,0.446
2,10,5,0.1,0.20137971596839935,4.669880043772778e-8,2.3189431488840778e-7,24,OPTIMAL,0.942
2,10,1,1.0,0.588795363234593,5.48191553262356e-8,9.310392685322948e-8,39,OPTIMAL,0.675
2,10,5,1.0,0.20137971596839177,4.603597111851876e-8,2.2860287304059836e-7,48,OPTIMAL,0.752
3,10,1,0.1,0.6513300399641601,7.060790918611559e-8,1.0840574287699628e-7,23,OPTIMAL,0.468
3,10,5,0.1,0.34839901635783044,9.250931387594363e-8,2.6552697940067853e-7,29,OPTIMAL,0.606
3,10,1,1.0,0.6513300399641441,9.090590225024897e-8,1.395696641643607e-7,41,OPTIMAL,0.96
3,10,5,1.0,0.34839901635781945,3.732964970470931e-8,1.0714626606782056e-7,54,OPTIMAL,0.914
1,15,1,0.1,0.5959987750261826,9.25972821752552e-8,1.5536491087176452e-7,24,OPTIMAL,0.416
1,15,5,0.1,0.21761206610458367,5.31903906475506e-8,2.44427639518799e-7,29,OPTIMAL,0.74
1,15,1,1.0,0.5959987750261646,5.8185695372969803e-8,9.762721584607764e-8,47,OPTIMAL,0.953
1,15,5,1.0,0.2176120661045785,7.096125337335835e-8,3.260907254980193e-7,59,OPTIMAL,1.044
2,15,1,0.1,0.6145464161921877,4.730033853483917e-8,7.696789197555784e-8,24,OPTIMAL,0.902
2,15,5,0.1,0.24076834257868868,5.632090244178656e-8,2.339215987170536e-7,27,OPTIMAL,0.712
2,15,1,1.0,0.614546416192183,7.80614236584043e-8,1.2702284403132328e-7,49,OPTIMAL,0.92
2,15,5,1.0,0.24076834257868474,4.5821168082049724e-8,1.9031229899922117e-7,56,OPTIMAL,1.05
3,15,1,0.1,0.29607562128489934,8.039918347746422e-8,2.715495621048212e-7,15,OPTIMAL,0.447
3,15,5,0.1,0.03355646171879262,5.982028009748896e-8,1.7826786160926468e-6,18,OPTIMAL,0.913
3,15,1,1.0,0.2350250907553182,9.993773908423265e-8,4.2522175508476873e-7,40,OPTIMAL,0.876
3,15,5,1.0,0.03319014250626026,6.856442114760997e-8,2.065811039401701e-6,45,OPTIMAL,1.128
1,20,1,0.1,0.5403238609703603,5.963286531240897e-8,1.1036505363042726e-7,28,OPTIMAL,1.318
1,20,5,0.1,0.15564498776595997,5.3255554549602735e-8,3.4216053813201615e-7,31,OPTIMAL,1.832
1,20,1,1.0,0.5403238609703384,4.762309702144307e-8,8.813806803446934e-8,57,OPTIMAL,1.873
1,20,5,1.0,0.15564498776595004,4.6585616392258444e-8,2.993069741873803e-7,60,OPTIMAL,2.991
2,20,1,0.1,0.6207281102912593,9.15203114404406e-8,1.4744027766243318e-7,28,OPTIMAL,1.852
2,20,5,0.1,0.2620420021212997,5.3638824326629475e-8,2.0469556358155646e-7,45,OPTIMAL,2.467
2,20,1,1.0,0.620728110291241,4.925659302656982e-8,7.935293426958573e-8,56,OPTIMAL,1.869
2,20,5,1.0,0.2620420021212946,6.012281322798074e-8,2.2943965675666217e-7,71,OPTIMAL,3.092
3,20,1,0.1,0.6055117518916326,7.871789819979824e-8,1.3000228019916697e-7,30,OPTIMAL,1.273
3,20,5,0.1,0.23014831093586563,5.338919770170314e-8,2.3197741434508681e-7,32,OPTIMAL,1.799
3,20,1,1.0,0.6055117518915962,3.448165553088245e-8,5.6946305974683294e-8,53,OPTIMAL,1.861
3,20,5,1.0,0.23014831093585741,5.9584067763074344e-8,2.5889428841237646e-7,77,OPTIMAL,2.857
