minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_Strong_BranchingTerm,Boscia_Strong_BranchingTermRel,Boscia_Strong_BranchingTime,Boscia_Strong_BranchingRelGapNT,Boscia_Strong_BranchingNodesOCuts,Boscia_Hybrid_Branching_1Term,Boscia_Hybrid_Branching_1TermRel,Boscia_Hybrid_Branching_1Time,Boscia_Hybrid_Branching_1RelGapNT,Boscia_Hybrid_Branching_1NodesOCuts,Boscia_Hybrid_Branching_2Term,Boscia_Hybrid_Branching_2TermRel,Boscia_Hybrid_Branching_2Time,Boscia_Hybrid_Branching_2RelGapNT,Boscia_Hybrid_Branching_2NodesOCuts,Boscia_Hybrid_Branching_5Term,Boscia_Hybrid_Branching_5TermRel,Boscia_Hybrid_Branching_5Time,Boscia_Hybrid_Branching_5RelGapNT,Boscia_Hybrid_Branching_5NodesOCuts,Boscia_Hybrid_Branching_10Term,Boscia_Hybrid_Branching_10TermRel,Boscia_Hybrid_Branching_10Time,Boscia_Hybrid_Branching_10RelGapNT,Boscia_Hybrid_Branching_10NodesOCuts,Boscia_Hybrid_Branching_20Term,Boscia_Hybrid_Branching_20TermRel,Boscia_Hybrid_Branching_20Time,Boscia_Hybrid_Branching_20RelGapNT,Boscia_Hybrid_Branching_20NodesOCuts
0,210,158,75 %,236.29,1.86,102695,137,65 %,449.74,1.96,103900,130,62 %,459.39,1.88,92361,138,66 %,454.27,1.96,97687,153,73 %,342.97,1.88,89199,158,75 %,315.37,1.86,90443,158,75 %,294.04,1.87,94943
10,193,141,73 %,326.24,2.04,111530,120,62 %,592.81,2.14,112793,113,59 %,616.42,2.06,100237,121,63 %,609.65,2.14,106049,136,70 %,452.47,2.06,96837,141,73 %,408.79,2.04,98201,141,73 %,379.83,2.05,103092
300,107,55,51 %,1081.44,3.92,183141,34,32 %,1550.11,4.11,172604,27,25 %,1618.18,3.96,150071,35,33 %,1550.72,4.12,161813,50,47 %,1270.43,3.95,154781,55,51 %,1173.82,3.91,160076,55,51 %,1118.33,3.93,168785
600,79,27,34 %,1463.68,5.6,219778,7,9 %,1761.4,5.88,185545,3,4 %,1771.07,5.66,156456,8,10 %,1753.96,5.89,173454,22,28 %,1609.39,5.65,178710,27,34 %,1509.74,5.6,189904,27,34 %,1484.4,5.62,202805
1200,58,6,10 %,1781.61,8.27,249636,0,0 %,1800.0,8.68,180722,0,0 %,1800.0,8.35,149839,0,0 %,1800.0,8.69,166283,3,5 %,1789.21,8.34,188729,6,10 %,1764.05,8.26,210621,6,10 %,1766.51,8.3,227904
