seed,num_v,solution,termination,time
1,4,-271.7723699414629,LOCALLY_SOLVED,11.394611120223999
1,5,-301.30693337712074,LOCALLY_SOLVED,9.225218057632446
1,6,-225.11504439575577,LOCALLY_SOLVED,27.005867958068848
1,7,-206.5035401377134,LOCALLY_SOLVED,13.909647941589355
1,8,-122.18738510704085,LOCALLY_SOLVED,29.966830015182495
2,4,-376.302503738777,LOCALLY_SOLVED,16.28581976890564
2,5,-218.67543596583806,LOCALLY_SOLVED,11.502364873886108
2,6,-237.62485859342212,LOCALLY_SOLVED,18.423532009124756
2,7,-178.34146751724975,LOCALLY_SOLVED,14.286967992782593
2,8,-183.89965611580197,LOCALLY_SOLVED,26.612502813339233
3,4,-355.1862950285949,LOCALLY_SOLVED,12.452399969100952
3,5,-311.47735107994765,LOCALLY_SOLVED,17.66349983215332
3,6,-209.78117784192574,LOCALLY_SOLVED,31.761417150497437
3,7,-171.16241278154087,LOCALLY_SOLVED,19.556872129440308
3,8,-174.02704167514892,LOCALLY_SOLVED,9.258852005004883
