seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-266.890675229526,9.33893637881988,0.03499161733840418,19,438,Time limit reached,608.174
1,5,-299.10571799292256,6.632947944834598,0.022175931604863357,19,506,Time limit reached,607.888
1,6,-213.0796825872714,22.06300345327415,0.10354344058231721,15,429,Time limit reached,609.054
1,7,-192.1308387837846,23.26632094564866,0.12109623365477276,17,475,Time limit reached,610.489
1,8,-105.91488646114755,25.888064111464814,0.24442328152767515,15,486,Time limit reached,608.503
2,4,-373.87444017618463,7.120698910934607,0.019045695949632308,19,390,Time limit reached,606.966
2,5,-213.7507942816876,13.548728887204987,0.06338563060191506,5,162,Time limit reached,617.436
2,6,-232.04466136915207,11.667661992740051,0.05028196694505442,39,1121,Time limit reached,605.223
2,7,-158.66723527520938,31.93609381860827,0.20127718090767072,11,375,Time limit reached,610.119
2,8,-170.78626734965314,30.07176665575588,0.1760783646274646,7,237,Time limit reached,613.395
3,4,-350.85354963581216,8.51057634253857,0.024256777083693733,15,253,Time limit reached,609.299
3,5,-305.2923232240538,13.027950245530405,0.04267369093316245,13,335,Time limit reached,608.607
3,6,-196.29349192805086,24.44096880822596,0.12451237464961151,9,214,Time limit reached,613.973
3,7,-153.13433028443774,29.974767062060835,0.19574165379105077,13,407,Time limit reached,608.29
3,8,-141.89036898232501,44.75266798867483,0.315403140534856,7,202,Time limit reached,610.146
