seed,dimension,varA,p,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,minimumTime
1,5,1,25,0.1,3.004,0.633054172702953,1,1208,0.006238038242867505,0.6268161344600856,0.009951942682906053,4.427,0.6330541727029532,1,1913,0.006171862821174545,0.6268823098817786,0.00995194268290623,4.915,0.6330541727029532,1,1631,0.00609211875447202,0.6269620539484811,0.00995194268290623,3.995,0.6330541727029532,1,1736,0.006239159891319068,0.6268150128116341,0.00995194268290623,6.289,0.6330541727029532,1,1199,0.006217725344077718,0.6268364473588754,0.00995194268290623,7.391,0.6330541727029532,1,1208,0.006238038242867505,0.6268161344600857,0.00995194268290623,6.951,0.6330541727029532,1,1208,0.006238038242867505,0.6268161344600857,0.00995194268290623,5.469,0.6330541727029532,1,1208,0.006238038242867505,0.6268161344600857,0.00995194268290623,3.004
1,10,5,50,0.1,1.731,0.28694865548636417,1,897,0.0020145471396686987,0.28493410834669547,0.007070221081491182,3.236,0.28694865548636417,1,1368,0.0020884385276803696,0.2848602169586838,0.007070221081491182,4.42,0.28694865548636417,1,1311,0.002214185452591444,0.2847344700337727,0.007070221081491182,3.019,0.28694865548636417,1,1455,0.0023779279685037236,0.28457072751786044,0.007070221081491182,5.439,0.28694865548636417,1,867,0.001937846294030654,0.2850108091923335,0.007070221081491182,6.574,0.28694865548636417,1,897,0.0020145471396686987,0.28493410834669547,0.007070221081491182,6.458,0.28694865548636417,1,897,0.0020145471396686987,0.28493410834669547,0.007070221081491182,4.862,0.28694865548636417,1,897,0.0020145471396686987,0.28493410834669547,0.007070221081491182,1.731
1,15,1,75,1.0,46.134,0.6330541727029194,1,24861,0.006266560957103762,0.6267876117458157,0.009997901744817943,159.428,0.6330541727029194,1,50802,0.006261533312282075,0.6267926393906373,0.009997901744817943,38.353,0.6330541727029194,1,15712,0.006248076662719537,0.6268060960401999,0.009997901744817943,36.805,0.6330541727029194,1,16367,0.00625073218150618,0.6268034405214132,0.009997901744817943,70.235,0.6330541727029194,1,23935,0.006263170711371391,0.626791001991548,0.009997901744817943,76.725,0.6330541727029194,1,24861,0.006266560957103762,0.6267876117458157,0.009997901744817943,68.671,0.6330541727029194,1,24861,0.006266560957103762,0.6267876117458157,0.009997901744817943,53.718,0.6330541727029194,1,24861,0.006266560957103762,0.6267876117458157,0.009997901744817943,36.805
1,20,5,100,1.0,95.854,0.2867351506391778,1,37948,0.002833152247559312,0.2839019983916185,0.009979331824396745,227.785,0.2867351506391778,1,74203,0.0028369811963130376,0.2838981694428648,0.009979331824396745,110.961,0.2867351506391778,1,35906,0.0028201837432594856,0.28391496689591833,0.009979331824396745,58.06,0.2867351506391778,1,30265,0.0027478667643431876,0.28398728387483463,0.009979331824396745,98.278,0.2867351506391778,1,34853,0.0028370762994803234,0.2838980743396975,0.009979331824396745,86.502,0.2867351506391778,1,37798,0.002833152247556092,0.2839019983916217,0.009979331824396745,105.77,0.2867351506391778,1,37798,0.002833152247556092,0.2839019983916217,0.009979331824396745,74.806,0.2867351506391778,1,37798,0.002833152247556092,0.2839019983916217,0.009979331824396745,58.06
2,5,1,25,0.1,0.138,0.561558803563659,1,44,0.004645671566534837,0.5569131319971241,0.008341824423990826,0.881,0.561558803563659,1,78,0.0035444455575379674,0.558014358006121,0.008341824423990826,0.193,0.561558803563659,1,57,0.003522811540558335,0.5580359920231006,0.008341824423990826,0.204,0.561558803563659,1,66,0.003522811540558335,0.5580359920231006,0.008341824423990826,3.728,0.561558803563659,1,37,0.004645671566534837,0.5569131319971241,0.008341824423990826,4.011,0.561558803563659,1,44,0.004645671566534837,0.5569131319971241,0.008341824423990826,3.908,0.561558803563659,1,44,0.004645671566534837,0.5569131319971241,0.008341824423990826,3.215,0.561558803563659,1,44,0.004645671566534837,0.5569131319971241,0.008341824423990826,0.138
2,10,5,50,0.1,0.213,0.20313961626515484,1,97,0.001686821856970916,0.20145279440818392,0.008373285969680198,1.306,0.20313961626515484,1,167,0.0017881421733989544,0.20135147409175588,0.008373285969680198,0.394,0.20313961626515484,1,122,0.001464593213834936,0.2016750230513199,0.008373285969680198,0.449,0.20313961626515484,1,156,0.0014951730069113212,0.20164444325824352,0.008373285969680198,4.407,0.20313961626515484,1,86,0.001686821856970916,0.20145279440818392,0.008373285969680198,4.554,0.20313961626515484,1,97,0.001686821856970916,0.20145279440818392,0.008373285969680198,4.39,0.20313961626515484,1,97,0.001686821856970916,0.20145279440818392,0.008373285969680198,3.616,0.20313961626515484,1,97,0.001686821856970916,0.20145279440818392,0.008373285969680198,0.213
2,15,1,75,1.0,16.013,0.5304053488365846,1,8998,0.005216047258271073,0.5251893015783136,0.009931746976938908,28.63,0.5304053488365846,1,13737,0.005179502514635614,0.525225846321949,0.009931746976938908,28.927,0.5304053488365846,1,7947,0.005221892482894508,0.5251834563536901,0.009931746976938908,18.934,0.5304053488365846,1,8690,0.005136549607351326,0.5252687992292333,0.009931746976938908,32.107,0.5304053488365846,1,9530,0.0051946983903939925,0.5252106504461906,0.009931746976938908,21.951,0.5304053488365846,1,8998,0.005216047258271073,0.5251893015783136,0.009931746976938908,22.201,0.5304053488365846,1,8998,0.005216047258271073,0.5251893015783136,0.009931746976938908,21.511,0.5304053488365846,1,8998,0.005216047258271073,0.5251893015783136,0.009931746976938908,16.013
2,20,5,100,1.0,39.16,0.15519907526447274,1,14674,0.0014597731483160514,0.1537393021161567,0.009495120169162272,87.533,0.15519907526447277,1,26213,0.0014664893757479203,0.15373258588872485,0.009495120169162452,116.461,0.15519907526447277,1,37563,0.0015067908251743256,0.15369228443929844,0.009495120169162452,97.185,0.15519907526447277,1,39610,0.0014891151815616677,0.1537099600829111,0.009495120169162452,46.656,0.15519907526447277,1,14910,0.001505857613548045,0.15369321765092472,0.009495120169162452,44.454,0.15519907526447277,1,14674,0.0014597731483164955,0.15373930211615627,0.009495120169162452,35.011,0.15519907526447277,1,14674,0.0014597731483164955,0.15373930211615627,0.009495120169162452,31.086,0.15519907526447277,1,14674,0.0014597731483164955,0.15373930211615627,0.009495120169162452,31.086
3,5,1,25,0.1,2.919,0.6595374915715047,1,1475,0.0064063725717237174,0.6531311189997809,0.009808708213956447,8.444,0.6595374915715047,1,2322,0.006469767137026627,0.653067724434478,0.009808708213956447,3.351,0.6595374915715047,1,1851,0.0063961919068671325,0.6531412996646375,0.009808708213956447,4.471,0.6595374915715047,1,1960,0.0063961919068671325,0.6531412996646375,0.009808708213956447,6.778,0.6595374915715047,1,1444,0.006474431444585815,0.6530630601269188,0.009808708213956447,7.433,0.6595374915715047,1,1475,0.0064063725717237174,0.6531311189997809,0.009808708213956447,8.326,0.6595374915715047,1,1475,0.0064063725717237174,0.6531311189997809,0.009808708213956447,6.332,0.6595374915715047,1,1475,0.0064063725717237174,0.6531311189997809,0.009808708213956447,2.919
3,10,5,50,0.1,3.209,0.38760816244687524,1,1668,0.003584151978040906,0.38402401046883433,0.009333145533439972,5.073,0.38760816244687524,1,2358,0.0036715345976249814,0.38393662784925026,0.009333145533439972,4.363,0.38760816244687524,1,2426,0.003432101299128243,0.384176061147747,0.009333145533439972,5.19,0.38760816244687524,1,2510,0.0038162418469331882,0.38379192059994205,0.009333145533439972,8.82,0.38760816244687524,1,1625,0.003828086964995203,0.38378007548188003,0.009333145533439972,9.354,0.38760816244687524,1,1668,0.003584151978040906,0.38402401046883433,0.009333145533439972,7.067,0.38760816244687524,1,1668,0.003584151978040906,0.38402401046883433,0.009333145533439972,6.562,0.38760816244687524,1,1668,0.003584151978040906,0.38402401046883433,0.009333145533439972,3.209
3,15,1,75,1.0,63.06,0.6595374915714965,1,24694,0.006526256774222472,0.6530112347972741,0.00999409570074018,70.262,0.6595374915714965,1,22729,0.006510768543108059,0.6530267230283885,0.00999409570074018,49.032,0.6595374915714965,1,14682,0.006526571250672131,0.6530109203208244,0.00999409570074018,32.27,0.6595374915714965,1,15181,0.006526571250672131,0.6530109203208244,0.00999409570074018,50.549,0.6595374915714965,1,21797,0.006525395003341816,0.6530120965681547,0.00999409570074018,61.582,0.6595374915714965,1,24694,0.006526256774221029,0.6530112347972755,0.00999409570074018,61.373,0.6595374915714965,1,24694,0.006526256774221029,0.6530112347972755,0.00999409570074018,50.12,0.6595374915714965,1,24694,0.006526256774221029,0.6530112347972755,0.00999409570074018,32.27
3,20,5,100,1.0,88.755,0.3872486896147957,1,48260,0.003804567172207951,0.38344412244258774,0.00992209020697038,270.31,0.3872486896147957,1,98537,0.003833164918779719,0.383415524696016,0.00992209020697038,194.425,0.3872486896147957,1,72596,0.0037600035885448913,0.3834886860262508,0.00992209020697038,193.997,0.3872486896147957,1,81869,0.0037695816195676968,0.383479107995228,0.00992209020697038,134.569,0.3872486896147957,1,50810,0.0038235350128649204,0.3834251546019308,0.00992209020697038,144.864,0.3872486896147957,1,48260,0.003804567172207951,0.38344412244258774,0.00992209020697038,136.561,0.3872486896147957,1,48260,0.003804567172207951,0.38344412244258774,0.00992209020697038,98.517,0.3872486896147957,1,48260,0.003804567172207951,0.38344412244258774,0.00992209020697038,88.755
1,5,1,25,0.1,0.214,0.4718474259178642,1,47,0.003053454547510104,0.4687939713703541,0.006513425372311006,0.989,0.4718474259178642,1,62,0.0026424354629098756,0.46920499045495434,0.006513425372311006,0.312,0.4718474259178642,1,60,0.003474199147500634,0.4683732267703636,0.006513425372311006,0.347,0.4718474259178642,1,69,0.003474199147500634,0.4683732267703636,0.006513425372311006,4.369,0.4718474259178642,1,38,0.003053454547510104,0.4687939713703541,0.006513425372311006,4.124,0.4718474259178642,1,47,0.003053454547510104,0.4687939713703541,0.006513425372311006,4.501,0.4718474259178642,1,47,0.003053454547510104,0.4687939713703541,0.006513425372311006,4.185,0.4718474259178642,1,47,0.003053454547510104,0.4687939713703541,0.006513425372311006,0.214
1,10,5,50,0.1,8.169,0.10447247263399045,1,2573,0.000998040197055003,0.10347443243693545,0.00964528312502007,17.444,0.10447247263399045,1,3422,0.0010093425253391713,0.10346313010865128,0.00964528312502007,18.775,0.10447247263399045,1,4141,0.001027156226460546,0.10344531640752991,0.00964528312502007,15.448,0.10447247263399045,1,4182,0.0010236221478499008,0.10344885048614055,0.00964528312502007,13.873,0.10447247263399045,1,2561,0.0010305090606724104,0.10344196357331804,0.00964528312502007,15.903,0.10447247263399045,1,2573,0.000998040197055003,0.10347443243693545,0.00964528312502007,12.55,0.10447247263399045,1,2573,0.000998040197055003,0.10347443243693545,0.00964528312502007,10.101,0.10447247263399045,1,2573,0.000998040197055003,0.10347443243693545,0.00964528312502007,8.169
1,15,1,75,1.0,1800.0,0.40353686102521846,0,569593,0.04665519621900904,0.3568816648062094,0.13073015741602562,1800.0,0.40512819222018664,0,526558,0.05404831957235512,0.3510798726478315,0.13518914579199692,1800.0,0.6931471805599454,0,528247,0.34242227805401576,0.35072490250592964,0.9422325350794689,1800.0,0.6931471805599454,0,552582,0.3426833680711841,0.3504638124887613,0.9422325350794689,1800.0,0.4025117424310376,0,483819,0.04611042745150207,0.35640131497953553,0.12785772463151282,1800.0,0.4044520130856808,0,507441,0.0483627969187142,0.3560892161669666,0.13329445855757982,1800.0,0.4044520130856808,0,495506,0.04851508176314562,0.3559369313225352,0.13329445855757982,1800.0,0.4044520130856808,0,492110,0.04856514539681578,0.355886867688865,0.13329445855757982,1800.0
1,20,5,100,1.0,1800.0,0.0902591366958451,0,532432,0.0278253316587546,0.06243380503709049,0.4456773320515097,1800.0,0.08746280438412808,0,512437,0.024829754302027635,0.06263305008210045,0.4008885784258774,1800.0,0.08821500748571258,0,473698,0.02636900284055737,0.06184600464515521,0.4129365883323316,1800.0,0.09296008082329758,0,451456,0.031204819860590025,0.06175526096270756,0.4889382565754583,1800.0,0.089197602821745,0,452365,0.02728117664493304,0.061916426176811964,0.4286747823355433,1800.0,0.0902591366958451,0,458457,0.028058810200374554,0.06220032649547054,0.4456773320515097,1800.0,0.0902591366958451,0,466278,0.028034193147106666,0.06222494354873843,0.4456773320515097,1800.0,0.0902591366958451,0,460200,0.02805515117065463,0.062203985525190464,0.4456773320515097,1800.0
2,5,1,25,0.1,1800.0,0.6484994987895639,0,572509,0.006898577426706964,0.641600921362857,0.01075213142159046,1800.0,0.6484994987895639,0,553991,0.008425225698988958,0.640074273090575,0.01075213142159046,1800.0,0.6484994987895639,0,539119,0.007101540914932647,0.6413979578746313,0.01075213142159046,1800.0,0.6484994987895639,0,553546,0.007099189133393136,0.6414003096561708,0.01075213142159046,1800.0,0.6484994987895639,0,499901,0.007301130105609066,0.6411983686839549,0.01075213142159046,1800.0,0.6484994987895639,0,492497,0.007240993494506687,0.6412585052950572,0.01075213142159046,1800.0,0.6484994987895639,0,458210,0.007422229686074422,0.6410772691034895,0.01075213142159046,1800.0,0.6484994987895639,0,504664,0.007186913075694634,0.6413125857138693,0.01075213142159046,1800.0
2,10,5,50,0.1,1430.539,0.3194128293759913,1,473095,0.0031616742036744694,0.31625115517231683,0.009997352268805966,1800.0,0.3194128293759913,0,522168,0.006503370516843021,0.3129094588591483,0.009997352268805966,1800.0,0.3194128293759913,0,533329,0.004948496830321558,0.31446433254566974,0.009997352268805966,1800.0,0.3194128293759913,0,540487,0.005000804762216315,0.314412024613775,0.009997352268805966,1769.005,0.3194128293759913,1,476428,0.0031609415243498695,0.31625188785164143,0.009997352268805966,1800.0,0.3194128293759913,0,304077,0.005989518349800604,0.3134233110261907,0.009997352268805966,1800.0,0.3194128293759913,0,297706,0.006119386587023545,0.31329344278896776,0.009997352268805966,1800.0,0.3194128293759913,0,307464,0.005909126371069939,0.31350370300492136,0.009997352268805966,1430.539
2,15,1,75,1.0,1800.0,0.6484994987895611,0,535690,0.018350105387108684,0.6301493934024525,0.02912024605471479,1800.0,0.6484994987895611,0,303719,0.018932248873212876,0.6295672499163483,0.02912024605471479,1800.0,0.6487523141907058,0,278370,0.01883883585412982,0.629913478336576,0.029521445204934667,1800.0,0.6487523141907058,0,282691,0.01876908458381088,0.6299832296068949,0.029521445204934667,1800.0,0.6484994987895611,0,290504,0.019286636950384906,0.6292128618391762,0.02912024605471479,1800.0,0.6485554811325057,0,288680,0.01926364360834909,0.6292918375241566,0.029209085849739105,1800.0,0.6485554811325057,0,289298,0.01926046896104361,0.6292950121714621,0.029209085849739105,1800.0,0.6485554811325057,0,297308,0.019224957486549954,0.6293305236459558,0.029209085849739105,1800.0
2,20,5,100,1.0,1800.0,0.32377626233307705,0,525442,0.05535121834966594,0.2684250439834111,0.2062073550524842,1800.0,0.3198717719193123,0,292778,0.04525023941602824,0.2746215325032841,0.19166143058946716,1800.0,0.3287973704251086,0,269970,0.0619093780678272,0.2668879923572814,0.22491316587221477,1800.0,0.33043960307560094,0,282616,0.06398823436268264,0.2664513687129183,0.23103119653776563,1800.0,0.32162345115591917,0,278765,0.05089072905091285,0.2707327221050063,0.19818719737565088,1800.0,0.3342053208652731,0,282078,0.06753237294378667,0.26667294792148644,0.2450601326377254,1800.0,0.3342053208652731,0,276253,0.06757509154664942,0.2666302293186237,0.2450601326377254,1800.0,0.3331033435656878,0,316958,0.0661194230457583,0.26698392051992953,0.2409547880572347,1800.0
