minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_Strong_BranchingTerm,Boscia_Strong_BranchingTermRel,Boscia_Strong_BranchingTime,Boscia_Strong_BranchingRelGapNT,Boscia_Strong_BranchingNodesOCuts,Boscia_Hybrid_Branching_1Term,Boscia_Hybrid_Branching_1TermRel,Boscia_Hybrid_Branching_1Time,Boscia_Hybrid_Branching_1RelGapNT,Boscia_Hybrid_Branching_1NodesOCuts,Boscia_Hybrid_Branching_2Term,Boscia_Hybrid_Branching_2TermRel,Boscia_Hybrid_Branching_2Time,Boscia_Hybrid_Branching_2RelGapNT,Boscia_Hybrid_Branching_2NodesOCuts,Boscia_Hybrid_Branching_5Term,Boscia_Hybrid_Branching_5TermRel,Boscia_Hybrid_Branching_5Time,Boscia_Hybrid_Branching_5RelGapNT,Boscia_Hybrid_Branching_5NodesOCuts,Boscia_Hybrid_Branching_10Term,Boscia_Hybrid_Branching_10TermRel,Boscia_Hybrid_Branching_10Time,Boscia_Hybrid_Branching_10RelGapNT,Boscia_Hybrid_Branching_10NodesOCuts,Boscia_Hybrid_Branching_20Term,Boscia_Hybrid_Branching_20TermRel,Boscia_Hybrid_Branching_20Time,Boscia_Hybrid_Branching_20RelGapNT,Boscia_Hybrid_Branching_20NodesOCuts
0,160,147,92 %,25.14,0.01,42779,136,85 %,62.92,0.01,41585,136,85 %,58.94,0.02,40272,136,85 %,56.74,0.02,39553,138,86 %,54.64,0.02,35126,146,91 %,45.25,0.02,44669,148,92 %,38.46,0.01,45489
10,76,63,83 %,161.51,0.02,89711,52,68 %,354.58,0.02,87100,52,68 %,368.36,0.03,84334,52,68 %,349.8,0.03,82820,54,71 %,306.19,0.03,73508,62,82 %,214.91,0.02,93626,64,84 %,168.8,0.02,95390
300,26,13,50 %,1245.16,0.03,233480,2,8 %,1779.54,0.04,182309,2,8 %,1783.65,0.06,174224,2,8 %,1787.09,0.07,172423,4,15 %,1775.79,0.06,166730,12,46 %,1408.94,0.05,239236,14,54 %,1215.78,0.03,249216
600,22,9,41 %,1477.85,0.04,260036,0,0 %,1800.0,0.05,182285,0,0 %,1800.0,0.07,173484,0,0 %,1800.0,0.08,171528,1,5 %,1783.72,0.07,167526,8,36 %,1570.46,0.06,260835,10,45 %,1436.66,0.04,278390
1200,17,4,24 %,1732.09,0.05,295797,0,0 %,1800.0,0.06,175223,0,0 %,1800.0,0.09,168714,0,0 %,1800.0,0.09,166731,0,0 %,1800.0,0.09,163313,3,18 %,1783.94,0.08,285633,5,29 %,1701.31,0.05,316716
