seed,dimension,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,minimumTime
1,20,6.088,-1.5315296315467162,1,3218,0.01451079389198906,-1.5460404254387052,0.009474706589473152,21.987,-1.5315296315467162,1,6659,0.015227923481017758,-1.546757555027734,0.009474706589473152,20.935,-1.5315296315467162,1,4257,0.014539528502604426,-1.5460691600493206,0.009474706589473152,22.739,-1.5315296315467162,1,4288,0.01430473518801989,-1.545834366734736,0.009474706589473152,9.697,-1.5315296315467162,1,3332,0.013711995119176201,-1.5452416266658924,0.009474706589473152,12.689,-1.5315296315467162,1,3382,0.01404683905769799,-1.5455764706044142,0.009474706589473152,12.755,-1.5315296315467162,1,3203,0.014576085154161866,-1.546105716700878,0.009474706589473152,15.39,-1.5315296315467162,1,3382,0.01404683905769799,-1.5455764706044142,0.009474706589473152,6.088
1,25,18.513,4.732725723895142,1,8336,0.04514621844301292,4.687579505452129,0.009631029914373356,56.95,4.732725723895142,1,16426,0.045469691367560294,4.687256032527582,0.009631029914373356,56.603,4.732725723895142,1,10693,0.0455669835318977,4.687158740363245,0.009631029914373356,57.033,4.732725723895142,1,10638,0.04562747658260857,4.687098247312534,0.009631029914373356,27.061,4.732725723895142,1,8416,0.045241601544964816,4.6874841223501775,0.009631029914373356,32.829,4.732725723895142,1,7294,0.04153065500997677,4.691195068885166,0.009631029914373356,33.1,4.732725723895142,1,8336,0.04514621844301292,4.687579505452129,0.009631029914373356,38.749,4.732725723895142,1,7294,0.04153065500997677,4.691195068885166,0.009631029914373356,18.513
1,30,63.538,-30.148229091749364,1,596,0.2991882316315113,-30.447417323380876,0.009923907328719015,1800.0,-30.058220377884297,0,964,0.4377589728850175,-30.495979350769314,0.01294810340079,78.449,-30.148229091749364,1,781,0.2995206553170142,-30.44774974706638,0.009923907328719015,73.626,-30.148229091749364,1,778,0.3005118841452834,-30.448740975894648,0.009923907328719015,89.847,-30.148229091749364,1,682,0.30097878694709834,-30.449207878696463,0.009923907328719015,81.036,-30.148229091749364,1,799,0.29721238730538957,-30.445441479054754,0.009923907328719015,69.828,-30.148229091749364,1,596,0.2991882316315291,-30.447417323380893,0.009923907328719015,82.343,-30.148229091749364,1,799,0.29721238730538957,-30.445441479054754,0.009923907328719015,63.538
1,35,12.808,7.5542870779353555,1,4843,0.050073179455840666,7.504213898479515,0.006672674864183491,48.15,7.5542870779353555,1,8723,0.07205576826523252,7.482231309670123,0.006672674864183491,31.103,7.5542870779353555,1,6626,0.04999941909459693,7.5042876588407585,0.006672674864183491,30.607,7.5542870779353555,1,6132,0.050061329656208464,7.504225748279147,0.006672674864183491,22.802,7.5542870779353555,1,4929,0.05001042968054925,7.504276648254806,0.006672674864183491,22.625,7.5542870779353555,1,4274,0.049891390144157555,7.504395687791198,0.006672674864183491,25.265,7.5542870779353555,1,4843,0.050073179455845995,7.5042138984795095,0.006672674864183491,24.542,7.5542870779353555,1,4274,0.049891390144157555,7.504395687791198,0.006672674864183491,12.808
1,40,85.636,8.098852387127241,1,25712,0.07960223589217819,8.019250151235063,0.009926393913515526,1015.519,8.098852387127241,1,308027,0.0800479487314103,8.018804438395831,0.009926393913515526,260.706,8.098852387127241,1,40381,0.07731455183063751,8.021537835296604,0.009926393913515526,257.343,8.098852387127241,1,35899,0.07961982724012096,8.01923255988712,0.009926393913515526,125.054,8.098852387127241,1,23461,0.07735453567815398,8.021497851449087,0.009926393913515526,99.156,8.098852387127241,1,16929,0.06687605787318773,8.031976329254054,0.009926393913515526,140.892,8.098852387127241,1,25206,0.0795869120054089,8.019265475121832,0.009926393913515526,107.212,8.098852387127241,1,16929,0.06687605787318773,8.031976329254054,0.009926393913515526,85.636
1,45,120.026,5.539145438148692,1,34245,0.05265567454445552,5.4864897636042365,0.0095973339627384,482.876,5.539145438148692,1,99281,0.05449742773994082,5.484648010408751,0.0095973339627384,417.183,5.539145438148692,1,49739,0.0447596046259795,5.4943858335227125,0.0095973339627384,374.751,5.539145438148692,1,46286,0.044774244676833774,5.494371193471858,0.0095973339627384,219.575,5.539145438148693,1,34078,0.05271527585132674,5.486430162297366,0.009597333962738564,129.635,5.539145438148692,1,24436,0.05374588845508299,5.485399549693609,0.0095973339627384,187.971,5.539145438148692,1,34245,0.052655674544425324,5.486489763604267,0.0095973339627384,140.273,5.539145438148692,1,24436,0.05374588845508299,5.485399549693609,0.0095973339627384,120.026
1,50,96.247,4.585952906710067,1,25613,0.044975232157066,4.540977674553001,0.009904305940348676,292.43,4.585952906710067,1,58047,0.04497307629500913,4.540979830415058,0.009904305940348676,367.535,4.585952906710067,1,39771,0.044957263974382045,4.540995642735685,0.009904305940348676,324.155,4.585952906710067,1,35806,0.0449758978492536,4.540977008860813,0.009904305940348676,140.396,4.585952906710067,1,26225,0.044955183396673704,4.540997723313393,0.009904305940348676,101.076,4.585952906710067,1,16580,0.04495402757780642,4.54099887913226,0.009904305940348676,160.255,4.585952906710067,1,25613,0.044975232157055345,4.5409776745530115,0.009904305940348676,107.53,4.585952906710067,1,16580,0.04495402757780642,4.54099887913226,0.009904305940348676,96.247
1,55,25.774,16.533886380781954,1,7053,0.1239608659198943,16.40992551486206,0.007554017585736513,83.341,16.533886380781954,1,17502,0.15048362821071848,16.383402752571236,0.007554017585736513,72.548,16.533886380781954,1,11580,0.12368739831467934,16.410198982467275,0.007554017585736513,69.414,16.533886380781954,1,9483,0.1582492483913711,16.375637132390583,0.007554017585736513,41.269,16.533886380781954,1,6852,0.12201561965980545,16.41187076112215,0.007554017585736513,35.917,16.533886380781954,1,5299,0.12178524508163235,16.412101135700322,0.007554017585736513,45.034,16.533886380781954,1,7053,0.12396086591987654,16.409925514862078,0.007554017585736513,35.78,16.533886380781954,1,5299,0.12178524508163235,16.412101135700322,0.007554017585736513,25.774
1,60,755.041,2.86613555120942,1,179031,0.027101336795018582,2.8390342144144016,0.009545970477361327,1800.0,2.86613555120942,0,359001,0.10376565364564971,2.7623698975637705,0.009545970477361327,1800.0,2.86613555120942,0,173871,0.49967775106554324,2.366457800143877,0.009545970477361327,1800.0,2.86613555120942,0,179448,0.44712070778946034,2.41901484341996,0.009545970477361327,1277.111,2.86613555120942,1,178772,0.02817327252828239,2.837962278681138,0.009545970477361327,637.891,2.86613555120942,1,120874,0.02436426068375308,2.841771290525667,0.009545970477361327,1058.0,2.86613555120942,1,179004,0.027732133176328055,2.838403418033092,0.009545970477361327,621.413,2.86613555120942,1,120874,0.02436426068375308,2.841771290525667,0.009545970477361327,621.413
1,65,111.546,14.605036632131924,1,20508,0.14167159883386304,14.46336503329806,0.009795203156921074,259.651,14.605036632131924,1,46609,0.14204656080588407,14.46299007132604,0.009795203156921074,222.459,14.605036632131924,1,28203,0.132765144988225,14.472271487143699,0.009795203156921074,234.212,14.605036632131924,1,25205,0.14359403970817297,14.46144259242375,0.009795203156921074,119.304,14.605036632131924,1,21243,0.13797972033131956,14.467056911800604,0.009795203156921074,103.01,14.605036632131924,1,14348,0.14160047887860472,14.463436153253319,0.009795203156921074,140.236,14.605036632131924,1,20508,0.1416715988338595,14.463365033298064,0.009795203156921074,101.367,14.605036632131924,1,14348,0.14160047887860472,14.463436153253319,0.009795203156921074,101.367
