seed,numV,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
1,4,2.342,-10.52163726099156,1,194,0.0959903403583322,-10.617627601349891,0.009123137205481467,13.309,-10.52163726099156,1,186,0.09626649698620504,-10.617903757977764,0.009123137205481467,8.624,-10.52163726099156,1,186,0.0962664969862086,-10.617903757977768,0.009123137205481467,10.468,-10.52163726099156,1,186,0.0962664969862086,-10.617903757977768,0.009123137205481467,10.117,-10.52163726099156,1,186,0.0962664969862086,-10.617903757977768,0.009123137205481467,10.133,-10.52163726099156,1,186,0.0962664969862086,-10.617903757977768,0.009123137205481467,9.776,-10.52163726099156,1,191,0.09739371309459166,-10.61903097408615,0.009123137205481467,2.342
1,5,38.548,-6.753903222760302,1,3756,0.06342517256953606,-6.817328395329838,0.009390891530070573,46.845,-6.753903222760302,1,3869,0.06587981891160766,-6.81978304167191,0.009390891530070573,35.141,-6.753903222760302,1,3869,0.06587981891160322,-6.819783041671905,0.009390891530070573,38.959,-6.753903222760302,1,3869,0.06587981891160322,-6.819783041671905,0.009390891530070573,39.979,-6.753903222760302,1,3957,0.06610294749004897,-6.820006170250351,0.009390891530070573,25.738,-6.753903222760302,1,3997,0.06624584102140041,-6.820149063781702,0.009390891530070573,31.383,-6.753903222760302,1,3810,0.06643697660468373,-6.820340199364986,0.009390891530070573,25.738
1,6,128.914,-6.609683524031659,1,36308,0.06583560821232659,-6.675519132243986,0.0099604781337805,349.696,-6.609683524031659,1,47959,0.06606041698300835,-6.675743941014668,0.0099604781337805,244.72,-6.609683524031659,1,47959,0.06606041698300835,-6.675743941014668,0.0099604781337805,299.795,-6.609683524031659,1,47959,0.06606041698300835,-6.675743941014668,0.0099604781337805,263.444,-6.609683524031659,1,46092,0.06607612860789125,-6.675759652639551,0.0099604781337805,162.876,-6.609683524031659,1,43752,0.06561434168396652,-6.675297865715626,0.0099604781337805,157.985,-6.609683524031659,1,39664,0.0659791528389162,-6.675662676870576,0.0099604781337805,128.914
1,7,19.428,-11.690896291367242,1,4502,0.11587140379486272,-11.806767695162105,0.009911250678053157,44.96,-11.690896291367242,1,4852,0.11641282603890524,-11.807309117406147,0.009911250678053157,42.078,-11.690896291367242,1,4852,0.11641282603890524,-11.807309117406147,0.009911250678053157,46.899,-11.690896291367242,1,4852,0.11641282603890524,-11.807309117406147,0.009911250678053157,46.207,-11.690896291367242,1,4874,0.1165092256694713,-11.807405517036713,0.009911250678053157,39.492,-11.690896291367242,1,4917,0.11472417759280695,-11.805620468960049,0.009911250678053157,37.094,-11.690896291367242,1,4895,0.11585660216159077,-11.806752893528833,0.009911250678053157,19.428
1,8,80.465,-1.0950438989627638,1,18211,0.01038704834564208,-1.1054309473084059,0.009485508622513484,183.564,-1.0950438989627638,1,25069,0.010429731824702415,-1.1054736307874662,0.009485508622513484,143.381,-1.0950438989627638,1,25069,0.010429731824702415,-1.1054736307874662,0.009485508622513484,179.514,-1.0950438989627638,1,25069,0.010429731824702415,-1.1054736307874662,0.009485508622513484,160.002,-1.0950438989627638,1,23810,0.010772203644308753,-1.1058161026070725,0.009485508622513484,139.721,-1.0950438989627638,1,21521,0.010820886226900583,-1.1058647851896644,0.009485508622513484,108.597,-1.0950438989627638,1,19847,0.009475034238702218,-1.104518933201466,0.009485508622513484,80.465
2,4,0.666,-12.460514291879214,1,85,0.08932549002415513,-12.54983978190337,0.007168684047204253,12.314,-12.460514291879214,1,85,0.10325677234597741,-12.563771064225191,0.007168684047204253,9.186,-12.460514291879214,1,85,0.10325677234597386,-12.563771064225188,0.007168684047204253,9.628,-12.460514291879214,1,85,0.10325677234597386,-12.563771064225188,0.007168684047204253,9.312,-12.460514291879214,1,85,0.10325677234597386,-12.563771064225188,0.007168684047204253,9.278,-12.460514291879214,1,85,0.10325677234597386,-12.563771064225188,0.007168684047204253,9.686,-12.460514291879214,1,85,0.10325677234597386,-12.563771064225188,0.007168684047204253,0.666
2,5,31.33,-14.615935365134433,1,3061,0.1446922088355702,-14.760627573970003,0.009899620189941869,33.335,-14.615935365134433,1,3581,0.14276239038128402,-14.758697755515717,0.009899620189941869,34.756,-14.615935365134433,1,3581,0.14276239038128402,-14.758697755515717,0.009899620189941869,38.823,-14.615935365134433,1,3581,0.14276239038128402,-14.758697755515717,0.009899620189941869,36.213,-14.615935365134433,1,3424,0.14494159347258417,-14.760876958607017,0.009899620189941869,25.296,-14.615935365134433,1,3273,0.14458973623628246,-14.760525101370716,0.009899620189941869,27.134,-14.615935365134433,1,2994,0.14457866830457355,-14.760514033439007,0.009899620189941869,25.296
2,6,9.613,-9.3975879978104,1,2136,0.09297942679096671,-9.490567424601366,0.009893967134187043,26.145,-9.3975879978104,1,2902,0.0927728598713582,-9.490360857681758,0.009893967134187043,29.681,-9.3975879978104,1,2902,0.0927728598713582,-9.490360857681758,0.009893967134187043,32.575,-9.3975879978104,1,2902,0.0927728598713582,-9.490360857681758,0.009893967134187043,31.312,-9.3975879978104,1,3078,0.09202898930605308,-9.489616987116452,0.009893967134187043,23.576,-9.3975879978104,1,2802,0.09362367299414665,-9.491211670804546,0.009893967134187043,22.934,-9.3975879978104,1,2380,0.09267823628993277,-9.490266234100332,0.009893967134187043,9.613
2,7,76.78,-4.4232888423304235,1,17539,0.04417380998216913,-4.467462652312593,0.009986643774973561,193.005,-4.4232888423304235,1,25513,0.04405304680369504,-4.467341889134119,0.009986643774973561,149.208,-4.4232888423304235,1,25513,0.04405304680369504,-4.467341889134119,0.009986643774973561,185.738,-4.4232888423304235,1,25513,0.04405304680369504,-4.467341889134119,0.009986643774973561,156.628,-4.4232888423304235,1,23855,0.04396588857711148,-4.467254730907535,0.009986643774973561,135.261,-4.4232888423304235,1,20913,0.04415863651363061,-4.467447478844054,0.009986643774973561,101.204,-4.4232888423304235,1,18919,0.04324957430437415,-4.466538416634798,0.009986643774973561,76.78
2,8,96.441,-10.365833529843716,1,21790,0.10356383048019957,-10.469397360323915,0.009990883046890007,263.379,-10.365833529843716,1,37046,0.10354293766067002,-10.469376467504386,0.009990883046890007,252.502,-10.365833529843716,1,37046,0.10354293766067002,-10.469376467504386,0.009990883046890007,251.393,-10.365833529843716,1,37046,0.10354293766067002,-10.469376467504386,0.009990883046890007,194.156,-10.365833529843716,1,33495,0.10329264218745493,-10.46912617203117,0.009990883046890007,167.487,-10.365833529843716,1,27101,0.1035852532730619,-10.469418783116778,0.009990883046890007,122.019,-10.365833529843716,1,23843,0.10354873726845959,-10.469382267112175,0.009990883046890007,96.441
