seed,num_v,solution,termination,time
1,4,-502.1513211937731,LOCALLY_SOLVED,604.2454800605774
1,5,Inf,ERROR,1800.0
1,6,-485.54075759455964,LOCALLY_SOLVED,287.9203598499298
1,7,-476.659381639504,LOCALLY_SOLVED,700.4584369659424
1,8,Inf,ERROR,1800.0
2,4,-506.90644966974605,LOCALLY_SOLVED,689.4799270629883
2,5,-543.7924563208994,LOCALLY_SOLVED,606.3640828132629
2,6,-476.8306164530839,LOCALLY_SOLVED,677.2821969985962
2,7,Inf,ERROR,1800.0
2,8,-449.07957544072633,LOCALLY_SOLVED,523.8315298557281
3,4,-482.58847225018263,LOCALLY_SOLVED,795.6141328811646
3,5,-492.8695431637486,LOCALLY_SOLVED,583.6137549877167
3,6,-508.92596999346944,LOCALLY_SOLVED,234.42479801177979
3,7,-457.8706997487621,LOCALLY_SOLVED,602.2382578849792
3,8,-433.59193849067793,LOCALLY_SOLVED,497.45705699920654
