seed,n0,m0,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,2,15,20.0,3.370347162078279,5.599605268358232e-8,1.6614328115501877e-8,62,OPTIMAL,6.605
2,2,15,20.0,2.1185418107851888,7.042956884362184e-8,3.3244362148748355e-8,15,OPTIMAL,6.305
3,2,15,20.0,2.978121164255088,7.740211360740545e-8,2.5990250681579047e-8,55,OPTIMAL,6.521
4,2,15,20.0,2.0049181064464103,4.7837114269810854e-8,2.385988497853767e-8,38,OPTIMAL,6.982
5,2,15,20.0,0.4872728372600641,5.7724920399238044e-8,1.1846530900886233e-7,42,OPTIMAL,6.467
6,2,15,20.0,0.06023019318797068,9.992633143163232e-8,1.6590764851974045e-6,44,OPTIMAL,6.421
7,2,15,20.0,3.4917781560540337,8.564702103086574e-8,2.4528197183185373e-8,64,OPTIMAL,6.441
8,2,15,20.0,0.4427752877117985,4.1086895663511314e-8,9.279402129342177e-8,40,OPTIMAL,6.469
9,2,15,20.0,0.45178989295454275,3.8989156125879276e-8,8.629931766654146e-8,16,OPTIMAL,5.932
10,2,15,20.0,2.536857210668162,7.242487898295735e-8,2.8549056977291974e-8,42,OPTIMAL,5.031
1,2,16,20.0,2.792894873441543,5.5845370994234145e-8,1.99955152776931e-8,61,OPTIMAL,5.087
2,2,16,20.0,2.9760070981254225,7.213614949819203e-8,2.4239240320413155e-8,15,OPTIMAL,4.861
3,2,16,20.0,2.6141629527823453,3.411892857130283e-8,1.3051569329407877e-8,37,OPTIMAL,4.967
4,2,16,20.0,1.8597915468796642,5.8005213743328454e-8,3.118909517025122e-8,36,OPTIMAL,4.986
5,2,16,20.0,0.9308823765777835,4.969353217809669e-8,5.338325881040787e-8,38,OPTIMAL,4.9
6,2,16,20.0,0.29033174532682576,3.673915172086595e-8,1.2654198847099575e-7,41,OPTIMAL,4.951
7,2,16,20.0,3.5649391289865147,3.699641881738103e-8,1.0377854393222775e-8,61,OPTIMAL,5.038
8,2,16,20.0,0.6965811464093504,8.797526296344671e-8,1.262958013260006e-7,48,OPTIMAL,4.936
9,2,16,20.0,0.30240000137385065,4.8646078720793184e-8,1.6086668758372993e-7,40,OPTIMAL,4.973
10,2,16,20.0,1.237435754754274,4.8633677751652726e-8,3.93019835382971e-8,18,OPTIMAL,4.891
1,2,17,20.0,2.8504539680521126,6.682881803499185e-8,2.3444974151769915e-8,61,OPTIMAL,5.004
2,2,17,20.0,3.2896187047479777,6.360616300327138e-8,1.9335421500771258e-8,16,OPTIMAL,4.829
3,2,17,20.0,3.926725808077887,5.569447614206524e-8,1.418343924534589e-8,42,OPTIMAL,4.961
4,2,17,20.0,0.9491274334055991,6.59933336866203e-8,6.953053504983939e-8,49,OPTIMAL,5.104
5,2,17,20.0,1.5152772581707274,4.4808190935441417e-8,2.9570952786921416e-8,36,OPTIMAL,4.926
6,2,17,20.0,1.2136511779515227,4.169408818199827e-8,3.435426123405721e-8,20,OPTIMAL,4.804
7,2,17,20.0,3.1425850260150794,6.164796673147066e-8,1.9616961014731382e-8,64,OPTIMAL,4.914
8,2,17,20.0,0.2881683582857577,7.516255806638839e-8,2.608286979114019e-7,39,OPTIMAL,4.884
9,2,17,20.0,0.6231478446384664,6.94190745997858e-8,1.1140066186603235e-7,16,OPTIMAL,4.807
10,2,17,20.0,1.3680759300316858,8.851736654769127e-8,6.470209023624863e-8,59,OPTIMAL,4.924
