seed,dimension,p,k,Ns,solution,termination,time
6,70,70,35.0,5.0,0.07268179482771175,LOCALLY_SOLVED,483.285208940506
6,70,70,35.0,10.0,0.8271499605275288,LOCALLY_SOLVED,1824.3825900554657
7,70,70,35.0,0.1,0.8432110719612614,LOCALLY_SOLVED,184.51097702980042
7,70,70,35.0,1.0,0.4991389800348131,LOCALLY_SOLVED,215.10815286636353
7,70,70,35.0,5.0,0.4991389800350439,LOCALLY_SOLVED,175.38471388816833
7,70,70,35.0,10.0,0.8199487091380668,LOCALLY_SOLVED,1850.953565120697
8,70,70,35.0,0.1,0.9148118620383277,LOCALLY_SOLVED,1755.139969110489
8,70,70,35.0,1.0,0.8122517670023742,LOCALLY_SOLVED,63.38632392883301
8,70,70,35.0,5.0,0.812251767002689,LOCALLY_SOLVED,195.57669401168823
8,70,70,35.0,10.0,0.9755636150175871,LOCALLY_SOLVED,1829.372239112854
9,70,70,35.0,0.1,0.2289518054449373,LOCALLY_SOLVED,35.935742139816284
9,70,70,35.0,1.0,-2.2550103879127725,LOCALLY_SOLVED,27.51042604446411
9,70,70,35.0,5.0,-2.743180043803277,LOCALLY_SOLVED,76.514652967453
9,70,70,35.0,10.0,0.298709676777974,LOCALLY_SOLVED,1869.5689451694489
10,70,70,35.0,0.1,0.9808553104158393,LOCALLY_SOLVED,26.162065029144287
10,70,70,35.0,1.0,0.9808553104135314,LOCALLY_SOLVED,234.26330494880676
10,70,70,35.0,5.0,0.9808553104136593,LOCALLY_SOLVED,243.50125885009766
10,70,70,35.0,10.0,0.9995399553969158,LOCALLY_SOLVED,1867.1505761146545
1,90,90,45.0,0.1,0.7656392954364513,LOCALLY_SOLVED,4370.908871889114
1,90,90,45.0,1.0,-0.024006023665370205,LOCALLY_SOLVED,391.31319093704224
1,90,90,45.0,5.0,-0.024006023665094245,LOCALLY_SOLVED,945.4444959163666
1,90,90,45.0,10.0,0.7918974857203859,LOCALLY_SOLVED,1858.9741220474243
2,90,90,45.0,0.1,0.7409908391613819,LOCALLY_SOLVED,1802.4590728282928
2,90,90,45.0,1.0,-0.14135520136771546,LOCALLY_SOLVED,3657.3831870555878
2,90,90,45.0,5.0,-0.14228340676055956,LOCALLY_SOLVED,921.9753661155701
2,90,90,45.0,10.0,0.6289147286415395,LOCALLY_SOLVED,1856.4002871513367
3,90,90,45.0,0.1,0.44778859245687763,LOCALLY_SOLVED,863.8324670791626
3,90,90,45.0,1.0,-0.6095467179585112,LOCALLY_SOLVED,1801.3410549163818
3,90,90,45.0,5.0,-0.6214599854002492,LOCALLY_SOLVED,439.4746608734131
3,90,90,45.0,10.0,0.9617158711436369,LOCALLY_SOLVED,1897.70352101326
4,90,90,45.0,0.1,0.4370360954055645,LOCALLY_SOLVED,1801.1816799640656
4,90,90,45.0,1.0,-1.584453991373233,LOCALLY_SOLVED,144.5726659297943
4,90,90,45.0,5.0,-1.8834366758787098,LOCALLY_SOLVED,454.6302978992462
4,90,90,45.0,10.0,0.44751138130541107,LOCALLY_SOLVED,1828.005215883255
5,90,90,45.0,0.1,0.7849313538237788,LOCALLY_SOLVED,1800.4416120052338
5,90,90,45.0,1.0,0.26500813879149543,LOCALLY_SOLVED,808.8183660507202
5,90,90,45.0,5.0,0.26500813879190876,LOCALLY_SOLVED,1335.6341922283173
5,90,90,45.0,10.0,0.9588461933813891,LOCALLY_SOLVED,1859.0552308559418
6,90,90,45.0,0.1,0.7468338482960394,LOCALLY_SOLVED,708.6346650123596
6,90,90,45.0,1.0,-0.017362809775177193,LOCALLY_SOLVED,341.0902509689331
6,90,90,45.0,5.0,-0.01736280977502709,LOCALLY_SOLVED,444.62931299209595
6,90,90,45.0,10.0,0.8036067231220333,LOCALLY_SOLVED,1862.8012590408325
7,90,90,45.0,0.1,0.7906399988760439,LOCALLY_SOLVED,1433.10981798172
7,90,90,45.0,1.0,0.06935045525940438,LOCALLY_SOLVED,308.57967805862427
7,90,90,45.0,5.0,0.0693504552308433,LOCALLY_SOLVED,682.2577149868011
7,90,90,45.0,10.0,0.7353015796393483,LOCALLY_SOLVED,1859.9913220405579
8,90,90,45.0,0.1,NaN,OTHER_ERROR,1800.0
8,90,90,45.0,1.0,-0.7175530907445847,LOCALLY_SOLVED,1008.6836669445038
8,90,90,45.0,5.0,-0.7788264880533071,LOCALLY_SOLVED,444.3042709827423
8,90,90,45.0,10.0,0.23939192519611927,LOCALLY_SOLVED,1855.9522490501404
9,90,90,45.0,0.1,0.5028588753694346,LOCALLY_SOLVED,1801.0206518173218
9,90,90,45.0,1.0,-1.0663028961334344,LOCALLY_SOLVED,246.913645029068
9,90,90,45.0,5.0,-1.1878843744796899,LOCALLY_SOLVED,758.6855618953705
9,90,90,45.0,10.0,0.7674679402289352,LOCALLY_SOLVED,1845.9795730113983
10,90,90,45.0,0.1,0.7595527179087666,LOCALLY_SOLVED,1800.792692899704
10,90,90,45.0,1.0,0.012360598467489416,LOCALLY_SOLVED,1541.705323934555
10,90,90,45.0,5.0,0.012360598467995323,LOCALLY_SOLVED,1536.404371023178
10,90,90,45.0,10.0,0.8318944908415613,LOCALLY_SOLVED,1857.3738939762115
