minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_AfwTerm,Boscia_AfwTermRel,Boscia_AfwTime,Boscia_AfwRelGapNT,Boscia_AfwNodesOCuts,Boscia_No_As_No_SsTerm,Boscia_No_As_No_SsTermRel,Boscia_No_As_No_SsTime,Boscia_No_As_No_SsRelGapNT,Boscia_No_As_No_SsNodesOCuts,Boscia_No_AsTerm,Boscia_No_AsTermRel,Boscia_No_AsTime,Boscia_No_AsRelGapNT,Boscia_No_AsNodesOCuts,Boscia_No_SsTerm,Boscia_No_SsTermRel,Boscia_No_SsTime,Boscia_No_SsRelGapNT,Boscia_No_SsNodesOCuts,Boscia_Global_TighteningTerm,Boscia_Global_TighteningTermRel,Boscia_Global_TighteningTime,Boscia_Global_TighteningRelGapNT,Boscia_Global_TighteningNodesOCuts,Boscia_Local_TighteningTerm,Boscia_Local_TighteningTermRel,Boscia_Local_TighteningTime,Boscia_Local_TighteningRelGapNT,Boscia_Local_TighteningNodesOCuts,Boscia_No_TighteningTerm,Boscia_No_TighteningTermRel,Boscia_No_TighteningTime,Boscia_No_TighteningRelGapNT,Boscia_No_TighteningNodesOCuts
0,15,14,93 %,30.66,0.01,38681,14,93 %,49.89,0.01,40985,14,93 %,43.26,0.01,43048,14,93 %,49.27,0.01,46665,14,93 %,43.56,0.01,43305,14,93 %,44.21,0.01,42092,14,93 %,42.82,0.01,36848,14,93 %,45.73,0.01,39713
10,11,10,91 %,65.74,0.02,52478,10,91 %,113.42,0.02,55518,10,91 %,94.08,0.02,58305,10,91 %,106.96,0.02,63217,10,91 %,80.51,0.02,58780,10,91 %,82.12,0.02,57128,10,91 %,79.23,0.02,49978,10,91 %,79.0,0.02,53885
300,1,0,0 %,1800.12,0.08,443648,0,0 %,1800.11,0.08,426697,0,0 %,1800.12,0.08,450063,0,0 %,1800.09,0.08,495854,0,0 %,1801.45,0.08,512520,0,0 %,1801.51,0.08,494802,0,0 %,1801.58,0.08,416147,0,0 %,1801.42,0.08,459129
600,1,0,0 %,1800.12,0.08,443648,0,0 %,1800.11,0.08,426697,0,0 %,1800.12,0.08,450063,0,0 %,1800.09,0.08,495854,0,0 %,1801.45,0.08,512520,0,0 %,1801.51,0.08,494802,0,0 %,1801.58,0.08,416147,0,0 %,1801.42,0.08,459129
1200,1,0,0 %,1800.12,0.08,443648,0,0 %,1800.11,0.08,426697,0,0 %,1800.12,0.08,450063,0,0 %,1800.09,0.08,495854,0,0 %,1801.45,0.08,512520,0,0 %,1801.51,0.08,494802,0,0 %,1801.58,0.08,416147,0,0 %,1801.42,0.08,459129
