seed,dimension,p,Ns,k,num_nodes,solution,termination,time
8,50,50,1.0,25.0,40319,-0.20821715364292673,Time limit reached,1.800078e6
8,50,50,5.0,25.0,44939,-0.2107822026516248,Time limit reached,1.800039e6
8,50,50,10.0,25.0,44803,-0.210782500804354,Time limit reached,1.800057e6
9,50,50,0.1,25.0,NaN,Inf,ERROR,1800000.0
9,50,50,1.0,25.0,43945,0.13488967423249384,Time limit reached,1.800055e6
9,50,50,5.0,25.0,49345,0.13488957170598573,Time limit reached,1.800024e6
9,50,50,10.0,25.0,45651,0.13488935311642716,Time limit reached,1.800041e6
10,50,50,0.1,25.0,NaN,Inf,ERROR,1800000.0
10,50,50,1.0,25.0,42343,0.49800127777039893,Time limit reached,1.800005e6
10,50,50,5.0,25.0,45973,0.4980011054590743,Time limit reached,1.800019e6
10,50,50,10.0,25.0,45521,0.49800080709556777,Time limit reached,1.80004e6
1,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
1,70,70,1.0,35.0,NaN,Inf,ERROR,1800000.0
1,70,70,5.0,35.0,18335,-1.582639487434121,Time limit reached,1.80003e6
1,70,70,10.0,35.0,18595,-1.5826399829152067,Time limit reached,1.800022e6
1,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
2,70,70,1.0,35.0,16525,0.26391325495036416,Time limit reached,1.800135e6
2,70,70,5.0,35.0,18197,0.2639131798275426,Time limit reached,1.800013e6
2,70,70,10.0,35.0,19337,0.263912978184733,Time limit reached,1.800063e6
3,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
3,70,70,1.0,35.0,15901,-0.8769996389126571,Time limit reached,1.800122e6
3,70,70,5.0,35.0,17389,-0.9910561684128374,Time limit reached,1.800054e6
3,70,70,10.0,35.0,18187,-0.9910565496588177,Time limit reached,1.800153e6
4,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
4,70,70,1.0,35.0,17395,0.4925003988482893,Time limit reached,1.800123e6
4,70,70,5.0,35.0,18717,0.4925002627047044,Time limit reached,1.800101e6
4,70,70,10.0,35.0,18855,0.4924999588208851,Time limit reached,1.800058e6
5,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
5,70,70,1.0,35.0,13381,-1.5134560432958528,Time limit reached,1.800154e6
5,70,70,5.0,35.0,14291,-1.8097029325493381,Time limit reached,1.800065e6
5,70,70,10.0,35.0,14773,-1.8097034546738096,Time limit reached,1.800009e6
6,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
6,70,70,1.0,35.0,12601,0.08886629761728584,Time limit reached,1.800055e6
6,70,70,5.0,35.0,14227,0.08886621017147593,Time limit reached,1.800026e6
6,70,70,10.0,35.0,14669,0.08886601692861486,Time limit reached,1.800053e6
7,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
7,70,70,1.0,35.0,13539,0.5169725920137779,Time limit reached,1.800144e6
7,70,70,5.0,35.0,13949,0.5169724698976129,Time limit reached,1.800029e6
7,70,70,10.0,35.0,14395,0.5169722267637001,Time limit reached,1.800122e6
8,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
8,70,70,1.0,35.0,14229,0.823791219037646,Time limit reached,1.800175e6
8,70,70,5.0,35.0,14581,0.8237911335611253,Time limit reached,1.800018e6
8,70,70,10.0,35.0,15129,0.8237908852855458,Time limit reached,1.800129e6
9,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
9,70,70,1.0,35.0,NaN,Inf,ERROR,1800000.0
9,70,70,5.0,35.0,15881,-2.6640027744127703,Time limit reached,1.800022e6
9,70,70,10.0,35.0,16537,-2.664003387473378,Time limit reached,1.800043e6
10,70,70,0.1,35.0,NaN,Inf,ERROR,1800000.0
10,70,70,1.0,35.0,141,0.9875078551356723,Optimal,19657.0
10,70,70,5.0,35.0,141,0.9875078289858332,Optimal,19168.0
10,70,70,10.0,35.0,141,0.9875077503332664,Optimal,18576.0
1,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
1,90,90,1.0,45.0,6505,-0.009350064583975914,Time limit reached,1.8001e6
1,90,90,5.0,45.0,7971,-0.009350140454204958,Time limit reached,1.800349e6
1,90,90,10.0,45.0,5997,-0.009350368133788381,Time limit reached,1.800205e6
2,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
2,90,90,1.0,45.0,5135,-0.1137871643963116,Time limit reached,1.800438e6
2,90,90,5.0,45.0,6211,-0.11446040455475652,Time limit reached,1.800105e6
2,90,90,10.0,45.0,6293,-0.11446074893568219,Time limit reached,1.800144e6
3,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
3,90,90,1.0,45.0,NaN,Inf,ERROR,1800000.0
3,90,90,5.0,45.0,6111,-0.47797038145135456,Time limit reached,1.800288e6
3,90,90,10.0,45.0,6183,-0.4779711676053269,Time limit reached,1.800415e6
4,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
4,90,90,1.0,45.0,NaN,Inf,ERROR,1800000.0
4,90,90,5.0,45.0,6133,-1.7928540116857936,Time limit reached,1.800315e6
4,90,90,10.0,45.0,4011,-1.7928545241332532,Time limit reached,1.800162e6
5,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
5,90,90,1.0,45.0,3667,0.2947957274375852,Time limit reached,1.800802e6
5,90,90,5.0,45.0,4029,0.2947954696272355,Time limit reached,1.800558e6
5,90,90,10.0,45.0,4077,0.294794939838449,Time limit reached,1.800164e6
6,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
6,90,90,1.0,45.0,3275,0.027319217328134696,Time limit reached,1.800247e6
6,90,90,5.0,45.0,3833,0.027319019966715284,Time limit reached,1.800785e6
6,90,90,10.0,45.0,3829,0.027318605846822337,Time limit reached,1.800476e6
7,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
7,90,90,1.0,45.0,3303,0.08943974056731537,Time limit reached,1.800311e6
7,90,90,5.0,45.0,3959,0.08943965349761328,Time limit reached,1.800482e6
7,90,90,10.0,45.0,3971,0.08943946775167595,Time limit reached,1.800528e6
8,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
8,90,90,1.0,45.0,3405,-0.6719744892851094,Time limit reached,1.800369e6
8,90,90,5.0,45.0,3725,-0.7406171557086816,Time limit reached,1.800149e6
8,90,90,10.0,45.0,3819,-0.7406175950295999,Time limit reached,1.800439e6
9,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
9,90,90,1.0,45.0,NaN,Inf,ERROR,1800000.0
9,90,90,5.0,45.0,3947,-1.137866818571643,Time limit reached,1.800463e6
9,90,90,10.0,45.0,3899,-1.1378673275492415,Time limit reached,1.800499e6
10,90,90,0.1,45.0,NaN,Inf,ERROR,1800000.0
10,90,90,1.0,45.0,8997,0.022171641360365715,Time limit reached,1.800105e6
10,90,90,5.0,45.0,10913,0.022019428813701246,Time limit reached,1.800394e6
10,90,90,10.0,45.0,10613,0.02217141016311734,Time limit reached,1.800243e6
