seed,num_v,solution,calls,termination,time
1,4,56.212670609837375,4121,TIME_LIMIT,1800.16249
1,5,70.17616111291902,3439,TIME_LIMIT,1800.081268
1,6,84.19760566275201,3021,TIME_LIMIT,1800.062231
1,7,98.2734180172942,3715,TIME_LIMIT,1800.001689
1,8,112.4191280815403,2487,TIME_LIMIT,1800.000348
2,4,-434.0232359904962,4683,TIME_LIMIT,1800.003368
2,5,70.1472257845897,4746,TIME_LIMIT,1800.153077
2,6,84.49977068059134,3487,TIME_LIMIT,1800.00328
2,7,98.32315508057927,3079,TIME_LIMIT,1800.021873
2,8,112.55293734028733,2073,TIME_LIMIT,1800.037983
3,4,-412.2659841061194,4192,TIME_LIMIT,1800.00174
3,5,70.27081657301724,3761,TIME_LIMIT,1800.066089
3,6,84.27001909352992,5047,TIME_LIMIT,1800.058507
3,7,98.0697066103069,3152,TIME_LIMIT,1800.001196
3,8,112.03496883490644,2628,TIME_LIMIT,1800.009999
