seed,dimension,varA,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,minimumTime
1,5,1,0.1,0.154,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,0.802,0.561017178215877,1,22,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,0.23,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,0.277,0.561017178215877,1,20,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,4.246,0.561017178215877,1,18,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,4.22,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,4.313,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,6.98,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,0.154
1,10,5,0.1,0.155,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,0.842,0.17013998171893613,1,30,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,0.257,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,0.611,0.17013998171893613,1,20,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,4.48,0.17013998171893613,1,18,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,4.265,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,4.354,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,6.916,0.17013998171893607,1,19,6.895497120518179e-8,0.17013991276396487,4.0528391915735433e-7,0.155
1,15,1,1.0,0.186,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,1.099,0.5610171782158274,1,44,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,0.345,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,0.729,0.5610171782158274,1,30,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,4.115,0.5610171782158274,1,28,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,4.287,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,4.424,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,6.935,0.5610171782158274,1,29,5.563267324593113e-8,0.5610171225831542,9.916395893928036e-8,0.186
1,20,5,1.0,0.343,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,0.875,0.17013998171891992,1,48,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,0.354,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,0.213,0.17013998171891992,1,35,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,4.347,0.17013998171891992,1,33,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,4.296,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,4.44,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,8.226,0.1701399817189199,1,34,5.6461152725395536e-8,0.17013992525776717,3.318513077333483e-7,0.213
2,5,1,0.1,0.255,0.6388970613934949,1,17,7.932099954643945e-8,0.6388969820724953,1.241530352657683e-7,0.766,0.638897061393495,1,25,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,0.239,0.638897061393495,1,17,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,0.128,0.638897061393495,1,18,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,4.171,0.638897061393495,1,16,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,4.208,0.638897061393495,1,17,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,4.303,0.638897061393495,1,17,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,7.211,0.6388970613934949,1,17,7.932099965746175e-8,0.6388969820724952,1.241530352657683e-7,0.128
2,10,5,0.1,0.303,0.2972560059455308,1,20,8.860585531955678e-8,0.2972559173396755,2.9807936579545537e-7,0.779,0.2972560059455309,1,35,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,0.279,0.2972560059455309,1,20,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,0.158,0.2972560059455309,1,21,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,4.292,0.2972560059455309,1,19,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,4.252,0.2972560059455309,1,20,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,4.343,0.2972560059455309,1,20,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,7.279,0.2972560059455309,1,20,8.860585543057908e-8,0.2972559173396755,2.98079366168946e-7,0.158
2,15,1,1.0,0.343,0.6388970613934828,1,32,8.029048770286096e-8,0.6388969811029951,1.2567047595724595e-7,0.886,0.6388970613934829,1,46,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,0.518,0.6388970613934829,1,32,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,0.709,0.6388970613934829,1,33,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,4.348,0.6388970613934829,1,31,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,4.288,0.6388970613934829,1,32,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,4.433,0.6388970613934829,1,32,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,7.249,0.6388970613934827,1,32,8.029048914615089e-8,0.6388969811029935,1.256704757834741e-7,0.343
2,20,5,1.0,0.37,0.2972560059455193,1,36,5.074309050723258e-8,0.2972559552024288,1.7070504263800857e-7,0.939,0.29725600594551926,1,52,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,0.396,0.29725600594551926,1,36,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,0.331,0.29725600594551926,1,37,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,4.465,0.29725600594551926,1,35,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,4.3,0.29725600594551926,1,36,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,4.458,0.29725600594551926,1,36,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,7.282,0.29725600594551926,1,36,5.0743076240866714e-8,0.297255955202443,1.707050424512633e-7,0.331
3,5,1,0.1,0.196,0.6501357879783465,1,17,5.9217531767075116e-8,0.6501357287608147,9.108487527665362e-8,0.762,0.6501357879783465,1,23,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,0.248,0.6501357879783465,1,17,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,0.148,0.6501357879783465,1,18,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,4.26,0.6501357879783465,1,16,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,4.267,0.6501357879783465,1,17,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,4.324,0.6501357879783465,1,17,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,7.131,0.6501357879783466,1,17,5.921753143400821e-8,0.6501357287608152,9.10848754474215e-8,0.148
3,10,5,0.1,0.258,0.337609345163554,1,21,5.280038412047716e-8,0.3376092923631699,1.5639493732796676e-7,0.866,0.3376093451635539,1,32,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,0.437,0.3376093451635539,1,21,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,0.433,0.3376093451635539,1,22,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,4.418,0.3376093451635539,1,20,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,4.291,0.3376093451635539,1,21,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,4.41,0.3376093451635539,1,21,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,5.135,0.337609345163554,1,21,5.280038412047716e-8,0.3376092923631699,1.5639493732796676e-7,0.258
