seed,dimension,solution,calls,termination,time
1,20,-1.5315296315467135,2106,OPTIMAL,135.490361
1,25,4.732725723895142,2362,OPTIMAL,298.882777
1,30,-30.20766608037439,3870,TIME_LIMIT,1800.001269
1,35,7.5542870779353555,1615,OPTIMAL,184.699748
1,40,134.31687696882577,6539,TIME_LIMIT,1800.003996
1,45,7.1729607765748495,1391,TIME_LIMIT,1800.007734
1,50,6.244430695869945,934,TIME_LIMIT,1800.004589
1,55,16.533886380781954,2381,TIME_LIMIT,1800.000318
1,60,3.6840923974437896,422,TIME_LIMIT,1800.016487
1,65,20.62968824774245,281,TIME_LIMIT,1800.019023
1,70,-12.826309119810581,2017,TIME_LIMIT,1800.004581
1,75,25.73207593562588,316,TIME_LIMIT,1800.020619
1,80,27.70958226672222,338,TIME_LIMIT,1800.027311
1,85,Inf,Inf,ERROR,1800.0
1,90,12.92164349567756,437,TIME_LIMIT,1800.012116
1,95,37.00155529488825,498,TIME_LIMIT,1800.019302
1,100,8.07146914446472,343,TIME_LIMIT,1800.023399
1,105,30.269998648062987,553,TIME_LIMIT,1800.012567
1,110,-0.005832714824290819,338,TIME_LIMIT,1800.017144
1,115,39.835672346099095,200,TIME_LIMIT,1800.066547
1,120,Inf,Inf,ERROR,1800.0
2,20,-9.114481093385423,967,OPTIMAL,25.924939
2,25,5.401151430831927,798,OPTIMAL,24.842851
2,30,-4.671675210026354,6880,TIME_LIMIT,1800.050596
2,35,4.642555494445428,2856,OPTIMAL,1581.258123
2,40,42.85860134303687,4629,TIME_LIMIT,1800.010634
2,45,6.59246123319312,991,TIME_LIMIT,1800.003652
2,50,10.719428552630268,2305,TIME_LIMIT,1800.001006
2,55,2.8591286109570646,800,TIME_LIMIT,1800.008809
2,60,4.813401849809587,364,TIME_LIMIT,1800.015088
2,65,22.86321612137201,491,TIME_LIMIT,1800.023094
2,70,2.4709166107842373,511,TIME_LIMIT,1800.010113
2,75,20.815937474947617,274,TIME_LIMIT,1800.020693
2,80,14.102527007992538,452,TIME_LIMIT,1800.011807
2,85,16.440518933320238,323,TIME_LIMIT,1800.019464
2,90,25.976015655248993,391,TIME_LIMIT,1800.012845
2,95,5.389103186669754,322,TIME_LIMIT,1800.010913
2,100,8.533716489402124,809,TIME_LIMIT,1800.010996
2,105,Inf,Inf,ERROR,1800.0
2,110,Inf,Inf,ERROR,1800.0
2,115,Inf,Inf,ERROR,1800.0
2,120,30.969590987246317,173,TIME_LIMIT,1800.01372
3,20,4.20407077799835,486,OPTIMAL,5.394477
3,25,-1.2079100763198598,1879,OPTIMAL,201.770779
3,30,-11.537165192823643,4844,TIME_LIMIT,1800.003414
3,35,1.0686963006630368,6923,TIME_LIMIT,1800.004277
3,40,10.050698707324818,2532,TIME_LIMIT,1800.001815
3,45,7.176948491008777,591,TIME_LIMIT,1800.007974
3,50,3.8309818791294137,891,TIME_LIMIT,1800.00391
3,55,6.789345288370987,664,TIME_LIMIT,1800.008236
3,60,22.54049949269083,261,TIME_LIMIT,1800.016121
3,65,3.6923708473589207,365,TIME_LIMIT,1800.012101
3,70,1.100469925482236,656,TIME_LIMIT,1800.011153
3,75,4.795803485312963,1042,TIME_LIMIT,1800.010842
3,80,28.587959557591606,359,TIME_LIMIT,1800.018457
3,85,16.338886103330953,363,TIME_LIMIT,1800.011905
3,90,8.285236923504623,731,TIME_LIMIT,1800.019091
3,95,14.163316565833426,523,TIME_LIMIT,1800.010525
3,100,Inf,Inf,ERROR,1800.0
3,105,6.972296327157139,310,TIME_LIMIT,1800.013614
3,110,1.846798747808414,506,TIME_LIMIT,1800.004938
3,115,6.831804241942962,839,TIME_LIMIT,1800.006758
3,120,Inf,Inf,ERROR,1800.0
4,20,-0.10255377782761954,2564,OPTIMAL,403.880861
4,25,3.9673796980592613,725,OPTIMAL,17.025445
4,30,4.469739487754895,1314,OPTIMAL,83.150642
4,35,9.528010025567454,3694,TIME_LIMIT,1800.005795
4,40,8.395186527903489,4330,TIME_LIMIT,1800.001355
4,45,1.8031071747575897,3457,TIME_LIMIT,1800.002305
4,50,24.79228384219391,824,TIME_LIMIT,1800.005979
4,55,12.475944708114746,1468,TIME_LIMIT,1800.001283
4,60,11.370784314116346,288,TIME_LIMIT,1800.019948
4,65,29.45516706585402,490,TIME_LIMIT,1800.019358
4,70,15.542478939251994,586,TIME_LIMIT,1800.015401
4,75,34.01378832352121,365,TIME_LIMIT,1800.017998
4,80,30.11476263577444,304,TIME_LIMIT,1800.01901
4,85,4.5280720569760415,464,TIME_LIMIT,1800.016036
4,90,Inf,Inf,ERROR,1800.0
4,95,24.134144560351366,411,TIME_LIMIT,1800.028479
4,100,18.328537019635462,321,TIME_LIMIT,1800.023525
4,105,45.889283563996415,318,TIME_LIMIT,1800.016175
4,110,27.4526804611395,505,TIME_LIMIT,1800.037062
4,115,54.10324424927498,232,TIME_LIMIT,1800.018065
4,120,Inf,Inf,ERROR,1800.0
5,20,-9.518173438085164,1416,OPTIMAL,72.045958
5,25,2.3737311201025513,755,OPTIMAL,33.112584
5,30,3.9430969761913413,3749,OPTIMAL,1384.747357
5,35,6.94535893937668,3604,TIME_LIMIT,1800.001642
5,40,11.922490028096933,560,TIME_LIMIT,1800.01234
5,45,10.921282857302767,676,TIME_LIMIT,1800.005914
5,50,6.005299656980718,817,TIME_LIMIT,1800.00516
5,55,4.652998840942775,369,TIME_LIMIT,1800.008942
5,60,3.453743826881639,788,TIME_LIMIT,1800.007306
5,65,17.902513334566137,776,TIME_LIMIT,1800.007523
5,70,15.471133606677848,705,TIME_LIMIT,1800.019121
5,75,25.953421432208962,424,TIME_LIMIT,1800.026451
