seed,numV,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,minimumTime
1,4,2.342,-10.52163726099156,1,194,0.0959903403583322,-10.617627601349891,0.009123137205481467,2.157,-10.52163726099156,1,238,0.09772476284527443,-10.619362023836834,0.009123137205481467,2.657,-10.52163726099156,1,293,0.097389718346788,-10.619026979338347,0.009123137205481467,2.365,-10.52163726099156,1,307,0.09592546207237262,-10.617562723063932,0.009123137205481467,5.127,-10.52163726099156,1,187,0.09764414620392792,-10.619281407195487,0.009123137205481467,5.219,-10.52163726099156,1,194,0.0959903403583322,-10.617627601349891,0.009123137205481467,5.092,-10.52163726099156,1,194,0.0959903403583322,-10.617627601349891,0.009123137205481467,6.708,-10.52163726099156,1,194,0.09599034035833398,-10.617627601349893,0.009123137205481467,2.157
1,5,38.548,-6.753903222760302,1,3756,0.06342517256953606,-6.817328395329838,0.009390891530070573,33.907,-6.753903222760302,1,5030,0.06259093166394436,-6.816494154424246,0.009390891530070573,23.421,-6.753903222760302,1,5609,0.06335083012594911,-6.817254052886251,0.009390891530070573,35.619,-6.753903222760302,1,5836,0.06292046923901218,-6.816823691999314,0.009390891530070573,28.201,-6.753903222760302,1,3799,0.0632472808614768,-6.817150503621779,0.009390891530070573,28.045,-6.753903222760302,1,3756,0.06342517256953606,-6.817328395329838,0.009390891530070573,21.729,-6.753903222760302,1,3756,0.06342517256953606,-6.817328395329838,0.009390891530070573,24.976,-6.753903222760302,1,3756,0.06342517256953606,-6.817328395329838,0.009390891530070573,21.729
1,6,128.914,-6.609683524031659,1,36308,0.06583560821232659,-6.675519132243986,0.0099604781337805,296.374,-6.609683524031659,1,49490,0.06601610962315618,-6.675699633654816,0.0099604781337805,168.06,-6.609683524031659,1,52447,0.06558695240838652,-6.675270476440046,0.0099604781337805,253.326,-6.609683524031659,1,54446,0.06607249495519696,-6.675756018986856,0.0099604781337805,167.521,-6.609683524031659,1,36303,0.06576554020288405,-6.675449064234543,0.0099604781337805,177.189,-6.609683524031659,1,36308,0.06583560821232659,-6.675519132243986,0.0099604781337805,201.725,-6.609683524031659,1,36308,0.06583560821232659,-6.675519132243986,0.0099604781337805,231.32,-6.609683524031659,1,36308,0.06583560821232659,-6.675519132243986,0.0099604781337805,128.914
1,7,19.428,-11.690896291367242,1,4502,0.11587140379486272,-11.806767695162105,0.009911250678053157,40.735,-11.690896291367242,1,6005,0.11570218524911446,-11.806598476616356,0.009911250678053157,40.317,-11.690896291367242,1,6893,0.11597998063980341,-11.806876272007045,0.009911250678053157,44.621,-11.690896291367242,1,7074,0.11562884111687666,-11.806525132484119,0.009911250678053157,31.728,-11.690896291367242,1,4558,0.11590561844280245,-11.806801909810044,0.009911250678053157,32.447,-11.690896291367242,1,4502,0.11587140379486272,-11.806767695162105,0.009911250678053157,31.977,-11.690896291367242,1,4502,0.11587140379486272,-11.806767695162105,0.009911250678053157,25.955,-11.690896291367242,1,4502,0.11587140379486272,-11.806767695162105,0.009911250678053157,19.428
1,8,80.465,-1.0950438989627638,1,18211,0.01038704834564208,-1.1054309473084059,0.009485508622513484,140.564,-1.0950438989627638,1,25068,0.010948688435794551,-1.1059925873985583,0.009485508622513484,158.632,-1.0950438989627638,1,26941,0.010415492042475272,-1.105459391005239,0.009485508622513484,162.723,-1.0950438989627638,1,28074,0.010404139469473384,-1.1054480384322372,0.009485508622513484,104.805,-1.0950438989627638,1,18216,0.010513607314611484,-1.1055575062773753,0.009485508622513484,107.464,-1.0950438989627638,1,18211,0.01038704834564208,-1.1054309473084059,0.009485508622513484,112.813,-1.0950438989627638,1,18211,0.01038704834564208,-1.1054309473084059,0.009485508622513484,94.031,-1.0950438989627638,1,18211,0.01038704834564208,-1.1054309473084059,0.009485508622513484,80.465
2,4,0.666,-12.460514291879214,1,85,0.08932549002415513,-12.54983978190337,0.007168684047204253,1.281,-12.460514291879214,1,103,0.09557803144751986,-12.556092323326734,0.007168684047204253,1.893,-12.460514291879214,1,121,0.09190114285738638,-12.5524154347366,0.007168684047204253,2.091,-12.460514291879214,1,121,0.08971397883506071,-12.550228270714275,0.007168684047204253,4.714,-12.460514291879214,1,82,0.08932549002415513,-12.54983978190337,0.007168684047204253,4.774,-12.460514291879214,1,85,0.08932549002415513,-12.54983978190337,0.007168684047204253,4.613,-12.460514291879214,1,85,0.08932549002415513,-12.54983978190337,0.007168684047204253,6.195,-12.460514291879214,1,85,0.08932549002415158,-12.549839781903366,0.007168684047204253,0.666
2,5,31.33,-14.615935365134433,1,3061,0.1446922088355702,-14.760627573970003,0.009899620189941869,28.063,-14.615935365134433,1,4101,0.1447498384152741,-14.760685203549707,0.009899620189941869,31.574,-14.615935365134433,1,4184,0.1460091135970245,-14.761944478731458,0.009899620189941869,28.082,-14.615935365134433,1,4450,0.14494320952989348,-14.760878574664327,0.009899620189941869,24.031,-14.615935365134433,1,3087,0.14477033271352013,-14.760705697847953,0.009899620189941869,23.375,-14.615935365134433,1,3061,0.1446922088355702,-14.760627573970003,0.009899620189941869,18.768,-14.615935365134433,1,3061,0.1446922088355702,-14.760627573970003,0.009899620189941869,27.922,-14.615935365134433,1,3061,0.1446922088355702,-14.760627573970003,0.009899620189941869,18.768
2,6,9.613,-9.3975879978104,1,2136,0.09297942679096671,-9.490567424601366,0.009893967134187043,20.728,-9.3975879978104,1,3011,0.09330339051770231,-9.490891388328102,0.009893967134187043,14.555,-9.3975879978104,1,3108,0.09382108883110973,-9.491409086641509,0.009893967134187043,20.372,-9.3975879978104,1,3291,0.09341219024640424,-9.491000188056804,0.009893967134187043,17.996,-9.3975879978104,1,2166,0.09381066700444407,-9.491398664814843,0.009893967134187043,17.804,-9.3975879978104,1,2136,0.09297942679096671,-9.490567424601366,0.009893967134187043,17.528,-9.3975879978104,1,2136,0.09297942679096671,-9.490567424601366,0.009893967134187043,21.44,-9.3975879978104,1,2136,0.09297942679096671,-9.490567424601366,0.009893967134187043,9.613
2,7,76.78,-4.4232888423304235,1,17539,0.04417380998216913,-4.467462652312593,0.009986643774973561,184.742,-4.4232888423304235,1,24206,0.04407271704925453,-4.467361559379678,0.009986643774973561,146.784,-4.4232888423304235,1,25177,0.04382064343628134,-4.467109485766705,0.009986643774973561,147.704,-4.4232888423304235,1,26401,0.04413141766011819,-4.467420259990542,0.009986643774973561,101.371,-4.4232888423304235,1,17598,0.04402476415457102,-4.4673136064849945,0.009986643774973561,103.434,-4.4232888423304235,1,17539,0.04417380998216913,-4.467462652312593,0.009986643774973561,109.294,-4.4232888423304235,1,17539,0.04417380998216913,-4.467462652312593,0.009986643774973561,91.723,-4.4232888423304235,1,17539,0.04417380998216913,-4.467462652312593,0.009986643774973561,76.78
2,8,96.441,-10.365833529843716,1,21790,0.10356383048019957,-10.469397360323915,0.009990883046890007,157.844,-10.365833529843716,1,30137,0.1035647080478661,-10.469398237891582,0.009990883046890007,157.078,-10.365833529843716,1,28980,0.10362184001512631,-10.469455369858842,0.009990883046890007,162.416,-10.365833529843716,1,30794,0.10347308728689342,-10.46930661713061,0.009990883046890007,119.113,-10.365833529843716,1,21892,0.10351703279972568,-10.469350562643442,0.009990883046890007,120.58,-10.365833529843716,1,21790,0.10356383048019957,-10.469397360323915,0.009990883046890007,132.379,-10.365833529843716,1,21790,0.10356383048019957,-10.469397360323915,0.009990883046890007,114.052,-10.365833529843716,1,21790,0.10356383048019957,-10.469397360323915,0.009990883046890007,96.441
