seed,dimension,varA,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
1,5,1,0.1,0.164,3.3703471620782786,1,62,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,14.299,3.370347162078279,1,62,5.599605268358232e-8,3.3703471060822263,1.661431401679194e-8,13.516,3.370347162078279,1,62,5.599605801265284e-8,3.370347106082221,1.661431401679194e-8,9.062,3.3703471620782786,1,62,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,7.269,3.3703471620782786,1,62,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,7.291,3.3703471620782786,1,62,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,7.321,3.3703471620782786,1,62,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,0.164
1,10,5,0.1,0.037,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,15.694,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,13.373,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,8.935,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,7.156,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,7.176,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,6.823,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,0.037
1,15,1,1.0,0.181,2.9781211642550875,1,55,7.740211849238676e-8,2.978121086852969,2.5990252321868782e-8,14.613,2.978121164255088,1,55,7.740211360740545e-8,2.9781210868529744,2.5990252470986027e-8,13.786,2.9781211642550875,1,55,7.740210117290758e-8,2.9781210868529864,2.5990252321868782e-8,9.113,2.9781211642550875,1,55,7.740211849238676e-8,2.978121086852969,2.5990252321868782e-8,7.286,2.9781211642550875,1,55,7.740211849238676e-8,2.978121086852969,2.5990252321868782e-8,6.973,2.9781211642550875,1,55,7.740211849238676e-8,2.978121086852969,2.5990252321868782e-8,7.325,2.9781211642550875,1,55,7.740211849238676e-8,2.978121086852969,2.5990252321868782e-8,0.181
1,20,5,1.0,0.167,2.004918106446408,1,38,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,14.562,2.0049181064464103,1,39,4.7837114269810854e-8,2.004918058609296,2.385990712853121e-8,13.721,2.0049181064464086,1,39,4.783715024103685e-8,2.0049180586092583,2.385990624253149e-8,9.159,2.004918106446408,1,39,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,7.233,2.004918106446408,1,38,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,6.97,2.004918106446408,1,38,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,7.35,2.004918106446408,1,38,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,0.167
2,5,1,0.1,0.209,0.4872728372600643,1,42,5.772489952704518e-8,0.4872727795351648,1.1846526617413763e-7,12.278,0.4872728372600641,1,64,5.7724920399238044e-8,0.4872727795351437,1.1846526571844913e-7,14.159,0.4872728372600643,1,64,5.772489952704518e-8,0.4872727795351648,1.1846526617413763e-7,9.244,0.4872728372600649,1,64,5.7724846458384604e-8,0.4872727795352184,1.184652673133589e-7,7.239,0.4872728372600649,1,42,5.7724846458384604e-8,0.4872727795352184,1.184652673133589e-7,7.31,0.4872728372600649,1,42,5.7724846458384604e-8,0.4872727795352184,1.184652673133589e-7,7.355,0.4872728372600649,1,42,5.7724846458384604e-8,0.4872727795352184,1.184652673133589e-7,0.209
2,10,5,0.1,0.211,0.06023019318797068,1,44,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,15.682,0.06023019318797068,1,44,9.992633143163232e-8,0.06023009326163925,1.6590759543253034e-6,13.617,0.06023019318797068,1,44,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,9.192,0.06023019318797068,1,44,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,7.321,0.06023019318797068,1,44,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,7.267,0.06023019318797068,1,44,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,6.95,0.06023019318797068,1,44,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,0.211
2,15,1,1.0,0.2,3.4917781560540337,1,64,8.564703080082836e-8,3.491778070407003,2.4528199981176156e-8,15.497,3.4917781560540337,1,64,8.564702103086574e-8,3.4917780704070127,2.4528199981176156e-8,13.563,3.4917781560540337,1,64,8.564703080082836e-8,3.491778070407003,2.4528199981176156e-8,9.075,3.4917781560540333,1,64,8.564693754209429e-8,3.4917780704070958,2.4528199853994758e-8,7.243,3.4917781560540333,1,64,8.564693754209429e-8,3.4917780704070958,2.4528199853994758e-8,7.366,3.4917781560540333,1,64,8.564693754209429e-8,3.4917780704070958,2.4528199853994758e-8,7.266,3.4917781560540333,1,64,8.564693754209429e-8,3.4917780704070958,2.4528199853994758e-8,0.2
2,20,5,1.0,0.205,0.44277528771179864,1,40,4.108691031845524e-8,0.4427752466248883,9.279405439135438e-8,15.427,0.4427752877117985,1,39,4.1086895663511314e-8,0.44277524662490286,9.27940541406125e-8,13.529,0.44277528771179864,1,39,4.108691031845524e-8,0.4427752466248883,9.279405439135438e-8,9.456,0.4427752877117986,1,39,4.108690276893867e-8,0.4427752466248958,9.279405426598343e-8,7.245,0.4427752877117986,1,40,4.108690276893867e-8,0.4427752466248958,9.279405426598343e-8,7.013,0.4427752877117986,1,40,4.108690276893867e-8,0.4427752466248958,9.279405426598343e-8,7.286,0.4427752877117986,1,40,4.108690276893867e-8,0.4427752466248958,9.279405426598343e-8,0.205
3,5,1,0.1,0.109,0.45178989295454297,1,16,3.8989176776027534e-8,0.4517898539653662,8.629936337396459e-8,15.214,0.45178989295454275,1,16,3.8989156125879276e-8,0.4517898539653866,8.629936288248697e-8,13.123,0.45178989295454297,1,16,3.898917666500523e-8,0.4517898539653663,8.629936337396459e-8,9.081,0.4517898929545432,1,16,3.89891842145218e-8,0.451789853965359,8.629936386544222e-8,7.215,0.4517898929545432,1,16,3.89891842145218e-8,0.451789853965359,8.629936386544222e-8,6.806,0.4517898929545432,1,16,3.89891842145218e-8,0.451789853965359,8.629936386544222e-8,7.152,0.4517898929545432,1,16,3.89891842145218e-8,0.451789853965359,8.629936386544222e-8,0.109
3,10,5,0.1,0.254,2.536857210668162,1,42,7.242487898295735e-8,2.536857138243283,2.8549056977291974e-8,16.292,2.5368572106681615,1,41,7.242492117143229e-8,2.5368571382432403,2.85490568022371e-8,12.965,2.536857210668162,1,41,7.242487898295735e-8,2.536857138243283,2.8549056977291974e-8,9.423,2.5368572106681615,1,41,7.242485144942634e-8,2.53685713824331,2.85490568022371e-8,6.992,2.5368572106681615,1,42,7.242485144942634e-8,2.53685713824331,2.85490568022371e-8,7.366,2.5368572106681615,1,42,7.242485144942634e-8,2.53685713824331,2.85490568022371e-8,7.057,2.5368572106681615,1,42,7.242485144942634e-8,2.53685713824331,2.85490568022371e-8,0.254
