seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
2,10,36.0,0.7187808749742676,0.9611505795614154,OPTIMAL,18,0,0
2,10,69.0,0.7187808749742676,0.9611505795614154,OPTIMAL,28,0,0
2,10,100.0,0.7403275152384696,0.9611505795614154,OPTIMAL,47,0,0
2,10,118.0,0.7403275152384696,0.9611505795614154,OPTIMAL,59,0,0
2,10,146.0,0.7574998110550906,0.9611505795614154,OPTIMAL,78,0,0
2,10,163.0,0.7574998110550906,0.9611505795614154,OPTIMAL,89,0,0
2,10,187.0,0.7736308965638949,0.9611505795614154,OPTIMAL,105,0,0
2,10,203.0,0.7736308965638949,0.9611505795614154,OPTIMAL,116,0,0
2,10,227.0,0.7917968659740453,0.9611505795614154,OPTIMAL,131,0,0
2,10,246.0,0.7917968659740453,0.9611505795614154,OPTIMAL,144,0,0
2,10,272.0,0.8014192217951422,0.9611505795614154,OPTIMAL,162,0,0
2,10,289.0,0.8014192217951422,0.9611505795614154,OPTIMAL,173,0,0
2,10,310.0,0.8117734812563417,0.9611505795614154,OPTIMAL,187,0,0
2,10,326.0,0.8117734812563417,0.9611505795614154,OPTIMAL,198,0,0
2,10,347.0,0.8144586363221037,0.9611505795614154,OPTIMAL,213,0,0
2,10,354.0,0.8144586363221037,0.9611505795614154,OPTIMAL,216,0,0
2,10,360.0,0.8207974193828056,0.9594873646724729,OPTIMAL,222,0,0
2,10,377.0,0.8207974193828056,0.9594873646724729,OPTIMAL,233,0,0
2,10,401.0,0.8220014103480868,0.9594873646724729,OPTIMAL,250,0,0
2,10,410.0,0.8220014103480868,0.9594873646724729,OPTIMAL,255,0,0
2,10,418.0,0.8308425326157759,0.9594873646724729,OPTIMAL,262,47,0
2,10,432.0,0.8308425326157759,0.9594873646724729,OPTIMAL,271,0,0
2,10,452.0,0.8336796097994565,0.9594873646724729,OPTIMAL,285,0,0
2,10,459.0,0.8336796097994565,0.9594873646724729,OPTIMAL,288,0,0
2,10,468.0,0.8400047783879001,0.9594873646724729,OPTIMAL,296,46,0
2,10,486.0,0.8400047783879001,0.9594873646724729,OPTIMAL,308,0,0
2,10,506.0,0.8401812464794618,0.9594873646724729,OPTIMAL,322,30,0
2,10,514.0,0.8401812464794618,0.9594873646724729,OPTIMAL,326,0,0
2,10,522.0,0.8453717035900814,0.9594873646724729,OPTIMAL,333,45,0
2,10,531.0,0.8453717035900814,0.9594873646724729,OPTIMAL,338,0,0
2,10,538.0,0.8489826548880448,0.9594873646724729,OPTIMAL,345,0,0
2,10,558.0,0.8489826548880448,0.9594873646724729,OPTIMAL,359,0,0
2,10,584.0,0.8496155368280033,0.9594873646724729,OPTIMAL,377,25,0
2,10,595.0,0.8496155368280033,0.9594873646724729,OPTIMAL,384,0,0
2,10,603.0,0.8500196260486338,0.9594873646724729,OPTIMAL,390,43,0
2,10,614.0,0.8500196260486338,0.9594873646724729,OPTIMAL,397,0,0
2,10,619.0,0.8541201214340102,0.9594873646724729,OPTIMAL,401,47,0
2,10,629.0,0.8541201214340102,0.9594873646724729,OPTIMAL,406,0,0
2,10,635.0,0.8581453994956922,0.9594873646724729,OPTIMAL,412,0,0
2,10,643.0,0.8581453994956922,0.9594873646724729,OPTIMAL,416,0,0
2,10,650.0,0.8585470187610771,0.9594873646724729,OPTIMAL,422,0,0
2,10,669.0,0.8585470187610771,0.9594873646724729,OPTIMAL,435,0,0
2,10,697.0,0.8603025702345668,0.9594873646724729,OPTIMAL,455,24,0
2,10,705.0,0.8603025702345668,0.9594873646724729,OPTIMAL,459,0,0
2,10,711.0,0.8611993057991173,0.9594873646724729,OPTIMAL,465,46,0
2,10,723.0,0.8611993057991173,0.9594873646724729,OPTIMAL,472,0,0
2,10,730.0,0.8662509400871984,0.9594873646724729,OPTIMAL,478,40,0
2,10,743.0,0.8662509400871984,0.9594873646724729,OPTIMAL,486,0,0
2,10,750.0,0.8679379426287857,0.9594873646724729,OPTIMAL,492,0,0
2,10,759.0,0.8679379426287857,0.9594873646724729,OPTIMAL,497,0,0
2,10,766.0,0.8696214183359914,0.9594873646724729,OPTIMAL,503,45,0
2,10,786.0,0.8696214183359914,0.9594873646724729,OPTIMAL,517,0,0
2,10,807.0,0.8705600447438252,0.9594873646724729,OPTIMAL,532,24,0
2,10,821.0,0.8705600447438252,0.9594873646724729,OPTIMAL,540,0,0
2,10,827.0,0.8707326865962993,0.9594873646724729,OPTIMAL,545,46,0
2,10,837.0,0.8707326865962993,0.9594873646724729,OPTIMAL,550,0,0
2,10,844.0,0.873429440692163,0.9594873646724729,OPTIMAL,557,38,0
2,10,852.0,0.873429440692163,0.9594873646724729,OPTIMAL,561,0,0
2,10,859.0,0.8761313348490389,0.9594873646724729,OPTIMAL,567,44,0
2,10,868.0,0.8761313348490389,0.9594873646724729,OPTIMAL,572,0,0
2,10,875.0,0.8776257807307914,0.9594873646724729,OPTIMAL,578,37,0
2,10,885.0,0.8776257807307914,0.9594873646724729,OPTIMAL,583,0,0
2,10,890.0,0.8778211526270544,0.9594873646724729,OPTIMAL,587,0,0
2,10,901.0,0.8778211526270544,0.9594873646724729,OPTIMAL,593,0,0
2,10,908.0,0.8787743606680307,0.9594873646724729,OPTIMAL,599,45,0
2,10,918.0,0.8787743606680307,0.9594873646724729,OPTIMAL,605,0,0
2,10,925.0,0.8804268410826631,0.9594873646724729,OPTIMAL,611,43,0
2,10,952.0,0.8804268410826631,0.9594873646724729,OPTIMAL,629,0,0
2,10,990.0,0.8822077047317555,0.9594873646724729,OPTIMAL,644,25,0
2,10,1004.0,0.8822077047317555,0.9594873646724729,OPTIMAL,654,0,0
2,10,1012.0,0.8829355543861546,0.9594873646724729,OPTIMAL,661,36,0
2,10,1022.0,0.8829355543861546,0.9594873646724729,OPTIMAL,667,0,0
2,10,1028.0,0.8839930608087935,0.9594873646724729,OPTIMAL,673,44,0
2,10,1036.0,0.8839930608087935,0.9594873646724729,OPTIMAL,677,0,0
2,10,1042.0,0.8842607124936495,0.9594873646724729,OPTIMAL,683,44,0
2,10,1052.0,0.8842607124936495,0.9594873646724729,OPTIMAL,689,0,0
2,10,1058.0,0.8882701265021813,0.9594873646724729,OPTIMAL,694,42,0
2,10,1068.0,0.8882701265021813,0.9594873646724729,OPTIMAL,700,0,0
2,10,1075.0,0.8889968746202154,0.9594873646724729,OPTIMAL,706,35,0
2,10,1086.0,0.8889968746202154,0.9594873646724729,OPTIMAL,713,0,0
2,10,1093.0,0.8893069513425714,0.9594873646724729,OPTIMAL,719,41,0
2,10,1100.0,0.8893069513425714,0.9594873646724729,OPTIMAL,723,0,0
2,10,1107.0,0.8903692040603225,0.9594873646724729,OPTIMAL,729,43,0
2,10,1116.0,0.8903692040603225,0.9594873646724729,OPTIMAL,734,0,0
2,10,1122.0,0.8930635885144901,0.9594873646724729,OPTIMAL,740,43,0
2,10,1143.0,0.8930635885144901,0.9594873646724729,OPTIMAL,755,0,0
2,10,1159.0,0.8930994291531671,0.9594873646724729,OPTIMAL,766,0,0
2,10,1169.0,0.8930994291531671,0.9594873646724729,OPTIMAL,772,0,0
2,10,1175.0,0.8938173008413456,0.9594873646724729,OPTIMAL,778,42,0
2,10,1185.0,0.8938173008413456,0.9594873646724729,OPTIMAL,784,0,0
2,10,1192.0,0.8945504032002172,0.9594873646724729,OPTIMAL,790,42,0
2,10,1202.0,0.8945504032002172,0.9594873646724729,OPTIMAL,796,0,0
2,10,1209.0,0.8950858270413842,0.9594873646724729,OPTIMAL,802,40,0
2,10,1217.0,0.8950858270413842,0.9594873646724729,OPTIMAL,807,0,0
2,10,1225.0,0.8971473285460378,0.9594873646724729,OPTIMAL,814,34,0
2,10,1237.0,0.8971473285460378,0.9594873646724729,OPTIMAL,822,0,0
2,10,1244.0,0.8987240388551155,0.9594873646724729,OPTIMAL,828,41,0
2,10,1254.0,0.8987240388551155,0.9594873646724729,OPTIMAL,834,0,0
2,10,1260.0,0.899021047117384,0.9594873646724729,OPTIMAL,840,33,0
2,10,1268.0,0.899021047117384,0.9594873646724729,OPTIMAL,844,0,0
2,10,1275.0,0.90038719026358,0.9594873646724729,OPTIMAL,850,41,0
2,10,1286.0,0.90038719026358,0.9594873646724729,OPTIMAL,857,0,0
2,10,1293.0,0.9024299540898366,0.9594873646724729,OPTIMAL,863,39,0
2,10,1302.0,0.9024299540898366,0.9594873646724729,OPTIMAL,868,0,0
2,10,1309.0,0.9030301898101236,0.9594873646724729,OPTIMAL,874,32,0
2,10,1320.0,0.9030301898101236,0.9594873646724729,OPTIMAL,881,0,0
2,10,1327.0,0.9033451620442923,0.9594873646724729,OPTIMAL,887,40,0
2,10,1339.0,0.9033451620442923,0.9594873646724729,OPTIMAL,894,0,0
2,10,1346.0,0.9053580249870976,0.9594873646724729,OPTIMAL,900,40,0
2,10,1367.0,0.9053580249870976,0.9594873646724729,OPTIMAL,914,0,0
