seed,dimension,p,k,solution,termination,time
1,15,75,3.0,2.233507838388827,LOCALLY_SOLVED,17.037230014801025
1,16,80,4.0,2.2503029834892216,LOCALLY_SOLVED,879.6242909431458
1,17,85,4.0,1.6411352805940957,LOCALLY_SOLVED,116.91935706138611
1,18,90,4.0,2.1566595210039115,LOCALLY_SOLVED,218.8261079788208
1,19,95,4.0,1.7514415512645611,LOCALLY_SOLVED,149.80388522148132
1,20,100,4.0,2.274969394574318,LOCALLY_SOLVED,438.1796078681946
1,21,105,5.0,1.7617940444296478,LOCALLY_SOLVED,1671.010682106018
1,22,110,5.0,1.930455916323803,LOCALLY_SOLVED,243.11059403419495
1,23,115,5.0,1.8673956843286912,LOCALLY_SOLVED,644.5328469276428
1,24,120,5.0,2.030958681471115,LOCALLY_SOLVED,1176.8882548809052
1,25,125,5.0,1.9185745695149057,LOCALLY_SOLVED,1518.9784381389618
1,26,130,6.0,1.8799554806823044,LOCALLY_SOLVED,1800.6996581554413
1,27,135,6.0,1.686597173245207,LOCALLY_SOLVED,1807.0088322162628
1,28,140,6.0,2.265131267723551,LOCALLY_SOLVED,1808.267725944519
1,29,145,6.0,2.068419509252331,LOCALLY_SOLVED,1812.8438160419464
1,30,150,6.0,2.0182482977522094,LOCALLY_SOLVED,1802.0110430717468
2,15,75,3.0,1.5912331031585372,LOCALLY_SOLVED,187.25836610794067
2,16,80,4.0,1.5377815463306446,LOCALLY_SOLVED,1804.4580290317535
2,17,85,4.0,1.9730825273887773,LOCALLY_SOLVED,1805.9742848873138
2,18,90,4.0,1.908611413219532,LOCALLY_SOLVED,1800.4674508571625
2,19,95,4.0,2.098437721479272,LOCALLY_SOLVED,1806.3442001342773
2,20,100,4.0,1.711631741892971,LOCALLY_SOLVED,1800.9263508319855
2,21,105,5.0,2.064084219318742,LOCALLY_SOLVED,1825.5613250732422
2,22,110,5.0,2.0715836184411973,LOCALLY_SOLVED,1800.85951089859
2,23,115,5.0,2.158232103431863,LOCALLY_SOLVED,1830.831435918808
2,24,120,5.0,1.664737192824539,LOCALLY_SOLVED,1813.1044278144836
2,25,125,5.0,1.8698762695126119,LOCALLY_SOLVED,1846.8805232048035
2,26,130,6.0,1.7663542638774565,LOCALLY_SOLVED,1845.1948018074036
2,27,135,6.0,2.0163225819286548,LOCALLY_SOLVED,1815.216675043106
2,28,140,6.0,1.7102759758476673,LOCALLY_SOLVED,1825.4231231212616
2,29,145,6.0,2.043843976014677,LOCALLY_SOLVED,1814.5591299533844
2,30,150,6.0,2.097237310099484,LOCALLY_SOLVED,1801.4488279819489
3,15,75,3.0,3.3580743003864444,LOCALLY_SOLVED,758.2029058933258
3,16,80,4.0,3.0488343335985735,LOCALLY_SOLVED,1490.8183720111847
3,17,85,4.0,3.5278768259128257,LOCALLY_SOLVED,1810.0733160972595
3,18,90,4.0,3.264971452425371,LOCALLY_SOLVED,1802.6911599636078
3,19,95,4.0,3.6329568490875643,LOCALLY_SOLVED,1800.9912350177765
3,20,100,4.0,3.423273800922441,LOCALLY_SOLVED,1817.4890069961548
3,21,105,5.0,3.7183894370265,LOCALLY_SOLVED,1812.5648560523987
3,22,110,5.0,3.5581300110271616,LOCALLY_SOLVED,1821.397582769394
3,23,115,5.0,4.019471942546419,LOCALLY_SOLVED,1817.6091220378876
3,24,120,5.0,4.033445869560809,LOCALLY_SOLVED,1825.0752589702606
3,25,125,5.0,4.453860552252213,LOCALLY_SOLVED,1813.2248961925507
3,26,130,6.0,4.063855935477809,LOCALLY_SOLVED,1810.1969728469849
3,27,135,6.0,4.457526555776282,LOCALLY_SOLVED,1803.4497141838074
3,28,140,6.0,4.38015255865851,LOCALLY_SOLVED,1830.3674759864807
3,29,145,6.0,4.633776050814911,LOCALLY_SOLVED,1801.5983169078827
3,30,150,6.0,4.319300767044491,LOCALLY_SOLVED,1813.0838367938995
4,15,75,3.0,5.039099441232199,LOCALLY_SOLVED,120.61905002593994
4,16,80,4.0,4.87391255029952,LOCALLY_SOLVED,267.24982595443726
4,17,85,4.0,4.165906160910182,LOCALLY_SOLVED,70.2883620262146
4,18,90,4.0,4.507734950843906,LOCALLY_SOLVED,482.89712381362915
4,19,95,4.0,4.65949020420355,LOCALLY_SOLVED,226.09811091423035
4,20,100,4.0,5.5804361209542925,LOCALLY_SOLVED,968.5464141368866
4,21,105,5.0,5.06111541195835,LOCALLY_SOLVED,217.26726388931274
4,22,110,5.0,5.233157352740532,LOCALLY_SOLVED,667.2268419265747
4,23,115,5.0,5.266123032553549,LOCALLY_SOLVED,118.8682758808136
4,24,120,5.0,5.147658736297285,LOCALLY_SOLVED,362.017884016037
4,25,125,5.0,4.560058647304471,LOCALLY_SOLVED,276.53985691070557
4,26,130,6.0,4.860201491722982,LOCALLY_SOLVED,1091.9481480121613
4,27,135,6.0,5.0755915836469105,LOCALLY_SOLVED,1537.666830778122
4,28,140,6.0,5.804245521135452,LOCALLY_SOLVED,1486.981985092163
4,29,145,6.0,5.521068682829489,LOCALLY_SOLVED,1118.394936800003
4,30,150,6.0,5.765377602581586,LOCALLY_SOLVED,1810.4708859920502
5,15,75,3.0,3.539283340522169,LOCALLY_SOLVED,17.98964500427246
5,16,80,4.0,3.9792937396655335,LOCALLY_SOLVED,28.732530117034912
5,17,85,4.0,4.797245612375953,LOCALLY_SOLVED,58.32210111618042
5,18,90,4.0,4.646806347047997,LOCALLY_SOLVED,114.30799508094788
5,19,95,4.0,5.0529997902248915,LOCALLY_SOLVED,167.98788285255432
5,20,100,4.0,5.19634828910037,LOCALLY_SOLVED,284.9434070587158
5,21,105,5.0,5.489221796012745,LOCALLY_SOLVED,450.36888694763184
5,22,110,5.0,5.183929677687505,LOCALLY_SOLVED,267.1132969856262
5,23,115,5.0,5.519353317373525,LOCALLY_SOLVED,294.1898019313812
5,24,120,5.0,5.482109598033645,LOCALLY_SOLVED,942.552619934082
5,25,125,5.0,6.063698015979929,LOCALLY_SOLVED,1422.9739050865173
5,26,130,6.0,5.876645290435709,LOCALLY_SOLVED,1085.9490158557892
5,27,135,6.0,6.333343152967092,LOCALLY_SOLVED,1800.6173839569092
5,28,140,6.0,6.3666980219359095,LOCALLY_SOLVED,1800.445608139038
5,29,145,6.0,6.393902928348632,LOCALLY_SOLVED,1800.7233929634094
5,30,150,6.0,6.192066366388194,LOCALLY_SOLVED,1813.0693159103394
6,15,75,3.0,3.4208886041667514,LOCALLY_SOLVED,4.828619003295898
6,16,80,4.0,4.2706841359133065,LOCALLY_SOLVED,5.192487001419067
6,17,85,4.0,3.4324307916708396,LOCALLY_SOLVED,4.147862195968628
6,18,90,4.0,3.555907091765177,LOCALLY_SOLVED,11.335606098175049
6,19,95,4.0,3.882930270491876,LOCALLY_SOLVED,111.7823269367218
6,20,100,4.0,4.988954634199518,LOCALLY_SOLVED,21.39192795753479
6,21,105,5.0,4.15033547305397,LOCALLY_SOLVED,22.364237070083618
6,22,110,5.0,4.080515707930702,LOCALLY_SOLVED,23.031535148620605
6,23,115,5.0,4.385927697639225,LOCALLY_SOLVED,160.3275020122528
6,24,120,5.0,5.44678519782221,LOCALLY_SOLVED,288.1502227783203
6,25,125,5.0,4.505696024313478,LOCALLY_SOLVED,47.16065001487732
6,26,130,6.0,4.700437452812604,LOCALLY_SOLVED,195.65378999710083
6,27,135,6.0,4.891072985132348,LOCALLY_SOLVED,44.374948024749756
6,28,140,6.0,5.714051218998868,LOCALLY_SOLVED,147.66080117225647
6,29,145,6.0,5.1855282639338425,LOCALLY_SOLVED,90.78674101829529
6,30,150,6.0,5.1456757635281045,LOCALLY_SOLVED,31.9733669757843
7,15,75,3.0,3.157309603218366,LOCALLY_SOLVED,187.52361798286438
7,16,80,4.0,3.277518213684546,LOCALLY_SOLVED,465.2193729877472
7,17,85,4.0,3.1153075996915263,LOCALLY_SOLVED,497.5648047924042
7,18,90,4.0,3.4917547779510754,LOCALLY_SOLVED,850.5708520412445
7,19,95,4.0,3.193733397039494,LOCALLY_SOLVED,289.37840509414673
7,20,100,4.0,3.5343833075043816,LOCALLY_SOLVED,966.9778401851654
7,21,105,5.0,3.3457952468468037,LOCALLY_SOLVED,1802.558021068573
7,22,110,5.0,3.5792866875837777,LOCALLY_SOLVED,1801.623852968216
7,23,115,5.0,3.351295718306617,LOCALLY_SOLVED,1808.061616897583
7,24,120,5.0,3.673988398667633,LOCALLY_SOLVED,1805.0604939460754
7,25,125,5.0,3.8324391371102453,LOCALLY_SOLVED,1804.6902780532837
7,26,130,6.0,4.278494946208987,LOCALLY_SOLVED,1825.9451220035553
7,27,135,6.0,4.204125639392937,LOCALLY_SOLVED,1832.209993839264
7,28,140,6.0,4.0961052509782,LOCALLY_SOLVED,1802.5108020305634
7,29,145,6.0,4.04827509603236,LOCALLY_SOLVED,1800.8021728992462
7,30,150,6.0,4.6037351677030784,LOCALLY_SOLVED,1805.094516992569
8,15,75,3.0,2.656737990072875,LOCALLY_SOLVED,3.3626210689544678
8,16,80,4.0,2.1846094312227913,LOCALLY_SOLVED,4.87149715423584
8,17,85,4.0,2.773474179458032,LOCALLY_SOLVED,8.50657606124878
8,18,90,4.0,3.3101103829462044,LOCALLY_SOLVED,8.553914070129395
8,19,95,4.0,3.32129354903842,LOCALLY_SOLVED,22.144092082977295
8,20,100,4.0,2.4058304549011145,LOCALLY_SOLVED,149.49731993675232
8,21,105,5.0,3.185067030762939,LOCALLY_SOLVED,26.103652000427246
8,22,110,5.0,3.420538496430892,LOCALLY_SOLVED,52.513983964920044
8,23,115,5.0,3.2451178902748326,LOCALLY_SOLVED,211.455500125885
8,24,120,5.0,3.2150222810501274,LOCALLY_SOLVED,189.38478016853333
8,25,125,5.0,3.370075064556837,LOCALLY_SOLVED,36.02373003959656
8,26,130,6.0,3.4494130208763596,LOCALLY_SOLVED,87.62029981613159
8,27,135,6.0,3.6193116636030274,LOCALLY_SOLVED,168.11636304855347
8,28,140,6.0,3.2745226565628456,LOCALLY_SOLVED,147.08454084396362
8,29,145,6.0,3.7775892706576055,LOCALLY_SOLVED,164.19924187660217
8,30,150,6.0,3.985746529801477,LOCALLY_SOLVED,182.1842110157013
9,15,75,3.0,2.0004772315876282,LOCALLY_SOLVED,3.207848072052002
9,16,80,4.0,1.6362039630526635,LOCALLY_SOLVED,7.437527894973755
9,17,85,4.0,2.335442839044774,LOCALLY_SOLVED,52.75142693519592
9,18,90,4.0,1.8351923802261152,LOCALLY_SOLVED,11.145032167434692
9,19,95,4.0,2.254173115913609,LOCALLY_SOLVED,25.040688037872314
9,20,100,4.0,2.0185995255471902,LOCALLY_SOLVED,15.434942960739136
9,21,105,5.0,2.4206442572624995,LOCALLY_SOLVED,19.690227031707764
9,22,110,5.0,2.147921135413277,LOCALLY_SOLVED,69.65814208984375
9,23,115,5.0,2.506469006214688,LOCALLY_SOLVED,139.43513298034668
9,24,120,5.0,2.282501675201112,LOCALLY_SOLVED,102.85571384429932
9,25,125,5.0,3.052571034359317,LOCALLY_SOLVED,13.194988012313843
9,26,130,6.0,2.6980738582494093,LOCALLY_SOLVED,58.864562034606934
9,27,135,6.0,3.3356267541303755,LOCALLY_SOLVED,126.84891104698181
9,28,140,6.0,2.6332114325547678,LOCALLY_SOLVED,674.2782769203186
9,29,145,6.0,3.35116591338204,LOCALLY_SOLVED,50.87398409843445
9,30,150,6.0,2.6758642532535566,LOCALLY_SOLVED,209.35163116455078
