minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_AfwTerm,Boscia_AfwTermRel,Boscia_AfwTime,Boscia_AfwRelGapNT,Boscia_AfwNodesOCuts,Boscia_No_As_No_SsTerm,Boscia_No_As_No_SsTermRel,Boscia_No_As_No_SsTime,Boscia_No_As_No_SsRelGapNT,Boscia_No_As_No_SsNodesOCuts,Boscia_No_AsTerm,Boscia_No_AsTermRel,Boscia_No_AsTime,Boscia_No_AsRelGapNT,Boscia_No_AsNodesOCuts,Boscia_No_SsTerm,Boscia_No_SsTermRel,Boscia_No_SsTime,Boscia_No_SsRelGapNT,Boscia_No_SsNodesOCuts,Boscia_Global_TighteningTerm,Boscia_Global_TighteningTermRel,Boscia_Global_TighteningTime,Boscia_Global_TighteningRelGapNT,Boscia_Global_TighteningNodesOCuts,Boscia_Local_TighteningTerm,Boscia_Local_TighteningTermRel,Boscia_Local_TighteningTime,Boscia_Local_TighteningRelGapNT,Boscia_Local_TighteningNodesOCuts,Boscia_No_TighteningTerm,Boscia_No_TighteningTermRel,Boscia_No_TighteningTime,Boscia_No_TighteningRelGapNT,Boscia_No_TighteningNodesOCuts
0,120,30,25 %,406.01,3.79,21828,30,25 %,503.92,0.31,28503,32,27 %,345.31,0.31,19919,32,27 %,348.17,0.31,20228,30,25 %,459.33,0.31,21414,30,25 %,451.8,0.31,21332,30,25 %,447.97,0.31,19973,30,25 %,501.87,0.31,21467
10,91,1,1 %,1710.73,5.23,28689,1,1 %,1731.24,0.42,37408,3,3 %,1707.57,0.41,26169,3,3 %,1706.57,0.41,26573,1,1 %,1717.63,0.41,28131,1,1 %,1713.07,0.41,28035,1,1 %,1712.49,0.41,26243,1,1 %,1713.37,0.41,28215
300,90,0,0 %,1800.02,5.3,28983,0,0 %,1801.68,0.42,37770,2,2 %,1799.63,0.41,26428,2,2 %,1798.64,0.41,26836,0,0 %,1803.23,0.42,28417,0,0 %,1803.12,0.42,28322,0,0 %,1803.92,0.42,26510,0,0 %,1803.12,0.42,28504
600,90,0,0 %,1800.02,5.3,28983,0,0 %,1801.68,0.42,37770,2,2 %,1799.63,0.41,26428,2,2 %,1798.64,0.41,26836,0,0 %,1803.23,0.42,28417,0,0 %,1803.12,0.42,28322,0,0 %,1803.92,0.42,26510,0,0 %,1803.12,0.42,28504
1200,90,0,0 %,1800.02,5.3,28983,0,0 %,1801.68,0.42,37770,2,2 %,1799.63,0.41,26428,2,2 %,1798.64,0.41,26836,0,0 %,1803.23,0.42,28417,0,0 %,1803.12,0.42,28322,0,0 %,1803.92,0.42,26510,0,0 %,1803.12,0.42,28504
