seed,dimension,var_A,p,k,M,num_nodes,solution,termination,time
1,5,1,25,5.0,0.1,1215,0.6330541634511341,Optimal,43102.0
1,5,5,25,5.0,0.1,213,0.2869486348793038,Optimal,11688.0
1,5,1,25,5.0,1.0,4407,0.633054172689896,Optimal,83224.0
1,5,5,25,5.0,1.0,5759,0.2867351130900134,Optimal,115889.0
2,5,1,25,5.0,0.1,83,0.5615589174207781,Optimal,3945.0
2,5,5,25,5.0,0.1,53,0.20313971626323657,Optimal,3714.0
2,5,1,25,5.0,1.0,3135,0.5304053482494641,Optimal,66365.0
2,5,5,25,5.0,1.0,3857,0.1551990676842367,Optimal,87990.0
3,5,1,25,5.0,0.1,3293,0.6595374944590824,Optimal,64853.0
3,5,5,25,5.0,0.1,581,0.3876081283987773,Optimal,20841.0
3,5,1,25,5.0,1.0,5245,0.6595374946265362,Optimal,102455.0
3,5,5,25,5.0,1.0,7219,0.3872486640479971,Optimal,168003.0
1,10,1,50,10.0,0.1,179,0.4718474493816601,Optimal,13378.0
1,10,5,50,10.0,0.1,1761,0.10447251575688318,Optimal,96466.0
1,10,1,50,10.0,1.0,42759,Inf,Time limit reached,1.80007e6
1,10,5,50,10.0,1.0,43597,0.10595712781307554,Time limit reached,1.800061e6
2,10,1,50,10.0,0.1,42463,Inf,Time limit reached,1.800041e6
2,10,5,50,10.0,0.1,39635,Inf,Time limit reached,1.800096e6
2,10,1,50,10.0,1.0,37929,0.6685523343827697,Time limit reached,1.800049e6
2,10,5,50,10.0,1.0,32377,0.441437163971953,Time limit reached,1.800039e6
3,10,1,50,10.0,0.1,37105,Inf,Time limit reached,1.800105e6
3,10,5,50,10.0,0.1,34135,Inf,Time limit reached,1.800094e6
3,10,1,50,10.0,1.0,37865,0.672757922000164,Time limit reached,1.800032e6
3,10,5,50,10.0,1.0,33739,0.4594964893833648,Time limit reached,1.800056e6
1,15,1,75,15.0,0.1,17081,Inf,Time limit reached,1.800085e6
1,15,5,75,15.0,0.1,15559,Inf,Time limit reached,1.800137e6
1,15,1,75,15.0,1.0,17419,0.6620581233408482,Time limit reached,1.800122e6
1,15,5,75,15.0,1.0,16663,0.40540357815887607,Time limit reached,1.800074e6
2,15,1,75,15.0,0.1,17477,Inf,Time limit reached,1.80018e6
2,15,5,75,15.0,0.1,15771,Inf,Time limit reached,1.800127e6
2,15,1,75,15.0,1.0,17937,0.677687701029623,Time limit reached,1.800063e6
2,15,5,75,15.0,1.0,15693,0.4893122372604667,Time limit reached,1.800053e6
3,15,1,75,15.0,0.1,16209,Inf,Time limit reached,1.80017e6
3,15,5,75,15.0,0.1,15079,Inf,Time limit reached,1.80007e6
3,15,1,75,15.0,1.0,18359,Inf,Time limit reached,1.800077e6
3,15,5,75,15.0,1.0,17493,Inf,Time limit reached,1.80005e6
1,20,1,100,20.0,0.1,6857,Inf,Time limit reached,1.800354e6
1,20,5,100,20.0,0.1,6679,Inf,Time limit reached,1.800193e6
1,20,1,100,20.0,1.0,8739,Inf,Time limit reached,1.800343e6
1,20,5,100,20.0,1.0,8239,Inf,Time limit reached,1.800292e6
2,20,1,100,20.0,0.1,7659,Inf,Time limit reached,1.800032e6
2,20,5,100,20.0,0.1,6953,Inf,Time limit reached,1.800112e6
2,20,1,100,20.0,1.0,8747,0.6753407425249682,Time limit reached,1.800008e6
2,20,5,100,20.0,1.0,8169,0.5041920933511655,Time limit reached,1.800076e6
3,20,1,100,20.0,0.1,7365,Inf,Time limit reached,1.800028e6
3,20,5,100,20.0,0.1,4027,Inf,Time limit reached,1.800029e6
3,20,1,100,20.0,1.0,8757,Inf,Time limit reached,1.800216e6
3,20,5,100,20.0,1.0,7945,Inf,Time limit reached,1.800104e6
