seed;dimension;var_A;p;k;M;time;solution;dual_gap;rel_dual_gap;termination;ncalls
1;5;1;25;5.0;0.1;19.502;0.653897246423264;0.006380667113862204;0.009854059830664723;OPTIMAL;10233
1;5;5;25;5.0;0.1;10.694;0.3507216199955216;0.0033643969813015873;0.009685697484873825;OPTIMAL;5276
1;5;1;25;5.0;1.0;265.819;0.6538972464232611;0.0064664702354484405;0.009987894417877638;OPTIMAL;128983
1;5;5;25;5.0;1.0;402.67;0.35072161999551266;0.003461577840222496;0.009968258423105655;OPTIMAL;187373
2;5;1;25;5.0;0.1;0.034;0.5150083111257999;0.0035353865824147013;0.0069121676099881514;OPTIMAL;14
2;5;5;25;5.0;0.1;0.171;0.13744112423431368;0.0006193921565108007;0.004527001281920529;OPTIMAL;87
2;5;1;25;5.0;1.0;33.708;0.3660217199680986;0.0036184082247150418;0.009984478914688349;OPTIMAL;17391
2;5;5;25;5.0;1.0;141.162;0.06958437127924136;0.000675373343273819;0.009800945645754386;OPTIMAL;55788
3;5;1;25;5.0;0.1;2.836;0.654847813553246;0.0064280967135343925;0.009913481263129771;OPTIMAL;1580
3;5;5;25;5.0;0.1;5.204;0.36138332348683605;0.003380632125702776;0.009443035505821328;OPTIMAL;2730
3;5;1;25;5.0;1.0;49.102;0.6548478135532408;0.006472080850346118;0.009981991187988863;OPTIMAL;22590
3;5;5;25;5.0;1.0;136.495;0.3613782945414862;0.003534474902680107;0.009877143906656461;OPTIMAL;61943
1;10;1;50;10.0;0.1;260.363;0.5524563901105974;0.003073570788416191;0.0055945884733132134;OPTIMAL;86084
1;10;5;50;10.0;0.1;706.043;0.1783786937164944;0.0017591746191439883;0.009960250306051133;OPTIMAL;203127
1;10;1;50;10.0;1.0;1801.036;0.5520229984934812;0.03607497055603259;0.06991977602908131;Time limit reached;356917
1;10;5;50;10.0;1.0;1800.595;0.18805076718664826;0.04778464784487041;0.3406713472156201;Time limit reached;321859
2;10;1;50;10.0;0.1;0.017;0.4397914264701337;0.005995646430049573;0.013821357205216602;OPTIMAL;4
2;10;5;50;10.0;0.1;3.231;0.06446303612227391;0.0006337436437065802;0.009928727377314723;OPTIMAL;1333
2;10;1;50;10.0;1.0;1800.312;0.24914722062431882;0.018642767915621472;0.0808781248975762;Time limit reached;439647
2;10;5;50;10.0;1.0;1800.268;0.03734936127333269;0.008367099428404731;0.2886972546578181;Time limit reached;400041
3;10;1;50;10.0;0.1;86.919;0.6417043882144098;0.006349073311690545;0.009992949083400156;OPTIMAL;28011
3;10;5;50;10.0;0.1;240.702;0.30951926984599853;0.0030598870337338324;0.009984641376140545;OPTIMAL;67193
