seed,num_v,time,lowerBound,upperBound,termination,LMOcalls
1,4,145.0,-12.569323438608997,-12.11384851741753,Optimal (tolerance reached),33
1,4,229.0,-12.569323438608997,-12.11384851741753,Optimal (tolerance reached),58
1,4,298.0,-12.495493076137652,-12.113849111010623,Optimal (tolerance reached),79
1,4,367.0,-12.495493076137652,-12.113849111010623,Optimal (tolerance reached),99
1,4,444.0,-12.47070225273653,-12.113849111010623,Optimal (tolerance reached),123
1,4,519.0,-12.47070225273653,-12.113849111010623,Optimal (tolerance reached),145
1,4,588.0,-12.430319344228213,-12.113849111010623,Optimal (tolerance reached),165
1,4,660.0,-12.430319344228213,-12.113849111010623,Optimal (tolerance reached),182
1,4,721.0,-12.403068816415136,-12.113849111010623,Optimal (tolerance reached),201
1,4,803.0,-12.403068816415136,-12.113849111010623,Optimal (tolerance reached),226
1,4,874.0,-12.38530706286804,-12.113849111010623,Optimal (tolerance reached),246
1,4,926.0,-12.38530706286804,-12.113849111010623,Optimal (tolerance reached),261
1,4,1007.0,-12.376191185047794,-12.113849111010623,Optimal (tolerance reached),287
1,4,1091.0,-12.376191185047794,-12.113849111010623,Optimal (tolerance reached),306
1,4,1145.0,-12.361399461407714,-12.113849111010623,Optimal (tolerance reached),323
1,4,1204.0,-12.361399461407714,-12.113849111010623,Optimal (tolerance reached),340
1,4,1274.0,-12.348361076034465,-12.113849111010623,Optimal (tolerance reached),361
1,4,1326.0,-12.348361076034465,-12.113849111010623,Optimal (tolerance reached),377
1,4,1414.0,-12.331732383160801,-12.113849111010623,Optimal (tolerance reached),404
1,4,1484.0,-12.331732383160801,-12.113849111010623,Optimal (tolerance reached),424
1,4,1579.0,-12.322629691820243,-12.113849111010623,Optimal (tolerance reached),448
1,4,1655.0,-12.322629691820243,-12.113849111010623,Optimal (tolerance reached),468
1,4,1723.0,-12.30586827458095,-12.113849111010623,Optimal (tolerance reached),490
1,4,1795.0,-12.30586827458095,-12.113849111010623,Optimal (tolerance reached),509
1,4,1857.0,-12.304249451380336,-12.113849111010623,Optimal (tolerance reached),529
1,4,1926.0,-12.304249451380336,-12.113849111010623,Optimal (tolerance reached),550
1,4,2010.0,-12.297860009002488,-12.113849111010623,Optimal (tolerance reached),572
1,4,2070.0,-12.297860009002488,-12.113849111010623,Optimal (tolerance reached),591
1,4,2122.0,-12.281924135659436,-12.113849111010623,Optimal (tolerance reached),607
1,4,2175.0,-12.281924135659436,-12.113849111010623,Optimal (tolerance reached),622
1,4,2246.0,-12.279597677834744,-12.113849111010623,Optimal (tolerance reached),643
1,4,2301.0,-12.279597677834744,-12.113849111010623,Optimal (tolerance reached),660
1,4,2370.0,-12.275682895763554,-12.113849111010623,Optimal (tolerance reached),680
1,4,2428.0,-12.275682895763554,-12.113849111010623,Optimal (tolerance reached),696
1,4,2508.0,-12.259954540860255,-12.113849111010623,Optimal (tolerance reached),717
1,4,2582.0,-12.259954540860255,-12.113849111010623,Optimal (tolerance reached),740
1,4,2647.0,-12.255263058035514,-12.113849111010623,Optimal (tolerance reached),761
1,4,2681.0,-12.255263058035514,-12.113849111010623,Optimal (tolerance reached),771
1,4,2740.0,-12.251912933495749,-12.113849111010623,Optimal (tolerance reached),790
1,4,2795.0,-12.251912933495749,-12.113849111010623,Optimal (tolerance reached),806
1,4,2862.0,-12.251243460105604,-12.113849111010623,Optimal (tolerance reached),824
1,4,2944.0,-12.251243460105604,-12.113849111010623,Optimal (tolerance reached),843
1,4,3001.0,-12.24656923649587,-12.113849111010623,Optimal (tolerance reached),862
1,4,3050.0,-12.24656923649587,-12.113849111010623,Optimal (tolerance reached),876
1,4,3094.0,-12.240795170071083,-12.113849111010623,Optimal (tolerance reached),890
1,4,3123.0,-12.240795170071083,-12.113849111010623,Optimal (tolerance reached),900
1,4,3168.0,-12.239033968999136,-12.113849111010623,Optimal (tolerance reached),914
1,4,3215.0,-12.239033968999136,-12.113849111010623,Optimal (tolerance reached),928
1,4,3258.0,-12.233757337863798,-12.113849111010623,Optimal (tolerance reached),942
