seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,2.807,-12.113849111290794,0.12043040579121467,0.009941547454059561,87,Optimal (tolerance reached),940
2,4,0.997,-13.818306679619157,0.13481239520522692,0.00975607202321424,35,Optimal (tolerance reached),332
3,4,1.909,-17.10798268588117,0.16803783417908846,0.009822188697780615,55,Optimal (tolerance reached),598
1,5,6.575,-16.024791442388214,0.15853736089302828,0.009893255800738276,155,Optimal (tolerance reached),2077
2,5,3.078,-16.770924607570954,0.15939449634393554,0.009504216378861995,85,Optimal (tolerance reached),971
3,5,50.297,-6.397104136500236,0.06340317876109136,0.009911231302196424,973,Optimal (tolerance reached),15008
1,6,268.026,-5.929927997509199,0.05919439074765709,0.009982311888529008,4377,Optimal (tolerance reached),79272
2,6,4.466,-18.577450506583123,0.1730193969179794,0.009313409116965113,99,Optimal (tolerance reached),1314
3,6,179.178,-19.86838673248311,0.19851271827266004,0.009991385860640047,2761,Optimal (tolerance reached),42736
1,7,10.151,-8.400099626621149,0.08172751646300469,0.009729350852458725,191,Optimal (tolerance reached),3027
2,7,17.95,-13.867058401826238,0.13528826496255597,0.009756089650905273,331,Optimal (tolerance reached),5173
3,7,572.009,2.819769498207298,0.027867223954737952,0.009981446776176463,6847,Optimal (tolerance reached),159126
1,8,1800.535,-2.73729785999211,0.191616544414821,0.07000208023228183,19597,Time limit reached,462823
2,8,41.532,-7.221043200656398,0.0720470705505809,0.009977377028298595,655,Optimal (tolerance reached),12055
3,8,136.454,-13.01830998918282,0.12926184205016789,0.00992923368375574,1761,Optimal (tolerance reached),35941
