seed,dimension,p,k,Ns,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
3,20,20,10.0,5.0,1417.0,-19.132157561748578,399.16398148113683,OPTIMAL,19,2,0,0
3,20,20,10.0,5.0,1724.0,-19.132157561748578,284.28564140726763,OPTIMAL,71,3,0,0
3,20,20,10.0,5.0,1734.0,-6.330194856710143,1.0000000000000002,OPTIMAL,73,2,0,0
3,20,20,10.0,5.0,1756.0,-6.330194856710143,1.0000000000000002,OPTIMAL,76,1,0,0
3,20,20,10.0,5.0,1772.0,-6.330194856710143,1.0000000000000002,OPTIMAL,79,0,0,0
3,20,20,10.0,5.0,1417.0,-19.132157561748578,399.16398148113683,OPTIMAL,19,2,0,0
3,20,20,10.0,5.0,1724.0,-19.132157561748578,284.28564140726763,OPTIMAL,71,3,0,0
3,20,20,10.0,5.0,1734.0,-6.330194856710143,1.0000000000000002,OPTIMAL,73,2,0,0
3,20,20,10.0,5.0,1756.0,-6.330194856710143,1.0000000000000002,OPTIMAL,76,1,0,0
3,20,20,10.0,5.0,1772.0,-6.330194856710143,1.0000000000000002,OPTIMAL,79,0,0,0
