seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
1,5,5,25,5.0,1,153.0,0.2089267185137577,0.6931471805599454,OPTIMAL,37,2,0,0
1,5,5,25,5.0,1,307.0,0.2089267185137577,0.6931471805599454,OPTIMAL,74,3,0,0
1,5,5,25,5.0,1,484.0,0.21203186594807638,0.6931471805599454,OPTIMAL,115,4,0,0
1,5,5,25,5.0,1,638.0,0.21203186594807638,0.6931471805599454,OPTIMAL,154,5,0,0
1,5,5,25,5.0,1,805.0,0.2135545059218272,0.6931471805599454,OPTIMAL,196,6,0,0
1,5,5,25,5.0,1,991.0,0.2135545059218272,0.6931471805599454,OPTIMAL,245,7,0,0
1,5,5,25,5.0,1,1205.0,0.2136886596656372,0.6931471805599454,OPTIMAL,298,8,0,0
1,5,5,25,5.0,1,1406.0,0.2136886596656372,0.6931471805599454,OPTIMAL,347,9,0,0
1,5,5,25,5.0,1,1672.0,0.21547633977823422,0.6931471805599454,OPTIMAL,391,10,0,0
1,5,5,25,5.0,1,1848.0,0.21547633977823422,0.6931471805599454,OPTIMAL,421,11,0,0
1,5,5,25,5.0,1,1897.0,0.22551170364794146,0.2867352128881776,OPTIMAL,437,10,0,0
1,5,5,25,5.0,1,2067.0,0.22551170364794146,0.2867352128881776,OPTIMAL,479,11,0,0
1,5,5,25,5.0,1,2229.0,0.22656563697583496,0.2867352128881776,OPTIMAL,522,12,0,0
1,5,5,25,5.0,1,2413.0,0.22656563697583496,0.2867352128881776,OPTIMAL,567,13,0,0
1,5,5,25,5.0,1,2643.0,0.2267732978031228,0.2867352128881776,OPTIMAL,626,14,0,0
1,5,5,25,5.0,1,2843.0,0.2267732978031228,0.2867352128881776,OPTIMAL,675,15,0,0
1,5,5,25,5.0,1,3111.0,0.22702758471866663,0.2867352128881776,OPTIMAL,731,16,0,0
1,5,5,25,5.0,1,3293.0,0.22702758471866663,0.2867352128881776,OPTIMAL,771,17,0,0
1,5,5,25,5.0,1,3557.0,0.227287994217605,0.2867352128881776,OPTIMAL,827,18,0,0
1,5,5,25,5.0,1,3754.0,0.227287994217605,0.2867352128881776,OPTIMAL,865,19,0,0
1,5,5,25,5.0,1,3807.0,0.22767127048604302,0.2867352128881776,OPTIMAL,882,18,0,0
1,5,5,25,5.0,1,4043.0,0.22767127048604302,0.2867352128881776,OPTIMAL,917,19,0,0
1,5,5,25,5.0,1,4087.0,0.22774722606088946,0.2867352128881776,OPTIMAL,932,18,0,0
