seed,num_v,time,number_nodes,solution,termination
1,4,136256.0,407,-8728.550803746315,Optimal
2,4,123389.0,413,-10634.723438768204,Optimal
3,4,127598.0,409,-8733.371754014399,Optimal
1,5,209169.0,605,-12152.082372218581,Optimal
2,5,20815.0,79,12355.267574159145,Optimal
3,5,155824.0,527,-25807.552649161044,Optimal
1,6,138919.0,487,-19040.887085678347,Optimal
2,6,212227.0,599,-21641.53914954298,Optimal
3,6,18833.0,73,12620.634070447915,Optimal
1,7,253002.0,771,-18515.41677032785,Optimal
2,7,144483.0,471,-5114.942177435412,Optimal
3,7,146929.0,487,-40181.84049853735,Optimal
1,8,185898.0,517,-10729.70368248284,Optimal
2,8,142171.0,451,-12841.820139604504,Optimal
3,8,22354.0,79,24760.671562762145,Optimal
