seed,num_v,number_nodes,time,lowerBound,upperBound,termination
1,8,9707,38564.0,-739.4392014424961,Inf,Time limit reached
1,8,9707,38821.0,-739.3756900660578,Inf,Time limit reached
1,8,9707,39440.0,-739.3756900660578,Inf,Time limit reached
1,8,9707,40100.0,-739.2509329041861,Inf,Time limit reached
1,8,9707,40776.0,-739.2509329041861,Inf,Time limit reached
1,8,9707,41406.0,-739.2120017472446,Inf,Time limit reached
1,8,9707,41698.0,-739.2120017472446,Inf,Time limit reached
1,8,9707,41949.0,-739.1032221348925,Inf,Time limit reached
1,8,9707,42599.0,-739.1032221348925,Inf,Time limit reached
1,8,9707,43261.0,-739.0505020015502,Inf,Time limit reached
1,8,9707,43547.0,-739.0505020015502,Inf,Time limit reached
1,8,9707,43793.0,-738.9045326764265,Inf,Time limit reached
1,8,9707,44429.0,-738.9045326764265,Inf,Time limit reached
1,8,9707,45088.0,-738.8883809477372,Inf,Time limit reached
1,8,9707,45345.0,-738.8883809477372,Inf,Time limit reached
1,8,9707,45596.0,-738.7995649188666,Inf,Time limit reached
1,8,9707,45847.0,-738.7995649188666,Inf,Time limit reached
1,8,9707,46096.0,-738.7906373095531,Inf,Time limit reached
1,8,9707,46354.0,-738.7906373095531,Inf,Time limit reached
1,8,9707,46597.0,-738.7241598830132,Inf,Time limit reached
1,8,9707,46859.0,-738.7241598830132,Inf,Time limit reached
1,8,9707,47103.0,-738.6527969108415,Inf,Time limit reached
1,8,9707,47358.0,-738.6527969108415,Inf,Time limit reached
1,8,9707,47613.0,-738.5484431376221,Inf,Time limit reached
1,8,9707,47862.0,-738.5484431376221,Inf,Time limit reached
1,8,9707,48061.0,-738.3882411867052,Inf,Time limit reached
1,8,9707,48316.0,-738.3882411867052,Inf,Time limit reached
1,8,9707,48579.0,-738.2638498651024,Inf,Time limit reached
1,8,9707,49165.0,-738.2638498651024,Inf,Time limit reached
1,8,9707,49790.0,-738.246669653564,Inf,Time limit reached
1,8,9707,50416.0,-738.246669653564,Inf,Time limit reached
1,8,9707,51041.0,-738.1004342814484,Inf,Time limit reached
1,8,9707,51695.0,-738.1004342814484,Inf,Time limit reached
1,8,9707,52353.0,-737.754293067168,Inf,Time limit reached
1,8,9707,52638.0,-737.754293067168,Inf,Time limit reached
1,8,9707,52889.0,-737.6380889603108,Inf,Time limit reached
1,8,9707,53124.0,-737.6380889603108,Inf,Time limit reached
1,8,9707,53373.0,-737.5891522122519,Inf,Time limit reached
1,8,9707,53641.0,-737.5891522122519,Inf,Time limit reached
1,8,9707,53877.0,-737.5889626326838,Inf,Time limit reached
1,8,9707,54132.0,-737.5889626326838,Inf,Time limit reached
1,8,9707,54394.0,-737.526857357944,Inf,Time limit reached
1,8,9707,54644.0,-737.526857357944,Inf,Time limit reached
1,8,9707,54875.0,-737.3728879887907,Inf,Time limit reached
1,8,9707,55150.0,-737.3728879887907,Inf,Time limit reached
1,8,9707,55405.0,-737.1005988430607,Inf,Time limit reached
1,8,9707,55653.0,-737.1005988430607,Inf,Time limit reached
1,8,9707,55895.0,-737.025533823061,Inf,Time limit reached
1,8,9707,56137.0,-737.025533823061,Inf,Time limit reached
1,8,9707,56398.0,-737.0186820468057,Inf,Time limit reached
1,8,9707,56634.0,-737.0186820468057,Inf,Time limit reached
1,8,9707,56882.0,-736.9431441655656,Inf,Time limit reached
1,8,9707,57137.0,-736.9431441655656,Inf,Time limit reached
1,8,9707,57391.0,-736.915624193871,Inf,Time limit reached
1,8,9707,57633.0,-736.915624193871,Inf,Time limit reached
1,8,9707,57881.0,-736.8939996123686,Inf,Time limit reached
1,8,9707,58129.0,-736.8939996123686,Inf,Time limit reached
1,8,9707,58371.0,-736.886527525356,Inf,Time limit reached
1,8,9707,58626.0,-736.886527525356,Inf,Time limit reached
1,8,9707,58862.0,-736.6927933524798,Inf,Time limit reached
1,8,9707,59136.0,-736.6927933524798,Inf,Time limit reached
1,8,9707,59385.0,-736.6697936719328,Inf,Time limit reached
1,8,9707,60032.0,-736.6697936719328,Inf,Time limit reached
1,8,9707,60677.0,-736.5338072187348,Inf,Time limit reached
1,8,9707,61321.0,-736.5338072187348,Inf,Time limit reached
1,8,9707,61950.0,-736.5306425207674,Inf,Time limit reached
1,8,9707,62209.0,-736.5306425207674,Inf,Time limit reached
1,8,9707,62452.0,-736.4656337456531,Inf,Time limit reached
1,8,9707,63083.0,-736.4656337456531,Inf,Time limit reached
1,8,9707,63675.0,-736.4493047629587,Inf,Time limit reached
1,8,9707,64331.0,-736.4493047629587,Inf,Time limit reached
1,8,9707,65034.0,-736.3455918383657,Inf,Time limit reached
1,8,9707,65327.0,-736.3455918383657,Inf,Time limit reached
1,8,9707,65575.0,-736.3172938687403,Inf,Time limit reached
1,8,9707,65841.0,-736.3172938687403,Inf,Time limit reached
1,8,9707,66101.0,-736.3048019399031,Inf,Time limit reached
1,8,9707,66699.0,-736.3048019399031,Inf,Time limit reached
1,8,9707,67285.0,-736.0614114585989,Inf,Time limit reached
1,8,9707,67545.0,-736.0614114585989,Inf,Time limit reached
1,8,9707,67781.0,-735.9981983306275,Inf,Time limit reached
1,8,9707,68394.0,-735.9981983306275,Inf,Time limit reached
1,8,9707,68965.0,-735.9848573742205,Inf,Time limit reached
1,8,9707,69583.0,-735.9848573742205,Inf,Time limit reached
1,8,9707,70206.0,-735.9494680418906,Inf,Time limit reached
1,8,9707,70830.0,-735.9494680418906,Inf,Time limit reached
1,8,9707,71440.0,-735.943279032522,Inf,Time limit reached
1,8,9707,72063.0,-735.943279032522,Inf,Time limit reached
1,8,9707,72703.0,-735.8900251572024,Inf,Time limit reached
1,8,9707,72984.0,-735.8900251572024,Inf,Time limit reached
1,8,9707,73231.0,-735.8571507722136,Inf,Time limit reached
1,8,9707,73478.0,-735.8571507722136,Inf,Time limit reached
1,8,9707,73719.0,-735.7702899831797,Inf,Time limit reached
1,8,9707,74374.0,-735.7702899831797,Inf,Time limit reached
1,8,9707,75047.0,-735.7188202090579,Inf,Time limit reached
1,8,9707,75702.0,-735.7188202090579,Inf,Time limit reached
1,8,9707,76325.0,-735.6344013088412,Inf,Time limit reached
1,8,9707,76607.0,-735.6344013088412,Inf,Time limit reached
1,8,9707,76854.0,-735.58512631308,Inf,Time limit reached
1,8,9707,77106.0,-735.58512631308,Inf,Time limit reached
1,8,9707,77340.0,-735.5211478577149,Inf,Time limit reached
1,8,9707,78017.0,-735.5211478577149,Inf,Time limit reached
1,8,9707,78640.0,-735.4194069501244,Inf,Time limit reached
1,8,9707,78934.0,-735.4194069501244,Inf,Time limit reached
1,8,9707,79193.0,-735.2896081578253,Inf,Time limit reached
1,8,9707,79449.0,-735.2896081578253,Inf,Time limit reached
1,8,9707,79692.0,-735.2504122066229,Inf,Time limit reached
1,8,9707,79945.0,-735.2504122066229,Inf,Time limit reached
1,8,9707,80193.0,-735.2448043335528,Inf,Time limit reached
1,8,9707,80448.0,-735.2448043335528,Inf,Time limit reached
1,8,9707,80792.0,-735.0984668060726,Inf,Time limit reached
1,8,9707,81052.0,-735.0984668060726,Inf,Time limit reached
1,8,9707,81293.0,-735.0640586851048,Inf,Time limit reached
1,8,9707,81556.0,-735.0640586851048,Inf,Time limit reached
1,8,9707,81818.0,-734.9769100350245,Inf,Time limit reached
1,8,9707,82070.0,-734.9769100350245,Inf,Time limit reached
1,8,9707,82330.0,-734.9747128803511,Inf,Time limit reached
1,8,9707,82577.0,-734.9747128803511,Inf,Time limit reached
1,8,9707,82824.0,-734.8767200118351,Inf,Time limit reached
1,8,9707,83090.0,-734.8767200118351,Inf,Time limit reached
1,8,9707,83350.0,-734.7957884140667,Inf,Time limit reached
1,8,9707,83612.0,-734.7957884140667,Inf,Time limit reached
1,8,9707,83853.0,-734.776105510648,Inf,Time limit reached
1,8,9707,84120.0,-734.776105510648,Inf,Time limit reached
1,8,9707,84367.0,-734.7103123581434,Inf,Time limit reached
1,8,9707,84620.0,-734.7103123581434,Inf,Time limit reached
1,8,9707,84865.0,-734.6589928356335,Inf,Time limit reached
1,8,9707,85122.0,-734.6589928356335,Inf,Time limit reached
1,8,9707,85366.0,-734.4762242256413,Inf,Time limit reached
1,8,9707,85617.0,-734.4762242256413,Inf,Time limit reached
1,8,9707,85868.0,-734.4567937910402,Inf,Time limit reached
1,8,9707,86126.0,-734.4567937910402,Inf,Time limit reached
1,8,9707,86377.0,-734.4443244989309,Inf,Time limit reached
1,8,9707,86617.0,-734.4443244989309,Inf,Time limit reached
1,8,9707,86863.0,-734.2334202170897,Inf,Time limit reached
1,8,9707,87113.0,-734.2334202170897,Inf,Time limit reached
1,8,9707,87358.0,-734.2237103491474,Inf,Time limit reached
1,8,9707,87627.0,-734.2237103491474,Inf,Time limit reached
1,8,9707,87889.0,-734.1553561920709,Inf,Time limit reached
1,8,9707,88146.0,-734.1553561920709,Inf,Time limit reached
1,8,9707,88404.0,-734.0870862803391,Inf,Time limit reached
1,8,9707,88674.0,-734.0870862803391,Inf,Time limit reached
1,8,9707,88924.0,-734.0495741880877,Inf,Time limit reached
1,8,9707,89203.0,-734.0495741880877,Inf,Time limit reached
1,8,9707,89455.0,-733.979741425052,Inf,Time limit reached
1,8,9707,89725.0,-733.979741425052,Inf,Time limit reached
1,8,9707,89993.0,-733.9129607200807,Inf,Time limit reached
1,8,9707,90245.0,-733.9129607200807,Inf,Time limit reached
1,8,9707,90496.0,-733.893451390998,Inf,Time limit reached
1,8,9707,91142.0,-733.893451390998,Inf,Time limit reached
1,8,9707,91772.0,-733.8688570067163,Inf,Time limit reached
1,8,9707,92035.0,-733.8688570067163,Inf,Time limit reached
1,8,9707,92292.0,-733.8583920692548,Inf,Time limit reached
1,8,9707,92975.0,-733.8583920692548,Inf,Time limit reached
1,8,9707,93606.0,-733.8476074331757,Inf,Time limit reached
1,8,9707,93909.0,-733.8476074331757,Inf,Time limit reached
1,8,9707,94169.0,-733.7735933300528,Inf,Time limit reached
1,8,9707,94767.0,-733.7735933300528,Inf,Time limit reached
1,8,9707,95354.0,-733.7712689556861,Inf,Time limit reached
1,8,9707,95617.0,-733.7712689556861,Inf,Time limit reached
1,8,9707,95874.0,-733.688750908095,Inf,Time limit reached
1,8,9707,96134.0,-733.688750908095,Inf,Time limit reached
1,8,9707,96393.0,-733.6640222358673,Inf,Time limit reached
1,8,9707,96657.0,-733.6640222358673,Inf,Time limit reached
1,8,9707,96921.0,-733.594637614842,Inf,Time limit reached
1,8,9707,97191.0,-733.594637614842,Inf,Time limit reached
1,8,9707,97449.0,-733.5719339883896,Inf,Time limit reached
1,8,9707,98069.0,-733.5719339883896,Inf,Time limit reached
1,8,9707,98699.0,-733.5453685683939,Inf,Time limit reached
1,8,9707,99346.0,-733.5453685683939,Inf,Time limit reached
1,8,9707,99958.0,-733.512422133722,Inf,Time limit reached
1,8,9707,100244.0,-733.512422133722,Inf,Time limit reached
1,8,9707,100476.0,-733.4404965100164,Inf,Time limit reached
1,8,9707,101120.0,-733.4404965100164,Inf,Time limit reached
1,8,9707,101736.0,-733.377682573159,Inf,Time limit reached
1,8,9707,101991.0,-733.377682573159,Inf,Time limit reached
1,8,9707,102234.0,-733.3772358522685,Inf,Time limit reached
1,8,9707,102883.0,-733.3772358522685,Inf,Time limit reached
1,8,9707,103510.0,-733.3532758309775,Inf,Time limit reached
1,8,9707,103801.0,-733.3532758309775,Inf,Time limit reached
1,8,9707,104032.0,-733.2813420323388,Inf,Time limit reached
1,8,9707,104281.0,-733.2813420323388,Inf,Time limit reached
1,8,9707,104512.0,-733.2737718069318,Inf,Time limit reached
1,8,9707,105140.0,-733.2737718069318,Inf,Time limit reached
1,8,9707,105707.0,-733.2645622447884,Inf,Time limit reached
1,8,9707,105962.0,-733.2645622447884,Inf,Time limit reached
1,8,9707,106211.0,-733.2211393377045,Inf,Time limit reached
1,8,9707,106468.0,-733.2211393377045,Inf,Time limit reached
1,8,9707,106717.0,-733.204563994409,Inf,Time limit reached
1,8,9707,107320.0,-733.204563994409,Inf,Time limit reached
1,8,9707,107946.0,-733.1332808529621,Inf,Time limit reached
1,8,9707,108574.0,-733.1332808529621,Inf,Time limit reached
1,8,9707,109186.0,-733.1312578599942,Inf,Time limit reached
1,8,9707,109481.0,-733.1312578599942,Inf,Time limit reached
1,8,9707,109730.0,-733.1231823274568,Inf,Time limit reached
1,8,9707,110361.0,-733.1231823274568,Inf,Time limit reached
1,8,9707,110984.0,-733.0571335634195,Inf,Time limit reached
1,8,9707,111633.0,-733.0571335634195,Inf,Time limit reached
1,8,9707,112259.0,-733.03581392987,Inf,Time limit reached
1,8,9707,112561.0,-733.03581392987,Inf,Time limit reached
1,8,9707,112810.0,-733.0300437981477,Inf,Time limit reached
1,8,9707,113059.0,-733.0300437981477,Inf,Time limit reached
1,8,9707,113307.0,-733.00063605758,Inf,Time limit reached
1,8,9707,113567.0,-733.00063605758,Inf,Time limit reached
1,8,9707,113811.0,-732.9504026311465,Inf,Time limit reached
1,8,9707,114458.0,-732.9504026311465,Inf,Time limit reached
1,8,9707,115087.0,-732.9331819054905,Inf,Time limit reached
1,8,9707,115388.0,-732.9331819054905,Inf,Time limit reached
1,8,9707,115643.0,-732.9057389002052,Inf,Time limit reached
1,8,9707,115909.0,-732.9057389002052,Inf,Time limit reached
1,8,9707,116158.0,-732.8812965806621,Inf,Time limit reached
1,8,9707,116419.0,-732.8812965806621,Inf,Time limit reached
1,8,9707,116674.0,-732.8794716409865,Inf,Time limit reached
1,8,9707,116934.0,-732.8794716409865,Inf,Time limit reached
1,8,9707,117182.0,-732.8609670164506,Inf,Time limit reached
1,8,9707,117443.0,-732.8609670164506,Inf,Time limit reached
1,8,9707,117692.0,-732.8361637039711,Inf,Time limit reached
1,8,9707,118287.0,-732.8361637039711,Inf,Time limit reached
1,8,9707,118881.0,-732.8042754993772,Inf,Time limit reached
