seed,n0,m0,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,5,50,20.0,8.739,3.7832568240600732,1.7752209718668865e-5,4.692330931649632e-6,OPTIMAL,495
2,5,50,20.0,5.3,5.452331495095906,0.025822101401335118,0.004758510402900909,OPTIMAL,403
3,5,50,20.0,3.372,2.951593366334075,1.526348986669035e-5,5.1712979751347595e-6,OPTIMAL,249
4,5,50,20.0,5.058,2.7602201258493935,1.1635015452426956e-5,4.215266886926962e-6,OPTIMAL,1298
5,5,50,20.0,5.148,2.7548417925382047,6.358150407059782e-6,2.307996451509541e-6,OPTIMAL,424
6,5,50,20.0,6.232,1.893835835268943,8.771931446105441e-6,4.631854521418994e-6,OPTIMAL,511
7,5,50,20.0,5.535,1.7685158153348035,6.526534871653666e-6,3.6904159412600073e-6,OPTIMAL,1485
8,5,50,20.0,0.54,6.916214432417929,0.06408625492352993,0.009352751913488605,OPTIMAL,34
9,5,50,20.0,6.807,1.1585655366644907,1.001876198092333e-5,8.647632181720262e-6,OPTIMAL,485
10,5,50,20.0,8.104,4.333125343194689,7.317062205025593e-6,1.6886367186163224e-6,OPTIMAL,559
1,6,60,20.0,15.301,5.461960938639965,0.10229075357859774,0.019085270183920193,OPTIMAL,1044
2,6,60,20.0,12.705,3.047681195692938,0.015773357015651968,0.005202452665095956,OPTIMAL,936
3,6,60,20.0,6.143,2.8841788118660294,1.479531299342085e-5,5.129844526353685e-6,OPTIMAL,629
4,6,60,20.0,11.039,3.7350558456147525,0.0024654435438229427,0.0006605181062607502,OPTIMAL,708
5,6,60,20.0,12.923,4.631797846437221,0.019189485830057862,0.004160224395797593,OPTIMAL,1047
6,6,60,20.0,10.617,2.306592758527604,0.02172053823800102,0.009506237611505463,OPTIMAL,692
7,6,60,20.0,7.249,1.7454602042502534,2.054180212240908e-5,1.176884114893861e-5,OPTIMAL,566
8,6,60,20.0,4.244,6.820332553419049,0.0576556103048107,0.008525560335026158,OPTIMAL,312
