seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,2.948,-8728.550761759516,0.0,0.0,1,Optimal (tree empty),4
2,4,0.142,-10639.628112737708,0.0,0.0,1,Optimal (tree empty),6
3,4,0.088,-8733.371498838405,0.0,0.0,1,Optimal (tree empty),4
1,5,0.094,-12164.174506409388,0.0,0.0,1,Optimal (tree empty),4
2,5,0.107,12342.863873538061,0.0,0.0,1,Optimal (tree empty),2
3,5,0.091,-25842.90294910671,0.0,0.0,1,Optimal (tree empty),4
1,6,0.102,-19055.5550940589,0.0,0.0,1,Optimal (tree empty),4
2,6,0.106,-21660.201383877356,0.0,0.0,1,Optimal (tree empty),4
3,6,0.11,12605.054860879736,0.0,0.0,1,Optimal (tree empty),2
1,7,0.098,-18525.8088696645,0.0,0.0,1,Optimal (tree empty),4
2,7,0.107,-5114.645054518984,0.0,0.0,1,Optimal (tree empty),4
3,7,0.092,-40220.7475551962,0.0,0.0,1,Optimal (tree empty),4
1,8,0.097,-10736.706325443743,0.0,0.0,1,Optimal (tree empty),4
2,8,0.108,-12843.37879915211,0.0,0.0,1,Optimal (tree empty),4
3,8,0.123,24729.915103547384,0.0,0.0,1,Optimal (tree empty),2
