seed,dimension,var_A,M,time,solution,termination,calls
1,10,1,0.1,17.202905,0.4839792224020128,OPTIMAL,3855
1,10,5,0.1,22.044521,0.1192259073501298,OPTIMAL,4364
1,10,1,1.0,36.949886,0.48333801772506246,OPTIMAL,5713
1,10,5,1.0,36.871485,0.11922593678275004,OPTIMAL,5622
2,10,1,0.1,24.177041,0.6202685831439365,OPTIMAL,4601
2,10,5,0.1,24.154858,0.2506407614406179,OPTIMAL,4554
2,10,1,1.0,41.60995,0.620268590455355,OPTIMAL,6017
2,10,5,1.0,41.970913,0.2506405994331876,OPTIMAL,6040
3,10,1,0.1,21.803597,0.6177065765499764,OPTIMAL,4331
3,10,5,0.1,25.181911,0.25014814853954925,OPTIMAL,4728
3,10,1,1.0,38.609201,0.6177064821777983,OPTIMAL,5780
3,10,5,1.0,38.025578,0.25014818576563647,OPTIMAL,5756
4,10,1,0.1,23.802018,0.610589516270003,OPTIMAL,4603
4,10,5,0.1,23.704961,0.24027787780570625,OPTIMAL,4538
4,10,1,1.0,39.514073,0.6105895111332754,OPTIMAL,5851
4,10,5,1.0,37.84642,0.24027780895195472,OPTIMAL,5708
5,10,1,0.1,22.394328,0.6051452089929363,OPTIMAL,4464
5,10,5,0.1,23.552847,0.22507481100818622,OPTIMAL,4539
5,10,1,1.0,39.564487,0.6051452119462306,OPTIMAL,5943
5,10,5,1.0,35.669769,0.22507486213823713,OPTIMAL,5549
1,15,1,0.1,277.354141,0.5636774248004963,OPTIMAL,11881
1,15,5,0.1,306.893087,0.1827791253600915,OPTIMAL,12343
1,15,1,1.0,496.440486,0.5636775027208705,OPTIMAL,15382
1,15,5,1.0,434.683769,0.18277914648213944,OPTIMAL,14002
2,15,1,0.1,307.480726,0.6274402311857937,OPTIMAL,12231
2,15,5,0.1,319.481385,0.263106341213029,OPTIMAL,12452
2,15,1,1.0,517.115677,0.627440249120016,OPTIMAL,15212
2,15,5,1.0,493.667588,0.26310634571546443,OPTIMAL,14726
3,15,1,0.1,324.256607,0.6252718219437123,OPTIMAL,12878
3,15,5,0.1,307.783283,0.26389890526924137,OPTIMAL,12380
3,15,1,1.0,532.95364,0.6252718212029799,OPTIMAL,15557
3,15,5,1.0,509.453257,0.26389886655116657,OPTIMAL,15299
4,15,1,0.1,316.21915,0.634066899998499,OPTIMAL,12691
4,15,5,0.1,321.545749,0.2808510872639054,OPTIMAL,12613
4,15,1,1.0,521.481826,0.6340668599421106,OPTIMAL,15560
4,15,5,1.0,497.846586,0.28085115322764764,OPTIMAL,14965
5,15,1,0.1,303.188659,0.6091355920481168,OPTIMAL,12307
5,15,5,0.1,300.829043,0.23476705674037235,OPTIMAL,12090
5,15,1,1.0,528.911393,0.6091355162661322,OPTIMAL,15520
5,15,5,1.0,493.002368,0.2347670933535022,OPTIMAL,14871
1,20,1,0.1,1800.001668,5.733884164489917,TIME_LIMIT,22188
1,20,5,0.1,1800.012054,7.7947932217301705,TIME_LIMIT,22380
1,20,1,1.0,1800.000706,484.7139287860433,TIME_LIMIT,16968
1,20,5,1.0,1800.000964,508.1697770574333,TIME_LIMIT,17034
2,20,1,0.1,1800.00646,0.6931471805599454,TIME_LIMIT,22178
2,20,5,0.1,1800.001245,0.6931471805599454,TIME_LIMIT,22391
2,20,1,1.0,1800.000929,483.40205904310403,TIME_LIMIT,16997
2,20,5,1.0,1800.001217,499.7416307661392,TIME_LIMIT,15998
3,20,1,0.1,1800.001003,0.6931471805599454,TIME_LIMIT,21485
