seed,dimension,p,k,Ns,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,50,50,25.0,0.1,0.135,-222.7156054633275,0.0,0.0,OPTIMAL,5
1,50,50,25.0,1.0,1801.688,-830.4060287565484,4.911245257034352,0.005914269751134226,Time limit reached,55853
1,50,50,25.0,5.0,32.093,-533.9024059768275,1.0844019016076345e-8,2.0310863735922176e-11,OPTIMAL,1391
1,50,50,25.0,10.0,5.656,-533.9024059768276,9.299014891439583e-8,1.7417068713946156e-10,OPTIMAL,140
2,50,50,25.0,0.1,0.02,-302.01535887823866,0.0,0.0,OPTIMAL,5
2,50,50,25.0,1.0,1801.299,-1211.1120474253526,9.394528770535771,0.007756944364071985,Time limit reached,68061
2,50,50,25.0,5.0,11.827,-799.3473824901516,4.378193807497155e-8,5.477210413647782e-11,OPTIMAL,300
2,50,50,25.0,10.0,20.157,-807.7920070795315,5.905394573346712e-8,7.310538506931888e-11,OPTIMAL,147
3,50,50,25.0,0.1,0.021,-853.8272777602954,0.0,0.0,OPTIMAL,5
3,50,50,25.0,1.0,1802.448,-2885.399764175802,9.155977558734321,0.0031732093668308987,Time limit reached,50448
3,50,50,25.0,5.0,27.3,-1729.6614491361695,4.773687578563113e-8,2.759897077516063e-11,OPTIMAL,618
3,50,50,25.0,10.0,10.509,-2145.064274578953,8.635470294393599e-8,4.025739646467529e-11,OPTIMAL,174
4,50,50,25.0,0.1,0.021,-773.7579916614262,0.0,0.0,OPTIMAL,5
4,50,50,25.0,1.0,1803.281,-2689.47097591378,16.518192949203694,0.006141800040653512,Time limit reached,55209
4,50,50,25.0,5.0,5.53,-1736.2864283299923,7.443190952471923e-8,4.286845091354534e-11,OPTIMAL,114
4,50,50,25.0,10.0,5.654,-1859.8237010386943,9.634686648496427e-8,5.18043008222529e-11,OPTIMAL,147
5,50,50,25.0,0.1,0.022,-37.879343832756625,0.0,0.0,OPTIMAL,5
5,50,50,25.0,1.0,1801.942,-99.57614266909542,2.65954674883001,0.026708674161721978,Time limit reached,120882
5,50,50,25.0,5.0,11.473,-53.68781747215606,6.413856112885696e-9,1.1946576364763e-10,OPTIMAL,392
5,50,50,25.0,10.0,5.643,-54.01008007918786,5.995884322373968e-8,1.1101417205053193e-9,OPTIMAL,106
6,50,50,25.0,0.1,0.02,-101.23506361058239,0.0,0.0,OPTIMAL,5
6,50,50,25.0,1.0,1803.263,-471.6005546156569,6.292409670277209,0.013342668087838386,Time limit reached,128835
6,50,50,25.0,5.0,8.691,-340.632529218678,4.350067683844827e-8,1.2770558624635017e-10,OPTIMAL,219
6,50,50,25.0,10.0,5.877,-341.14511669060755,8.642336979391985e-8,2.53333158136041e-10,OPTIMAL,159
7,50,50,25.0,0.1,0.019,-541.6138774625181,0.0,0.0,OPTIMAL,5
7,50,50,25.0,1.0,1802.171,-1828.192288741498,6.51087825709169,0.0035613749697925305,Time limit reached,53165
7,50,50,25.0,5.0,18.999,-1166.7909909326588,3.045556695724372e-8,2.6101990154123033e-11,OPTIMAL,382
7,50,50,25.0,10.0,10.955,-1206.8363850030046,4.799289854418021e-8,3.976752701573604e-11,OPTIMAL,249
8,50,50,25.0,0.1,0.02,-511.98607096648544,0.0,0.0,OPTIMAL,5
8,50,50,25.0,1.0,1802.874,-2303.544833502096,12.148359489382528,0.005273767331419067,Time limit reached,58983
8,50,50,25.0,5.0,23.316,-1543.1594254361726,1.346415956504643e-8,8.725060640601535e-12,OPTIMAL,593
8,50,50,25.0,10.0,5.987,-1639.9822837975871,2.295723788847681e-8,1.3998467004970574e-11,OPTIMAL,168
9,50,50,25.0,0.1,0.021,-102.22410050053469,0.0,0.0,OPTIMAL,5
9,50,50,25.0,1.0,1801.402,-241.16142464799813,6.209409343550789,0.025747937725173548,Time limit reached,70158
9,50,50,25.0,5.0,5.529,-150.37630865953238,8.537034545952338e-8,5.677114049448489e-10,OPTIMAL,109
9,50,50,25.0,10.0,7.576,-167.08614466084344,1.9067400103267573e-7,1.141171827381089e-9,OPTIMAL,117
10,50,50,25.0,0.1,0.022,-21.349478762784095,0.0,0.0,OPTIMAL,5
10,50,50,25.0,1.0,1802.69,-15.113363011735105,37.97598368551201,2.5127421114694806,Time limit reached,173095
10,50,50,25.0,5.0,8.633,-29.579048900774744,7.727200923568489e-8,2.6123899214913892e-9,OPTIMAL,166
10,50,50,25.0,10.0,5.837,-29.52749333745754,6.20119706695732e-8,2.1001434141687535e-9,OPTIMAL,123
1,70,70,35.0,0.1,0.027,-2797.8213805446567,0.0,0.0,OPTIMAL,5
1,70,70,35.0,1.0,1806.477,-7222.754814144455,28.510811347130584,0.003947359709801769,Time limit reached,22416
1,70,70,35.0,5.0,9.855,-5148.935995033293,1.2372765922918916e-8,2.4029752816608695e-12,OPTIMAL,115
1,70,70,35.0,10.0,9.843,-5012.052757122775,7.802736945450306e-8,1.556794655515469e-11,OPTIMAL,99
2,70,70,35.0,0.1,0.027,-276.76328207083367,0.0,0.0,OPTIMAL,5
2,70,70,35.0,1.0,1804.259,-629.426323753435,13.662638403038386,0.02170649349643414,Time limit reached,41975
2,70,70,35.0,5.0,8.225,-417.34315292238597,5.523139634533436e-8,1.323404875785894e-10,OPTIMAL,124
2,70,70,35.0,10.0,12.107,-429.6176890484226,8.394550832235836e-8,1.9539583788622072e-10,OPTIMAL,144
3,70,70,35.0,0.1,0.025,-146048.30629797274,0.0,0.0,OPTIMAL,5
3,70,70,35.0,1.0,15.663,-446207.5098529867,7.753260433673859e-8,1.7375907537343663e-13,OPTIMAL,81
3,70,70,35.0,5.0,15.686,-270888.3339309286,5.238689482212067e-9,1.9338926140495342e-14,OPTIMAL,98
3,70,70,35.0,10.0,7.995,-331493.9259082313,5.407491698861122e-8,1.631249104805045e-13,OPTIMAL,70
4,70,70,35.0,0.1,0.024,-46348.15535596037,0.0,0.0,OPTIMAL,5
4,70,70,35.0,1.0,1801.913,-121547.37505541804,121.53749661892653,0.0009999187276855052,Time limit reached,9399
4,70,70,35.0,5.0,29.134,-51839.153771710444,4.497996997088194e-8,8.676833377520972e-13,OPTIMAL,181
4,70,70,35.0,10.0,11.709,-104950.03996026792,5.069741746410728e-7,4.83062393147257e-12,OPTIMAL,62
5,70,70,35.0,0.1,0.024,-3035.668395004075,0.0,0.0,OPTIMAL,5
5,70,70,35.0,1.0,1804.068,-10602.902175712585,33.889849980856525,0.003196280548403617,Time limit reached,28514
5,70,70,35.0,5.0,8.257,-6186.85060752802,6.996197043918073e-8,1.1308171940349196e-11,OPTIMAL,146
5,70,70,35.0,10.0,8.349,-7537.457568097623,9.001178113976493e-8,1.1941928737448665e-11,OPTIMAL,167
6,70,70,35.0,0.1,0.028,-3.0386333812987427e6,0.0,0.0,OPTIMAL,5
6,70,70,35.0,1.0,8.972,-1.1854291987834133e7,1229.2765401471406,0.00010369885788275901,OPTIMAL,14
6,70,70,35.0,5.0,19.308,-4.553900687262249e6,2.7939677238464355e-9,6.135328624230793e-16,OPTIMAL,91
6,70,70,35.0,10.0,7.785,-7.259030002757221e6,2.7008354663848877e-8,3.7206561556558115e-15,OPTIMAL,46
7,70,70,35.0,0.1,0.024,-3386.4677525452216,0.0,0.0,OPTIMAL,5
7,70,70,35.0,1.0,1804.358,-10498.459893620164,16.54498855372185,0.0015759443500637763,Time limit reached,23249
7,70,70,35.0,5.0,8.669,-6779.870148959403,8.49031493999064e-8,1.2522828245160066e-11,OPTIMAL,117
7,70,70,35.0,10.0,8.68,-6895.468629518528,2.7848727768287063e-9,4.038699799034773e-13,OPTIMAL,112
8,70,70,35.0,0.1,0.027,-1315.312277217477,0.0,0.0,OPTIMAL,5
8,70,70,35.0,1.0,1804.444,-3325.6952465457443,6.269522700396919,0.001885176552755037,Time limit reached,36646
8,70,70,35.0,5.0,53.948,-2008.3539208537095,1.8064611140289344e-8,8.994734918340715e-12,OPTIMAL,992
8,70,70,35.0,10.0,12.454,-2234.642845374608,1.2643113223020919e-7,5.657778042334756e-11,OPTIMAL,159
9,70,70,35.0,0.1,0.023,-278.068931115756,0.0,0.0,OPTIMAL,5
9,70,70,35.0,1.0,1804.942,-803.2301977630018,73.29176379026478,0.09124627534470509,Time limit reached,52506
9,70,70,35.0,5.0,13.286,-579.161135683043,2.752130967564881e-9,4.751926187725133e-12,OPTIMAL,232
9,70,70,35.0,10.0,13.632,-580.0828766038888,3.2327989174518734e-8,5.572994907862793e-11,OPTIMAL,181
10,70,70,35.0,0.1,0.024,-542.5786305155099,0.0,0.0,OPTIMAL,5
10,70,70,35.0,1.0,1803.539,-1536.4657401976917,22.267188813567827,0.014492473363384455,Time limit reached,42844
10,70,70,35.0,5.0,20.799,-1029.2937528461903,5.31802015757421e-8,5.1666690319152204e-11,OPTIMAL,385
10,70,70,35.0,10.0,12.101,-1085.582496834966,1.2006148608634248e-7,1.1059637239581863e-10,OPTIMAL,163
1,90,90,45.0,0.1,0.034,-18670.312276752353,0.0,0.0,OPTIMAL,5
1,90,90,45.0,1.0,1808.207,-53697.333951058725,18.58949008466152,0.00034619018705108357,Time limit reached,10601
1,90,90,45.0,5.0,13.529,-32165.473965912246,1.129956217482686e-8,3.5129475122305704e-13,OPTIMAL,94
1,90,90,45.0,10.0,22.084,-38133.89095796784,1.7316779121756554e-8,4.5410470022174124e-13,OPTIMAL,94
2,90,90,45.0,0.1,0.033,-14084.188010188294,0.0,0.0,OPTIMAL,5
