seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,1869.696,-311.1767705794464,13.505289383890101,0.04340069909055783,31,Time limit reached,1520
2,4,1842.805,-310.9923439257801,17.701162081440714,0.05691832106858934,27,Time limit reached,1177
3,4,1851.723,-335.1617384275193,5.88021954803844,0.01754442370309543,71,Time limit reached,3010
1,5,1871.469,-286.9428070409138,23.68711362436858,0.08254994738721973,25,Time limit reached,1421
2,5,1841.007,-295.69041230661315,15.686971288924099,0.053052011955861636,41,Time limit reached,2128
3,5,1845.29,-288.16396933577215,12.42662296809226,0.0431234446025159,45,Time limit reached,2427
1,6,1811.056,-153.10629448999958,21.88182131124171,0.14291914897509952,31,Time limit reached,1754
2,6,1816.023,-234.03815946872172,21.81580474627492,0.09321473385279513,27,Time limit reached,1371
3,6,1844.306,-214.0372584574976,22.30195961533741,0.10419662341061997,53,Time limit reached,3401
1,7,1828.019,-253.74655023616657,20.37368266374267,0.08029146660232626,51,Time limit reached,2709
2,7,1810.921,-168.20066747249865,13.08790034881281,0.07781122718168001,67,Time limit reached,4024
3,7,1830.728,-148.3088388832067,21.059715666547703,0.14199905969955195,57,Time limit reached,3691
1,8,1810.421,-102.32588885112295,33.57744934457165,0.32814226899533216,43,Time limit reached,3012
2,8,1813.478,-90.61773542279633,21.863162519963737,0.2412680301262937,59,Time limit reached,3980
3,8,1848.794,-116.91239884454914,27.377508180738985,0.234171126854912,37,Time limit reached,2311
