seed,num_v,time,solution,termination,calls
1,4,1800.025339,-316.41281624299484,TIME_LIMIT,15392
2,4,1800.000478,-316.46937743233065,TIME_LIMIT,5065
3,4,1802.44586,-336.26939416759774,TIME_LIMIT,17696
1,5,1800.25957,-220.59322826403564,TIME_LIMIT,4181
2,5,1800.252687,-287.6997832980139,TIME_LIMIT,7196
3,5,1800.056863,-286.15964520681746,TIME_LIMIT,6464
1,6,1800.038757,-69.163829626372,TIME_LIMIT,2256
2,6,1800.000632,-166.84238622257027,TIME_LIMIT,4229
3,6,1800.00884,-148.61628915742216,TIME_LIMIT,3174
1,7,1800.082739,-251.00035707663923,TIME_LIMIT,6423
2,7,1800.005046,-131.41109022018588,TIME_LIMIT,3207
3,7,1800.008752,-145.97197422788753,TIME_LIMIT,5943
1,8,1800.075461,-30.03074813416469,TIME_LIMIT,3674
2,8,1800.006093,-22.188464232615516,TIME_LIMIT,3296
3,8,1800.129279,-56.58196249077664,TIME_LIMIT,3985
