seed,num_v,time,lowerBound,upperBound,termination,LMOcalls
1,8,101720.0,-136.21227901423487,-63.61871708880506,Time limit reached,173
1,8,178308.0,-136.21227901423487,-63.61871708880506,Time limit reached,288
1,8,266235.0,-135.9630563778006,-63.61871708880506,Time limit reached,412
1,8,356126.0,-135.9630563778006,-63.61871708880506,Time limit reached,530
1,8,433439.0,-135.9330987505953,-63.61871708880506,Time limit reached,649
1,8,510074.0,-135.9330987505953,-63.61871708880506,Time limit reached,755
1,8,589363.0,-135.9165102689349,-63.61871708880506,Time limit reached,857
1,8,684428.0,-135.9165102689349,-63.61871708880506,Time limit reached,977
1,8,764623.0,-135.91648833447871,-63.61871708880506,Time limit reached,1101
1,8,824796.0,-135.91648833447871,-70.09569987170656,Time limit reached,1191
1,8,917703.0,-135.91648833447871,-70.09569987170656,Time limit reached,1313
1,8,1.008389e6,-135.91648833447871,-70.09569987170656,Time limit reached,1442
1,8,1.087898e6,-135.91298737405376,-70.09569987170656,Time limit reached,1567
1,8,1.162717e6,-135.91298737405376,-70.09569987170656,Time limit reached,1677
1,8,1.234107e6,-135.90293089415877,-70.09569987170656,Time limit reached,1786
1,8,1.311464e6,-135.90293089415877,-70.09569987170656,Time limit reached,1917
1,8,1.377999e6,-135.89692140428184,-70.09569987170656,Time limit reached,2038
1,8,1.45912e6,-135.89692140428184,-70.09569987170656,Time limit reached,2145
1,8,1.541376e6,-135.87996667259785,-70.09569987170656,Time limit reached,2295
1,8,1.629457e6,-135.87996667259785,-70.09569987170656,Time limit reached,2427
1,8,1.70788e6,-135.8785350930618,-70.09569987170656,Time limit reached,2546
1,8,1.797718e6,-135.8785350930618,-70.09569987170656,Time limit reached,2685
1,8,1.867924e6,-135.8728897484972,-70.09569987170656,Time limit reached,2806
