minTime,numInstances,Boscia_CustomTerm,Boscia_CustomTermRel,Boscia_CustomTime,Boscia_CustomRelGapNT,Boscia_CustomNodesOCuts,Boscia_Custom_LazyTerm,Boscia_Custom_LazyTermRel,Boscia_Custom_LazyTime,Boscia_Custom_LazyRelGapNT,Boscia_Custom_LazyNodesOCuts,Boscia_Custom_DICGTerm,Boscia_Custom_DICGTermRel,Boscia_Custom_DICGTime,Boscia_Custom_DICGRelGapNT,Boscia_Custom_DICGNodesOCuts,Boscia_MIPTerm,Boscia_MIPTermRel,Boscia_MIPTime,Boscia_MIPRelGapNT,Boscia_MIPNodesOCuts,Boscia_MIP_LazyTerm,Boscia_MIP_LazyTermRel,Boscia_MIP_LazyTime,Boscia_MIP_LazyRelGapNT,Boscia_MIP_LazyNodesOCuts,Boscia_MIP_DICGTerm,Boscia_MIP_DICGTermRel,Boscia_MIP_DICGTime,Boscia_MIP_DICGRelGapNT,Boscia_MIP_DICGNodesOCuts,Boscia_Custom_DICG_LazyTerm,Boscia_Custom_DICG_LazyTermRel,Boscia_Custom_DICG_LazyTime,Boscia_Custom_DICG_LazyRelGapNT,Boscia_Custom_DICG_LazyNodesOCuts,Boscia_MIP_DICG_LazyTerm,Boscia_MIP_DICG_LazyTermRel,Boscia_MIP_DICG_LazyTime,Boscia_MIP_DICG_LazyRelGapNT,Boscia_MIP_DICG_LazyNodesOCuts,Boscia_Custom_DICG_WSTerm,Boscia_Custom_DICG_WSTermRel,Boscia_Custom_DICG_WSTime,Boscia_Custom_DICG_WSRelGapNT,Boscia_Custom_DICG_WSNodesOCuts,Boscia_Custom_DICG_Lazy_WSTerm,Boscia_Custom_DICG_Lazy_WSTermRel,Boscia_Custom_DICG_Lazy_WSTime,Boscia_Custom_DICG_Lazy_WSRelGapNT,Boscia_Custom_DICG_Lazy_WSNodesOCuts,Boscia_MIP_DICG_Lazy_WSTerm,Boscia_MIP_DICG_Lazy_WSTermRel,Boscia_MIP_DICG_Lazy_WSTime,Boscia_MIP_DICG_Lazy_WSRelGapNT,Boscia_MIP_DICG_Lazy_WSNodesOCuts,Boscia_MIP_DICG_WSTerm,Boscia_MIP_DICG_WSTermRel,Boscia_MIP_DICG_WSTime,Boscia_MIP_DICG_WSRelGapNT,Boscia_MIP_DICG_WSNodesOCuts
0,130,60,46 %,195.57,0.96,6080321,60,46 %,188.61,0.85,860564,60,46 %,288.67,0.81,6093746,51,39 %,529.99,2.4,260281,60,46 %,383.41,1.25,212030,50,38 %,703.25,1.99,200547,60,46 %,292.88,1.02,2879391,50,38 %,670.77,1.89,200374,60,46 %,290.89,0.85,4572054,60,46 %,344.25,1.24,297999,59,45 %,556.27,1.74,98587,50,38 %,604.53,1.8,237638
10,81,11,14 %,2476.17,1.54,9744150,11,14 %,2434.76,1.37,1377008,11,14 %,2482.39,1.29,9762995,2,2 %,3519.2,3.85,403345,11,14 %,3124.11,2.0,336151,1,1 %,3533.14,3.19,304775,11,14 %,2479.57,1.63,4606306,1,1 %,3540.93,3.03,306625,11,14 %,2473.21,1.35,7326579,11,14 %,2584.27,1.99,473028,10,12 %,3367.51,2.78,152986,1,1 %,3515.94,2.89,370093
60,80,10,12 %,2645.03,1.55,9864409,10,12 %,2601.61,1.39,1393724,10,12 %,2639.82,1.31,9883059,1,1 %,3599.9,3.9,406844,10,12 %,3238.14,2.02,339855,0,0 %,3600.04,3.23,306610,10,12 %,2634.16,1.65,4662129,0,0 %,3600.03,3.07,308706,10,12 %,2632.38,1.37,7416893,10,12 %,2738.86,2.02,478301,9,11 %,3468.5,2.82,154258,0,0 %,3600.03,2.92,373455
300,74,4,5 %,3193.96,1.68,10581144,4,5 %,3174.96,1.5,1485974,4,5 %,3192.6,1.41,10592110,0,0 %,3600.02,4.2,379807,4,5 %,3492.45,2.19,346657,0,0 %,3600.04,3.48,281966,4,5 %,3193.49,1.78,4960134,0,0 %,3600.03,3.29,295716,4,5 %,3189.24,1.48,7954944,4,5 %,3244.68,2.18,490481,3,4 %,3563.4,3.05,140163,0,0 %,3600.03,3.15,355095
600,70,0,0 %,3600.05,1.77,11122553,0,0 %,3600.06,1.58,1553927,0,0 %,3600.61,1.49,11123393,0,0 %,3600.02,4.42,359201,0,0 %,3600.02,2.31,349506,0,0 %,3600.04,3.66,264030,0,0 %,3600.61,1.88,5178992,0,0 %,3600.03,3.46,285843,0,0 %,3600.65,1.57,8359580,0,0 %,3601.14,2.3,496140,0,0 %,3600.03,3.22,125939,0,0 %,3600.03,3.32,341440
1200,70,0,0 %,3600.05,1.77,11122553,0,0 %,3600.06,1.58,1553927,0,0 %,3600.61,1.49,11123393,0,0 %,3600.02,4.42,359201,0,0 %,3600.02,2.31,349506,0,0 %,3600.04,3.66,264030,0,0 %,3600.61,1.88,5178992,0,0 %,3600.03,3.46,285843,0,0 %,3600.65,1.57,8359580,0,0 %,3601.14,2.3,496140,0,0 %,3600.03,3.22,125939,0,0 %,3600.03,3.32,341440
1800,70,0,0 %,3600.05,1.77,11122553,0,0 %,3600.06,1.58,1553927,0,0 %,3600.61,1.49,11123393,0,0 %,3600.02,4.42,359201,0,0 %,3600.02,2.31,349506,0,0 %,3600.04,3.66,264030,0,0 %,3600.61,1.88,5178992,0,0 %,3600.03,3.46,285843,0,0 %,3600.65,1.57,8359580,0,0 %,3601.14,2.3,496140,0,0 %,3600.03,3.22,125939,0,0 %,3600.03,3.32,341440
2700,70,0,0 %,3600.05,1.77,11122553,0,0 %,3600.06,1.58,1553927,0,0 %,3600.61,1.49,11123393,0,0 %,3600.02,4.42,359201,0,0 %,3600.02,2.31,349506,0,0 %,3600.04,3.66,264030,0,0 %,3600.61,1.88,5178992,0,0 %,3600.03,3.46,285843,0,0 %,3600.65,1.57,8359580,0,0 %,3601.14,2.3,496140,0,0 %,3600.03,3.22,125939,0,0 %,3600.03,3.32,341440
