seed,dimension,p,k,time,solution,termination,ncalls
1,1,5,1.0,0.01,0.9998093268871527,OPTIMAL,13
2,1,5,1.0,0.003,0.1729474976804997,OPTIMAL,2
3,1,5,1.0,0.003,1.8130228475540693e-5,OPTIMAL,2
4,1,5,1.0,0.003,0.6471840744106998,OPTIMAL,2
5,1,5,1.0,0.003,0.867720966822608,OPTIMAL,2
6,1,5,1.0,0.003,0.18400454076388076,OPTIMAL,2
7,1,5,1.0,0.003,0.037607046184172786,OPTIMAL,2
8,1,5,1.0,0.003,0.0020755794978523185,OPTIMAL,2
9,1,5,1.0,0.004,0.06642500339151886,OPTIMAL,2
10,1,5,1.0,0.004,0.6643942589761649,OPTIMAL,2
1,2,10,1.0,0.013,0.8406875122794593,OPTIMAL,12
2,2,10,1.0,0.004,0.8493997892079644,OPTIMAL,2
3,2,10,1.0,0.007,0.4613316788916937,OPTIMAL,2
4,2,10,1.0,0.005,0.6432781172976438,OPTIMAL,2
5,2,10,1.0,0.012,1.0535721621514924,OPTIMAL,2
6,2,10,1.0,0.008,1.110425549369978,OPTIMAL,2
7,2,10,1.0,0.008,1.186304405964277,OPTIMAL,2
8,2,10,1.0,0.063,0.8552537784358363,OPTIMAL,62
9,2,10,1.0,0.004,0.9252982492327076,OPTIMAL,2
10,2,10,1.0,0.078,0.8686859608467488,OPTIMAL,36
1,3,15,1.0,0.089,1.086220768447869,OPTIMAL,43
2,3,15,1.0,0.074,1.9142747754897393,OPTIMAL,50
3,3,15,1.0,0.006,0.9262629072365199,OPTIMAL,2
4,3,15,1.0,0.005,1.4796829588266673,OPTIMAL,2
5,3,15,1.0,0.006,0.6327977645491348,OPTIMAL,2
6,3,15,1.0,0.006,0.4047947972637295,OPTIMAL,2
7,3,15,1.0,0.006,1.116458369935806,OPTIMAL,2
8,3,15,1.0,0.135,0.9370126785148601,OPTIMAL,97
9,3,15,1.0,0.005,0.8544899862606332,OPTIMAL,2
10,3,15,1.0,0.138,0.4859133606682518,OPTIMAL,97
1,4,20,1.0,0.064,1.701640854518522,OPTIMAL,38
2,4,20,1.0,0.072,1.629639270991488,OPTIMAL,43
3,4,20,1.0,0.006,0.6398823608296775,OPTIMAL,2
4,4,20,1.0,0.006,1.4223651011541814,OPTIMAL,2
5,4,20,1.0,0.045,2.318277251636507,OPTIMAL,17
6,4,20,1.0,0.005,0.8180348080134926,OPTIMAL,2
7,4,20,1.0,0.006,1.8393390797303362,OPTIMAL,2
8,4,20,1.0,0.279,0.8676270304066762,OPTIMAL,168
9,4,20,1.0,0.005,1.7322263196478664,OPTIMAL,2
10,4,20,1.0,0.086,0.9901540668008518,OPTIMAL,52
1,5,25,1.0,0.057,2.1740032655434054,OPTIMAL,27
2,5,25,1.0,0.109,1.984924280838888,OPTIMAL,26
3,5,25,1.0,0.06,3.19191302458068,OPTIMAL,21
4,5,25,1.0,0.017,1.3132168588451578,OPTIMAL,2
5,5,25,1.0,0.042,1.702660709065037,OPTIMAL,8
6,5,25,1.0,0.018,1.3539958277819877,OPTIMAL,9
7,5,25,1.0,0.007,1.1546969199614667,OPTIMAL,2
8,5,25,1.0,0.387,1.144664007542227,OPTIMAL,203
9,5,25,1.0,0.006,2.402668200409843,OPTIMAL,2
10,5,25,1.0,0.156,1.2479074746229133,OPTIMAL,75
1,6,30,2.0,0.525,1.5918770194947562,OPTIMAL,316
2,6,30,2.0,0.26,1.3751650050852897,OPTIMAL,155
3,6,30,2.0,0.035,2.38543845368725,OPTIMAL,22
4,6,30,2.0,0.014,1.5725766685152807,OPTIMAL,8
5,6,30,2.0,0.01,1.362995773690266,OPTIMAL,5
6,6,30,2.0,0.041,1.722792751830654,OPTIMAL,14
7,6,30,2.0,0.016,2.751677266949277,OPTIMAL,9
8,6,30,2.0,2.897,1.5011081018687964,OPTIMAL,1663
9,6,30,2.0,0.006,1.46660933255753,OPTIMAL,2
10,6,30,2.0,0.274,1.227770300211858,OPTIMAL,156
1,7,35,2.0,0.345,1.3786841335013649,OPTIMAL,160
2,7,35,2.0,0.183,3.06597247656671,OPTIMAL,83
3,7,35,2.0,0.23,3.041478017057937,OPTIMAL,119
4,7,35,2.0,0.329,3.6509985358671972,OPTIMAL,166
5,7,35,2.0,0.242,2.5943744129837465,OPTIMAL,120
6,7,35,2.0,0.067,2.1265860587642718,OPTIMAL,32
7,7,35,2.0,0.214,3.0618125057677608,OPTIMAL,100
8,7,35,2.0,10.246,0.9732142122401461,OPTIMAL,2777
9,7,35,2.0,0.025,1.862516180353519,OPTIMAL,8
10,7,35,2.0,0.654,1.5779338771201108,OPTIMAL,242
1,8,40,2.0,0.583,2.51823606138326,OPTIMAL,187
2,8,40,2.0,0.434,1.7754372522221238,OPTIMAL,177
3,8,40,2.0,0.03,2.4302912085531525,OPTIMAL,10
4,8,40,2.0,0.085,1.3957384102436026,OPTIMAL,19
5,8,40,2.0,0.76,2.3358166414724764,OPTIMAL,250
6,8,40,2.0,0.054,1.5404321972402355,OPTIMAL,16
7,8,40,2.0,0.255,2.81608258778672,OPTIMAL,85
8,8,40,2.0,1.932,2.090278840919559,OPTIMAL,670
9,8,40,2.0,0.059,2.754131637265281,OPTIMAL,21
10,8,40,2.0,0.273,1.934648475336993,OPTIMAL,99
1,9,45,2.0,0.621,2.9176139201996047,OPTIMAL,214
2,9,45,2.0,2.244,2.0918046547370492,OPTIMAL,739
3,9,45,2.0,0.015,1.9152654429543512,OPTIMAL,5
4,9,45,2.0,1.256,3.1361949125450987,OPTIMAL,464
5,9,45,2.0,0.706,2.6934587777236514,OPTIMAL,262
6,9,45,2.0,0.082,2.875720940107186,OPTIMAL,12
7,9,45,2.0,0.105,2.980164320518898,OPTIMAL,39
8,9,45,2.0,4.501,1.8870405881902808,OPTIMAL,1427
9,9,45,2.0,0.109,3.781861550380954,OPTIMAL,29
10,9,45,2.0,0.383,1.9826473881398519,OPTIMAL,99
1,10,50,2.0,0.334,3.034960476473489,OPTIMAL,110
2,10,50,2.0,0.823,2.0514669313159506,OPTIMAL,275
3,10,50,2.0,0.012,1.9348825583838019,OPTIMAL,2
4,10,50,2.0,2.013,3.3828750943292785,OPTIMAL,705
5,10,50,2.0,1.365,3.2215988521087477,OPTIMAL,503
6,10,50,2.0,0.053,3.538573221960865,OPTIMAL,12
7,10,50,2.0,0.107,3.2023447909738514,OPTIMAL,40
8,10,50,2.0,1.725,2.1803348824806874,OPTIMAL,603
9,10,50,2.0,0.168,4.340915458441233,OPTIMAL,58
10,10,50,2.0,0.304,1.8620851870212807,OPTIMAL,109
1,11,55,3.0,0.659,2.5037972738266547,OPTIMAL,220
2,11,55,3.0,6.457,2.245867599762802,OPTIMAL,2210
3,11,55,3.0,0.241,3.508178073200562,OPTIMAL,79
4,11,55,3.0,4.373,3.427566365214441,OPTIMAL,1445
5,11,55,3.0,3.703,2.8709600779515267,OPTIMAL,1203
6,11,55,3.0,0.123,2.814027837111788,OPTIMAL,16
7,11,55,3.0,0.312,3.644684908596778,OPTIMAL,101
8,11,55,3.0,41.909,2.0304007477210084,OPTIMAL,13124
9,11,55,3.0,0.981,3.9097219907184315,OPTIMAL,305
