seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,4.269,-12.113849111290794,0.1198011936861203,0.009889605903581778,87,Optimal (tolerance reached),1131
2,4,1.325,-13.818306679619157,0.13806130991432575,0.009991188726325968,31,Optimal (tolerance reached),367
3,4,2.821,-17.10798268588117,0.16870457346905,0.009861161106287422,55,Optimal (tolerance reached),783
1,5,7.814,-16.024791442388214,0.15952198394841588,0.009954699536772376,155,Optimal (tolerance reached),2193
2,5,4.822,-16.770924607570954,0.15903101910240736,0.009482543319681697,85,Optimal (tolerance reached),1116
3,5,63.297,-6.397104136500236,0.06373444685513086,0.00996301537307771,975,Optimal (tolerance reached),17675
1,6,311.713,-5.929927997509199,0.05926126636727691,0.009993589532987408,4373,Optimal (tolerance reached),83145
2,6,5.285,-18.577450506583123,0.17364659764960422,0.009347170516647085,99,Optimal (tolerance reached),1479
3,6,160.207,-19.86838673248311,0.1985056830676868,0.009991031770241668,2757,Optimal (tolerance reached),43723
1,7,14.423,-8.400099626621149,0.08154611592526351,0.009707755806470663,191,Optimal (tolerance reached),3951
2,7,25.343,-13.867058401826238,0.13524390788566443,0.009752890913609575,331,Optimal (tolerance reached),6567
3,7,832.759,2.819769498207298,0.02791783813184212,0.009999756982463595,6847,Optimal (tolerance reached),195022
1,8,1800.492,-2.73729785999211,0.3061450153705798,0.111842054109326,14279,Time limit reached,373532
2,8,52.948,-7.221043200656398,0.07202820360811923,0.009974764255886438,655,Optimal (tolerance reached),13698
3,8,180.872,-13.01830998918282,0.13006705055082435,0.009991085683080195,1757,Optimal (tolerance reached),42466
