seed,dimension,p,k,time,solution,termination,ncalls
4,23,115,5.0,1089.563,4.6313633071927915,OPTIMAL,61781
5,23,115,5.0,1529.048,4.260633793294362,OPTIMAL,92366
6,23,115,5.0,39.536,3.6780389906691457,OPTIMAL,2002
7,23,115,5.0,111.718,5.131105838383593,OPTIMAL,6385
8,23,115,5.0,1802.078,2.390833456618253,Time limit reached,93194
9,23,115,5.0,12.278,5.301264060442235,OPTIMAL,546
10,23,115,5.0,854.253,2.175036125906605,OPTIMAL,59083
1,24,120,5.0,44.902,2.7933726237952254,OPTIMAL,2970
2,24,120,5.0,1423.722,3.482510049977039,OPTIMAL,72598
3,24,120,5.0,292.923,5.824768462631013,OPTIMAL,16630
4,24,120,5.0,793.859,4.512027803014818,OPTIMAL,39492
5,24,120,5.0,1800.475,4.586682765248187,Time limit reached,66276
6,24,120,5.0,29.943,3.896540232509097,OPTIMAL,1627
7,24,120,5.0,722.464,5.441829021885716,OPTIMAL,35243
8,24,120,5.0,1801.252,2.3942356412436028,Time limit reached,80582
9,24,120,5.0,51.477,5.580355562138196,OPTIMAL,2259
10,24,120,5.0,873.478,2.104806905280289,OPTIMAL,47437
1,25,125,5.0,396.46,3.2556069749362564,OPTIMAL,27152
2,25,125,5.0,526.374,3.65929746449191,OPTIMAL,26438
3,25,125,5.0,548.847,5.945514641916456,OPTIMAL,30564
4,25,125,5.0,1801.8,4.884672325565907,Time limit reached,96742
5,25,125,5.0,366.504,4.894533786447226,OPTIMAL,22499
6,25,125,5.0,15.771,3.78635467547559,OPTIMAL,985
7,25,125,5.0,244.287,5.263450191286596,OPTIMAL,12903
8,25,125,5.0,1802.665,2.4856970215150085,Time limit reached,92879
9,25,125,5.0,17.308,5.610723655358916,OPTIMAL,1081
10,25,125,5.0,334.979,2.129746512550934,OPTIMAL,22305
1,26,130,6.0,1175.673,3.025581528422717,OPTIMAL,51980
2,26,130,6.0,1374.615,3.7070399595975227,OPTIMAL,54828
3,26,130,6.0,675.833,5.998170344082331,OPTIMAL,28662
4,26,130,6.0,1801.314,5.037757043805911,Time limit reached,72625
5,26,130,6.0,1800.964,5.04277457237946,Time limit reached,87291
6,26,130,6.0,265.927,4.084618122133698,OPTIMAL,9103
7,26,130,6.0,863.92,5.551365819982829,OPTIMAL,36239
8,26,130,6.0,1801.425,2.490462355354144,Time limit reached,73420
9,26,130,6.0,71.53,5.767390891505263,OPTIMAL,2905
10,26,130,6.0,1802.005,2.0399755865373486,Time limit reached,68240
1,27,135,6.0,263.737,3.10866462066773,OPTIMAL,11243
2,27,135,6.0,1563.046,3.613939111182163,OPTIMAL,55817
3,27,135,6.0,1713.024,6.377443938471518,OPTIMAL,65210
4,27,135,6.0,1800.136,4.816536694787371,Time limit reached,63855
5,27,135,6.0,1800.089,5.009688064248175,Time limit reached,78877
6,27,135,6.0,76.945,3.8093869889692282,OPTIMAL,2184
7,27,135,6.0,234.465,5.734069052956908,OPTIMAL,10007
8,27,135,6.0,1801.797,2.2478654478723645,Time limit reached,75292
9,27,135,6.0,41.123,5.795033269275499,OPTIMAL,1440
10,27,135,6.0,833.015,2.0827685608792255,OPTIMAL,29792
1,28,140,6.0,905.55,3.021453087549278,OPTIMAL,34692
2,28,140,6.0,1800.286,3.7959262974493706,Time limit reached,67741
3,28,140,6.0,1471.044,6.449544719835144,OPTIMAL,60032
4,28,140,6.0,1800.073,4.716504057817988,Time limit reached,69193
5,28,140,6.0,1800.333,5.176891131084282,Time limit reached,77088
6,28,140,6.0,244.169,3.954622037877673,OPTIMAL,8510
