seed,n0,m0,M,time,solution,termination,ncalls
1,5,50,20.0,4.612,3.7832568240599382,OPTIMAL,262
2,5,50,20.0,10.092,5.452331495095619,OPTIMAL,493
3,5,50,20.0,5.328,2.951593366334,OPTIMAL,255
4,5,50,20.0,7.9,2.7602201258492447,OPTIMAL,393
5,5,50,20.0,11.387,2.754841792538611,OPTIMAL,555
6,5,50,20.0,6.021,1.8938358352690403,OPTIMAL,329
7,5,50,20.0,7.112,1.7685158153348524,OPTIMAL,334
8,5,50,20.0,3.356,6.891499023549983,OPTIMAL,150
9,5,50,20.0,5.95,1.1585655366637153,OPTIMAL,308
10,5,50,20.0,21.576,4.333125343193709,OPTIMAL,846
1,6,60,20.0,32.883,5.46186591771949,OPTIMAL,1192
2,6,60,20.0,7.564,3.0476812024560926,OPTIMAL,423
3,6,60,20.0,10.163,2.8841788118663305,OPTIMAL,480
4,6,60,20.0,16.021,3.7350557268567677,OPTIMAL,2905
5,6,60,20.0,15.661,4.631759055433831,OPTIMAL,727
6,6,60,20.0,9.054,2.3065927585281605,OPTIMAL,429
7,6,60,20.0,11.129,1.7454602042482608,OPTIMAL,462
8,6,60,20.0,4.803,6.820332525102959,OPTIMAL,208
9,6,60,20.0,6.095,0.5525107537761023,OPTIMAL,438
10,6,60,20.0,30.397,5.586821012444315,OPTIMAL,1173
1,7,70,20.0,15.028,5.1397486550321965,OPTIMAL,679
2,7,70,20.0,27.051,3.2852063967491194,OPTIMAL,1254
3,7,70,20.0,13.273,1.1118051105541462,OPTIMAL,548
4,7,70,20.0,19.079,1.843081191515802,OPTIMAL,931
5,7,70,20.0,18.957,3.1735550613409487,OPTIMAL,789
6,7,70,20.0,66.734,2.4845738182843826,OPTIMAL,2433
7,7,70,20.0,17.964,2.3490099919155325,OPTIMAL,696
8,7,70,20.0,9.007,6.604294457352644,OPTIMAL,365
9,7,70,20.0,22.492,-0.04614289412837591,OPTIMAL,1017
10,7,70,20.0,32.43,5.255142718436482,OPTIMAL,1573
1,8,80,20.0,64.229,5.8428700449206605,OPTIMAL,2821
2,8,80,20.0,78.489,4.641726120940829,OPTIMAL,2647
3,8,80,20.0,45.204,1.4898016747882619,OPTIMAL,1374
4,8,80,20.0,45.841,3.152025657377453,OPTIMAL,1912
5,8,80,20.0,78.41,4.089808541891621,OPTIMAL,2651
6,8,80,20.0,57.76,4.0565068573016525,OPTIMAL,2029
7,8,80,20.0,55.15,2.345266664348639,OPTIMAL,2053
8,8,80,20.0,16.5,7.647813997794796,OPTIMAL,560
9,8,80,20.0,32.56,-0.7288187246456703,OPTIMAL,1311
10,8,80,20.0,40.93,5.541656049536352,OPTIMAL,1924
1,9,90,20.0,227.875,4.305484696052662,OPTIMAL,8683
2,9,90,20.0,223.031,5.1874841534196765,OPTIMAL,8841
3,9,90,20.0,78.129,1.0571635257160372,OPTIMAL,3063
4,9,90,20.0,45.061,2.346365088141554,OPTIMAL,2356
5,9,90,20.0,77.387,3.5543184082203063,OPTIMAL,3112
6,9,90,20.0,201.674,3.9082681080386745,OPTIMAL,7144
7,9,90,20.0,66.425,1.0812791495559164,OPTIMAL,2715
8,9,90,20.0,15.162,9.599567369086682,OPTIMAL,574
9,9,90,20.0,33.312,-0.16728177569878644,OPTIMAL,1344
