seed,dimension,M,time,solution,termination,ncalls
1,30,20.0,3.963,-19.701334217049705,OPTIMAL,45
2,30,20.0,4.054,-621.5629090824182,OPTIMAL,64
3,30,20.0,4.021,-714.120369549271,OPTIMAL,61
1,40,20.0,4.972,-6377.420519060353,primal>tree.incumbent+1e-2,42
2,40,20.0,4.406,-329.5514021794312,OPTIMAL,59
3,40,20.0,4.349,-2358.917340789256,OPTIMAL,48
1,50,20.0,7.272,-812.5307312913062,OPTIMAL,79
2,50,20.0,7.199,-918.4785203334446,OPTIMAL,73
3,50,20.0,7.178,-364.4223568010698,OPTIMAL,84
1,60,20.0,12.619,-1651.7513848333206,OPTIMAL,1408
2,60,20.0,9.061,-65140.74543286552,OPTIMAL,34
3,60,20.0,9.151,-1829.7858556047292,OPTIMAL,46
1,70,20.0,10.844,-56293.988473301026,OPTIMAL,37
2,70,20.0,11.14,-264.5901971799661,OPTIMAL,94
3,70,20.0,10.802,-166058.34962918144,OPTIMAL,43
1,80,20.0,12.641,-4.277664909072298e6,primal>tree.incumbent+1e-2,38
2,80,20.0,12.824,-8905.758526501946,OPTIMAL,62
3,80,20.0,12.819,-11054.73878137592,OPTIMAL,62
1,100,20.0,17.582,-56280.75227520613,OPTIMAL,72
1,110,20.0,19.959,-1.5179987082713581e10,OPTIMAL,4
2,120,20.0,22.642,-1.0428312181467345e7,OPTIMAL,49
3,130,20.0,25.476,-1.5527585091198027e7,OPTIMAL,50
3,140,20.0,28.743,-4.289197493734601e7,OPTIMAL,53
2,150,20.0,31.639,-1.5612048743409894e7,primal>tree.incumbent+1e-2,4
1,170,20.0,38.458,-2.800444385073105e8,OPTIMAL,62
