seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,1802.535,-310.24689323299964,0.1915245599299169,0.0006173295014628216,5121,Time limit reached,41981
2,4,1800.939,-311.02119664235516,5.825542464115131,0.01873037119979302,4313,Time limit reached,38032
3,4,1801.174,-328.8593326060379,0.04012800471502942,0.00012202179088863315,4455,Time limit reached,36340
1,5,1804.415,-297.16128855358147,3.666743757225106,0.012339237641190775,2699,Time limit reached,30169
2,5,1802.321,-298.1712194876175,4.772714272791006,0.016006622909456248,3497,Time limit reached,37226
3,5,1801.19,-289.7433436239675,3.889047119857139,0.013422386416940064,3587,Time limit reached,41936
1,6,1802.179,-164.26657640122673,5.995453384138301,0.03649831581985492,1579,Time limit reached,24506
2,6,1802.709,-246.45247621405676,1.9277419509300273,0.007821962191427459,2065,Time limit reached,25163
3,6,1801.766,-218.38828270487573,10.526618089989768,0.04820138681256616,1953,Time limit reached,25739
1,7,1802.337,-264.64118884712565,2.566188200970373,0.009696858649062275,3651,Time limit reached,41968
2,7,1803.079,-168.64445707351945,8.034594660233296,0.047642210124526456,2003,Time limit reached,28195
3,7,1801.854,-158.07781571190276,4.912215045400785,0.03107466422963049,2273,Time limit reached,33674
1,8,1801.932,-113.79844647444061,16.280807559328522,0.14306704584921753,1813,Time limit reached,27731
2,8,1828.727,-100.05442991942493,6.94132328334976,0.06937547182008526,1157,Time limit reached,20437
3,8,1808.788,-121.53634784850718,14.993853710573262,0.12336929631341914,1373,Time limit reached,20899
