seed,dimension,p,k,time,solution,termination,ncalls
1,15,75,3.0,1.497,2.8156085839248965,OPTIMAL,400
2,15,75,3.0,2.463,2.510955015317064,OPTIMAL,722
3,15,75,3.0,3.897,4.977486303591386,OPTIMAL,1131
4,15,75,3.0,21.32,3.570152937436937,OPTIMAL,5932
5,15,75,3.0,9.514,3.0960683648881093,OPTIMAL,2712
6,15,75,3.0,0.226,3.274959746910336,OPTIMAL,58
7,15,75,3.0,3.458,4.4719289037401655,OPTIMAL,1011
8,15,75,3.0,32.051,2.287455683965412,OPTIMAL,8459
9,15,75,3.0,0.14,4.3133398005811046,OPTIMAL,40
10,15,75,3.0,0.551,2.391722770462672,OPTIMAL,158
1,16,80,4.0,14.77,2.6633825943920137,OPTIMAL,4007
2,16,80,4.0,8.246,2.346449784313559,OPTIMAL,2163
3,16,80,4.0,22.757,5.091732867438444,OPTIMAL,5463
4,16,80,4.0,16.547,3.5972405325105408,OPTIMAL,4292
5,16,80,4.0,91.963,3.63769637900974,OPTIMAL,22556
6,16,80,4.0,0.345,3.452723946379324,OPTIMAL,93
7,16,80,4.0,11.894,4.703793852904876,OPTIMAL,3116
8,16,80,4.0,993.118,2.133833155360607,OPTIMAL,194670
9,16,80,4.0,0.409,4.506263132840163,OPTIMAL,104
10,16,80,4.0,3.925,1.9988265865273447,OPTIMAL,1037
1,17,85,4.0,2.039,2.3474422755205793,OPTIMAL,525
2,17,85,4.0,27.869,2.510257899045362,OPTIMAL,6645
3,17,85,4.0,8.069,5.014570729546344,OPTIMAL,1998
4,17,85,4.0,26.922,3.9150015695258875,OPTIMAL,6275
5,17,85,4.0,47.399,3.8998167893942313,OPTIMAL,10755
6,17,85,4.0,0.355,3.193775533784988,OPTIMAL,84
7,17,85,4.0,6.114,4.518599214707445,OPTIMAL,1520
8,17,85,4.0,1800.352,1.9114825258867651,Time limit reached,256363
9,17,85,4.0,0.211,4.771345768384261,OPTIMAL,48
10,17,85,4.0,12.127,2.2440767386834564,OPTIMAL,3086
1,18,90,4.0,10.885,2.5444467333794374,OPTIMAL,2758
2,18,90,4.0,48.746,2.6345054709356903,OPTIMAL,10858
3,18,90,4.0,9.7,5.04847551003505,OPTIMAL,2250
4,18,90,4.0,106.48,4.028020637083428,OPTIMAL,22955
5,18,90,4.0,112.503,3.991629504656097,OPTIMAL,25263
6,18,90,4.0,1.077,3.655307345648596,OPTIMAL,253
7,18,90,4.0,8.105,4.62556213200753,OPTIMAL,1882
8,18,90,4.0,605.138,2.0434252666920574,OPTIMAL,86463
9,18,90,4.0,0.159,4.705116246234705,OPTIMAL,39
10,18,90,4.0,10.079,2.1813146857106016,OPTIMAL,2535
1,19,95,4.0,8.844,2.722326936292461,OPTIMAL,2113
2,19,95,4.0,9.448,2.8056349490336143,OPTIMAL,2112
3,19,95,4.0,14.618,5.181127574970973,OPTIMAL,3214
4,19,95,4.0,12.387,3.9361600595812054,OPTIMAL,2723
5,19,95,4.0,246.644,4.178160862783165,OPTIMAL,50931
6,19,95,4.0,0.972,3.5875915636396223,OPTIMAL,234
7,19,95,4.0,22.653,5.093563664756703,OPTIMAL,4761
8,19,95,4.0,499.875,2.1470014564255107,OPTIMAL,77018
9,19,95,4.0,0.809,5.310003417992356,OPTIMAL,192
10,19,95,4.0,2.55,2.1517612804867037,OPTIMAL,606
1,20,100,4.0,11.881,2.654499422520585,OPTIMAL,1239
2,20,100,4.0,175.094,3.1191382473600155,OPTIMAL,15910
3,20,100,4.0,43.536,5.18800102635046,OPTIMAL,4110
4,20,100,4.0,271.902,4.252012558500874,OPTIMAL,23933
5,20,100,4.0,78.188,4.1681319312766,OPTIMAL,8240
6,20,100,4.0,0.873,3.7097736428286248,OPTIMAL,82
7,20,100,4.0,85.032,5.183353910013434,OPTIMAL,7835
8,20,100,4.0,1800.259,2.469216171340141,Time limit reached,119678
9,20,100,4.0,0.65,5.098485980297229,OPTIMAL,57
10,20,100,4.0,16.489,2.2411762901230188,OPTIMAL,1755
1,21,105,5.0,50.119,2.8240260478591983,OPTIMAL,5244
2,21,105,5.0,29.686,3.0547449239361724,OPTIMAL,2402
3,21,105,5.0,283.439,5.917432857407691,OPTIMAL,22378
4,21,105,5.0,143.457,4.4040904004188,OPTIMAL,10497
5,21,105,5.0,767.291,4.268244857783212,OPTIMAL,57062
6,21,105,5.0,2.285,3.4372800733085014,OPTIMAL,156
7,21,105,5.0,27.765,5.125226080112155,OPTIMAL,2373
8,21,105,5.0,1802.38,2.161884741888688,Time limit reached,99313
9,21,105,5.0,1.781,4.948293389150535,OPTIMAL,113
10,21,105,5.0,26.94,1.86223669515536,OPTIMAL,2632
1,22,110,5.0,57.745,2.833149522892048,OPTIMAL,4822
2,22,110,5.0,386.525,3.2455791672423677,OPTIMAL,25731
3,22,110,5.0,170.203,5.872043837599708,OPTIMAL,12714
4,22,110,5.0,216.774,4.397493315195604,OPTIMAL,15181
5,22,110,5.0,903.522,4.387951913543736,OPTIMAL,63550
6,22,110,5.0,9.339,3.585870472421875,OPTIMAL,760
7,22,110,5.0,73.489,5.328576129934933,OPTIMAL,5647
8,22,110,5.0,1800.314,2.361419136915382,Time limit reached,100606
9,22,110,5.0,9.318,5.3574506821002155,OPTIMAL,624
10,22,110,5.0,81.47,2.0931169374023684,OPTIMAL,7456
1,23,115,5.0,25.9,3.009254643542085,OPTIMAL,2532
2,23,115,5.0,340.982,3.3639564519681846,OPTIMAL,20856
3,23,115,5.0,264.601,6.150088467900773,OPTIMAL,18778
4,23,115,5.0,512.493,4.6313633071927915,OPTIMAL,33667
5,23,115,5.0,722.792,4.260633793294362,OPTIMAL,49495
6,23,115,5.0,19.701,3.6780389906691457,OPTIMAL,1314
7,23,115,5.0,57.345,5.131105838383593,OPTIMAL,4137
